symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FCSC,2018-09-30,False,Q3,2018,10-Q,0.0,-3105000.0,-3074000.0,-0.33,-0.33,0.0,17701000.0,16405000.0,1811000.0,16111000.0,10184000.0,-10200000.0,-155000.0,9066000.0,0.0,,155000.0
FCSC,2011-06-30,False,Q2,2011,10-Q,253274.0,-4739488.0,-10128092.0,-0.32,-0.32,0.0,10519612.0,3469194.0,10383197.0,2606381.0,-27052585.0,-6603579.0,-700513.0,22479911.0,,,730187.0
FCSC,2012-12-31,False,FY,2012,10-K,153000.0,-29390000.0,-23194000.0,-0.1,-0.1,0.0,40603000.0,33156000.0,1554000.0,31346000.0,38331000.0,-22575000.0,509000.0,42613000.0,,,493000.0
FCSC,2013-06-30,False,Q2,2013,10-Q,62000.0,-5814000.0,-6194000.0,-0.24,-0.24,0.0,29350000.0,22237000.0,1712000.0,20810000.0,26538000.0,-10417000.0,-122000.0,4000.0,,,122000.0
FCSC,2013-03-31,False,Q1,2013,10-Q,26000.0,-5904000.0,-5850000.0,-0.22,-0.22,0.0,35116000.0,27794000.0,1745000.0,26186000.0,32654000.0,-5059000.0,-100000.0,,,,100000.0
FCSC,2013-09-30,False,Q3,2013,10-Q,68000.0,-13121000.0,-12937000.0,-0.48,-0.48,0.0,26303000.0,19172000.0,2619000.0,16875000.0,22986000.0,-16039000.0,-162000.0,1730000.0,,,162000.0
FCSC,2012-09-30,False,Q3,2012,10-Q,69000.0,-5310000.0,11491.0,0.12,-0.05,0.0,8712000.0,1068000.0,6234000.0,118000.0,-8412000.0,-15257000.0,529000.0,4047000.0,,,473000.0
FCSC,2012-03-31,False,Q1,2012,10-Q,214540.0,-5737751.0,-6418669.0,-0.07,-0.07,0.0,13823979.0,6018327.0,8939424.0,4177589.0,-11669954.0,-6309004.0,-221601.0,-91590.0,,,1821380.0
FCSC,2012-06-30,False,Q2,2012,10-Q,28283.0,-5693237.0,-9059730.0,-0.09,-0.09,0.0,11870624.0,4129194.0,4508045.0,2600000.0,-20380399.0,-11322462.0,-358746.0,45218701.0,,,1958525.0
FCSC,2013-12-31,False,FY,2013,10-K,200000.0,-30503000.0,-30635000.0,-1.03,-1.03,0.0,69014000.0,61860000.0,3593000.0,60033000.0,64672000.0,-20075000.0,-360000.0,49122000.0,,,360000.0
FCSC,2011-09-30,False,Q3,2011,10-Q,159400.0,-5751076.0,6916857.0,0.1,0.08,0.0,23836018.0,16762784.0,8905222.0,14840392.0,3693843.0,-12279091.0,-786441.0,40477476.0,,,816115.0
FCSC,2014-03-31,False,Q1,2014,10-Q,46000.0,-11000000.0,-14009000.0,-0.35,-0.35,0.0,62389000.0,55450000.0,2423000.0,54001000.0,41114000.0,-5953000.0,-79000.0,0.0,,,79000.0
FCSC,2011-12-31,False,FY,2011,10-K,812235.0,-20033645.0,-31367550.0,-0.57,-0.57,0.0,20273497.0,12498653.0,9611447.0,10798995.0,-5600501.0,-16836788.0,-1570105.0,28335609.0,,,1599779.0
FCSC,2014-06-30,False,Q2,2014,10-Q,58000.0,-6596000.0,-2257000.0,-0.06,-0.09,0.0,57431000.0,50732000.0,3248000.0,49536000.0,39293000.0,-10286000.0,-211000.0,,,,211000.0
FCSC,2015-06-30,False,Q2,2015,10-Q,137000.0,-7359000.0,-6756000.0,-0.17,-0.17,0.0,34117000.0,28067000.0,5220000.0,26850000.0,16427000.0,-10787000.0,-111000.0,253000.0,,,111000.0
FCSC,2014-09-30,False,Q3,2014,10-Q,20000.0,-6191000.0,-6012000.0,-0.15,-0.17,0.0,51881000.0,45307000.0,3574000.0,44215000.0,33547000.0,-15512000.0,-307000.0,,,,307000.0
FCSC,2014-12-31,False,FY,2014,10-K,180000.0,-29954000.0,-25650000.0,-0.63,-0.7,0.0,45634000.0,39348000.0,3493000.0,37495000.0,30409000.0,-22296000.0,-242000.0,0.0,,,242000.0
FCSC,2015-12-31,False,FY,2015,10-K,492000.0,-37407000.0,-34453000.0,-0.82,-0.85,0.0,36712000.0,30994000.0,15365000.0,29268000.0,14203000.0,-24106000.0,-245000.0,16124000.0,,,271000.0
FCSC,2015-03-31,False,Q1,2015,10-Q,194000.0,-6864000.0,-8525000.0,-0.21,-0.21,0.0,41179000.0,34926000.0,6034000.0,33301000.0,22276000.0,-4238000.0,-108000.0,152000.0,,,108000.0
FCSC,2015-09-30,False,Q3,2015,10-Q,79000.0,-6823000.0,-1521000.0,-0.04,-0.07,0.0,43934000.0,37964000.0,5333000.0,36931000.0,31366000.0,-16480000.0,-208000.0,16124000.0,,,208000.0
FCSC,2016-03-31,False,Q1,2016,10-Q,16000.0,-6668000.0,-1407000.0,-0.03,-0.08,0.0,20210000.0,14606000.0,3351000.0,13095000.0,13341000.0,-16063000.0,-58000.0,-52000.0,,,58000.0
FCSC,2013-12-31,True,FY,2013,10-K,200000.0,-30503000.0,-31554000.0,-1.06,-1.12,0.0,69014000.0,61860000.0,3593000.0,60033000.0,49666000.0,-20075000.0,-360000.0,49122000.0,,,360000.0
FCSC,2016-06-30,False,Q2,2016,10-Q,87000.0,-10319000.0,-8092000.0,-0.18,-0.18,0.0,10516000.0,8906000.0,3143000.0,8200000.0,5829000.0,-20853000.0,-143000.0,-111000.0,,,143000.0
FCSC,2017-06-30,False,Q2,2017,10-Q,0.0,-5027000.0,-14234000.0,-0.97,-0.97,0.0,17971000.0,16353000.0,3420000.0,15912000.0,-3435000.0,-8983000.0,-243000.0,7623000.0,0.0,,243000.0
FCSC,2016-12-31,False,FY,2016,10-K,355000.0,-26479000.0,-15292000.0,-0.35,-0.39,0.0,19582000.0,18028000.0,2987000.0,17515000.0,7861000.0,-29390000.0,-252000.0,17889000.0,0.0,,253000.0
FCSC,2017-03-31,False,Q1,2017,10-Q,0.0,-4454000.0,-8761000.0,-0.6,-0.6,0.0,22691000.0,21124000.0,2960000.0,20560000.0,10469000.0,-4754000.0,-87000.0,7886000.0,0.0,,87000.0
FCSC,2017-09-30,False,Q3,2017,10-Q,0.0,-4596000.0,-308000.0,-0.02,-0.02,0.0,13781000.0,12176000.0,3467000.0,11911000.0,-3326000.0,-12879000.0,-348000.0,7623000.0,0.0,,348000.0
FCSC,2016-09-30,False,Q3,2016,10-Q,215000.0,-5017000.0,-2299000.0,-0.05,-0.05,0.0,23213000.0,21657000.0,2463000.0,21283000.0,11038000.0,-25596000.0,-186000.0,17797000.0,0.0,,187000.0
FCSC,2017-12-31,False,FY,2017,10-K,0.0,-18981000.0,-20603000.0,-1.33,-1.33,0.0,19411000.0,17902000.0,4425000.0,17417000.0,9007000.0,-17000000.0,-433000.0,17372000.0,0.0,,433000.0
FCSC,2018-03-31,False,Q1,2018,10-Q,0.0,-2981000.0,-3104000.0,-0.11,-0.11,0.0,14145000.0,12698000.0,1887000.0,12201000.0,6300000.0,-4761000.0,-35000.0,-420000.0,0.0,,35000.0
FCSC,2018-06-30,False,Q2,2018,10-Q,0.0,-3077000.0,-3103000.0,-0.49,-0.49,0.0,17278000.0,15865000.0,2048000.0,15410000.0,9368000.0,-7476000.0,-83000.0,5552000.0,0.0,,83000.0
