symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FDEF,2011-06-30,False,Q2,2011,10-Q,28811000.0,,4243000.0,0.44,0.43,0.0,2045690000.0,,,28817000.0,269139000.0,19932000.0,32961000.0,-8240000.0,,57556000.0,663000.0
FDEF,2011-09-30,False,Q3,2011,10-Q,28523000.0,,3553000.0,0.37,0.36,0.0,2058357000.0,,,30234000.0,275118000.0,28173000.0,-4528000.0,-2575000.0,,61568000.0,1571000.0
FDEF,2011-12-31,False,FY,2011,10-K,114583000.0,,13506000.0,1.44,1.42,0.05,2068190000.0,,,31931000.0,278127000.0,38739000.0,-40949000.0,7977000.0,,61525000.0,2041000.0
FDEF,2012-09-30,False,Q3,2012,10-Q,27878000.0,,5423000.0,0.56,0.54,0.05,2055672000.0,,,32406000.0,255136000.0,33550000.0,-81502000.0,-34573000.0,,61525000.0,2874000.0
FDEF,2018-12-31,False,FY,2018,10-K,11700000.0,,46233000.0,2.27,2.26,0.64,3181722000.0,,,55962000.0,399589000.0,53055000.0,-213024000.0,145238000.0,25000000.0,98569000.0,4168000.0
FDEF,2012-06-30,False,Q2,2012,10-Q,28513000.0,,3181000.0,0.33,0.32,0.05,2067616000.0,,,31517000.0,249870000.0,22782000.0,-80756000.0,-13440000.0,,61525000.0,2488000.0
FDEF,2013-03-31,False,Q1,2013,10-Q,27438000.0,,5559000.0,0.57,0.55,0.1,2039411000.0,,,31342000.0,262643000.0,15637000.0,14990000.0,-11117000.0,,61525000.0,365000.0
FDEF,2012-03-31,False,Q1,2012,10-Q,29173000.0,,3645000.0,0.37,0.37,0.05,2142264000.0,,,32882000.0,281364000.0,11991000.0,-5352000.0,68312000.0,,61525000.0,1335000.0
FDEF,2013-09-30,False,Q3,2013,10-Q,26125000.0,,5479000.0,0.56,0.54,0.1,2058430000.0,,,42629000.0,269359000.0,30588000.0,-37585000.0,-2206000.0,,61525000.0,1760000.0
FDEF,2012-12-31,False,FY,2012,10-K,115317000.0,,18047000.0,1.86,1.81,0.2,2046948000.0,,0.0,45832000.0,258128000.0,31910000.0,-24172000.0,-45837000.0,,61525000.0,3223000.0
FDEF,2013-06-30,False,Q2,2013,10-Q,26580000.0,,6109000.0,0.63,0.6,0.1,2066216000.0,,,39743000.0,264497000.0,20109000.0,-41914000.0,12716000.0,,61525000.0,796000.0
FDEF,2014-03-31,False,Q1,2014,10-Q,25800000.0,,5179000.0,0.53,0.51,0.15,2163659000.0,,,42183000.0,274877000.0,5342000.0,8642000.0,17881000.0,,61525000.0,507000.0
FDEF,2013-12-31,False,FY,2013,10-K,105351000.0,,22235000.0,2.28,2.19,0.4,2137148000.0,,,36318000.0,272147000.0,39363000.0,-69872000.0,72995000.0,,61525000.0,2045000.0
FDEF,2014-06-30,False,Q2,2014,10-Q,26391000.0,,5689000.0,0.59,0.57,0.15,2151490000.0,,,42246000.0,276449000.0,11483000.0,-31725000.0,-2830000.0,,61525000.0,2335000.0
