symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FGP,2019-01-31,False,Q2,2019,10-Q,573377000.0,88683000.0,43344000.0,0.44,0.44,0.0,1388120000.0,370211000.0,350892000.0,40647000.0,1100.0,-55118000.0,-61439000.0,37893000.0,,247478000.0,58330000.0
FGP,2011-01-31,False,Q2,2011,10-Q,840992000.0,86373000.0,22129000.0,,,0.0,1684451000.0,538837000.0,454548000.0,25489000.0,1100.0,-6798000.0,-18998000.0,39882000.0,,248939000.0,17318000.0
FGP,2010-10-31,False,Q1,2011,10-Q,400192000.0,-2048000.0,-28043000.0,,,0.0,1530906000.0,377179000.0,354323000.0,9633000.0,1100.0,-6544000.0,-11257000.0,16031000.0,,248939000.0,11565000.0
FGP,2011-04-30,False,Q3,2011,10-Q,732373000.0,39144000.0,3173000.0,0.04,0.04,0.0,1543607000.0,402588000.0,307235000.0,13351000.0,1100.0,84400000.0,-37502000.0,-44949000.0,,248944000.0,36662000.0
FGP,2011-07-31,False,FY,2011,10-K,2423215000.0,105761000.0,-43648000.0,-0.6,-0.6,2.0,1460586000.0,326993000.0,298281000.0,7437000.0,1100.0,117561000.0,-51063000.0,-70464000.0,871477000.0,248944000.0,49759000.0
FGP,2012-04-30,False,Q3,2012,10-Q,629619000.0,45476000.0,20807000.0,0.26,0.26,0.5,1474240000.0,355028000.0,357665000.0,11873000.0,1100.0,61890000.0,-43760000.0,-13683000.0,,248944000.0,37747000.0
FGP,2012-01-31,False,Q2,2012,10-Q,829272000.0,61524000.0,36374000.0,0.47,0.47,0.5,1635673000.0,505483000.0,509515000.0,15725000.0,1100.0,-44024000.0,-32406000.0,84718000.0,,248944000.0,24453000.0
FGP,2013-04-30,False,Q3,2013,10-Q,603020000.0,69102000.0,44681000.0,0.56,0.56,0.5,1440626000.0,341042000.0,331191000.0,12260000.0,969.0,173245000.0,-62436000.0,-106961000.0,,253286000.0,33263000.0
FGP,2013-01-31,False,Q2,2013,10-Q,658865000.0,82138000.0,58207000.0,0.7,0.7,0.5,1502999000.0,410809000.0,432972000.0,12109000.0,969.0,48936000.0,-22289000.0,-22970000.0,,248944000.0,21964000.0
FGP,2012-10-31,False,Q1,2013,10-Q,362909000.0,4284000.0,-17658000.0,-0.22,-0.22,0.5,1429008000.0,329118000.0,399838000.0,8678000.0,1100.0,9833000.0,-9438000.0,-148000.0,,248944000.0,9909000.0
FGP,2011-10-31,False,Q1,2012,10-Q,538426000.0,-10105000.0,-32604000.0,-0.42,-0.42,0.5,1568236000.0,433760000.0,457796000.0,13134000.0,1100.0,-32727000.0,-18861000.0,57283000.0,,248944000.0,14924000.0
FGP,2012-07-31,False,FY,2012,10-K,2339092000.0,82980000.0,-10952000.0,-0.14,-0.14,2.0,1397279000.0,289346000.0,340221000.0,8429000.0,38871.0,124403000.0,-53948000.0,-69411000.0,1061606000.0,248944000.0,49303000.0
FGP,2014-01-31,False,Q2,2014,10-Q,869683000.0,104821000.0,60464000.0,0.72,0.72,0.0,1620794000.0,555372000.0,535359000.0,18292000.0,969.0,-70162000.0,-25626000.0,107751000.0,1154094000.0,253331000.0,22873000.0
FGP,2013-10-31,False,Q1,2014,10-Q,415030000.0,-2929000.0,-24843000.0,-0.31,-0.31,0.0,1441274000.0,370426000.0,426040000.0,8435000.0,969.0,-34412000.0,-12418000.0,48922000.0,,253362000.0,13267000.0
FGP,2013-07-31,False,FY,2013,10-K,1975467000.0,147602000.0,56426000.0,0.71,0.71,2.0,1356028000.0,280979000.0,302284000.0,6464000.0,12957.0,210120000.0,-68116000.0,-143822000.0,1110031000.0,253362000.0,40910000.0
FGP,2014-04-30,False,Q3,2014,10-Q,722117000.0,67531000.0,45385000.0,0.57,0.57,0.0,1589869000.0,530190000.0,441185000.0,134397000.0,969.0,103879000.0,-45056000.0,69283000.0,1208603000.0,253331000.0,41222000.0
FGP,2014-04-30,False,Q3,2014,10-Q,722117000.0,67531000.0,45385000.0,0.57,0.57,0.0,1589869000.0,530190000.0,441185000.0,134397000.0,969.0,103879000.0,-45056000.0,69283000.0,1208603000.0,253331000.0,41222000.0
FGP,2014-10-31,False,Q1,2015,10-Q,443355000.0,-9318000.0,-32875000.0,3.48,-0.4,0.0,1680435000.0,412585000.0,449726000.0,9869000.0,909.0,-19406000.0,-84800000.0,105788000.0,286400000.0,285658000.0,17562000.0
FGP,2015-01-31,False,Q2,2015,10-Q,665973000.0,111965000.0,85458000.0,0.89,0.89,0.0,1747037000.0,484889000.0,491249000.0,12356000.0,990.0,13708000.0,-95339000.0,85700000.0,239200000.0,285617000.0,29413000.0
FGP,2015-10-31,False,Q1,2016,10-Q,471146000.0,-47500000.0,-79793000.0,3.48,-0.79,0.0,2386186000.0,341205000.0,427908000.0,8892000.0,1100.0,40848000.0,-22046000.0,-17562000.0,250200000.0,459615000.0,25607000.0
FGP,2015-04-30,False,Q3,2015,10-Q,532551000.0,60435000.0,35812000.0,0.43,0.43,0.0,1592857000.0,341020000.0,317362000.0,7409000.0,1100.0,195064000.0,-116163000.0,-79779000.0,174200000.0,285436000.0,51321000.0
FGP,2014-07-31,False,FY,2014,10-K,2405860000.0,144414000.0,33211000.0,3.48,0.41,2.0,1572270000.0,364931000.0,355040000.0,8289000.0,15106.0,125669000.0,-210075000.0,86376000.0,1295837000.0,273210000.0,52572000.0
FGP,2016-10-31,False,Q1,2017,10-Q,379542000.0,-9141000.0,-43073000.0,3.48,-0.44,0.0,1667215000.0,293038000.0,416139000.0,12639000.0,1100.0,54550000.0,-7726000.0,-39150000.0,415000000.0,256103000.0,10005000.0
FGP,2015-07-31,False,FY,2015,10-K,2024390000.0,130520000.0,29620000.0,-0.14,0.35,2.0,2464056000.0,365609000.0,409980000.0,7652000.0,53267.0,203072000.0,-708017000.0,504310000.0,1808044000.0,478747000.0,72481000.0
FGP,2018-01-31,False,Q2,2018,10-Q,755156000.0,40053000.0,-1843000.0,-0.02,-0.02,0.0,1687059000.0,473843000.0,649782000.0,14173000.0,1100.0,-36294000.0,-46348000.0,91055000.0,261200000.0,246098000.0,35693000.0
FGP,2017-10-31,False,Q1,2018,10-Q,454655000.0,-7643000.0,-47915000.0,3.48,-0.49,0.0,1704954000.0,378934000.0,651277000.0,7100000.0,1100.0,7933000.0,-32813000.0,26220000.0,263200000.0,256103000.0,20154000.0
FGP,2017-04-30,False,Q3,2017,10-Q,538109000.0,46197000.0,6536000.0,0.07,0.07,0.0,1679269000.0,341355000.0,367508000.0,9506000.0,1100.0,118331000.0,-34267000.0,-79523000.0,2010979000.0,256103000.0,35412000.0
FGP,2016-07-31,False,FY,2016,10-K,2039367000.0,-534244000.0,-665415000.0,3.3400000000000003,-6.68,2.05,1683306000.0,285115000.0,362177000.0,4965000.0,61820.0,194327000.0,-115859000.0,-81155000.0,1968431000.0,256103000.0,117518000.0
FGP,2017-07-31,False,FY,2017,10-K,1930277000.0,95367000.0,-54207000.0,3.48,-0.55,0.4,1609969000.0,296784000.0,340566000.0,5760000.0,67336.0,127288000.0,-45538000.0,-80955000.0,2021338000.0,256103000.0,50472000.0
FGP,2017-01-31,False,Q2,2017,10-Q,579250000.0,75172000.0,38098000.0,0.39,0.39,0.0,1745620000.0,391279000.0,441815000.0,14710000.0,1100.0,39337000.0,-15214000.0,-14378000.0,1994793000.0,256103000.0,19768000.0
FGP,2018-04-30,False,Q3,2018,10-Q,515810000.0,51277000.0,10861000.0,0.11,0.11,0.0,1532576000.0,341378000.0,315347000.0,9499000.0,1100.0,78311000.0,-16021000.0,-58551000.0,184900000.0,246098000.0,58961000.0
FGP,2018-10-31,False,Q1,2019,10-Q,352309000.0,-13491000.0,-57015000.0,3.48,-0.58,0.0,1343790000.0,339940000.0,335632000.0,63188000.0,1100.0,-17614000.0,-27289000.0,-11220000.0,,247478000.0,23433000.0
FGP,2016-01-31,False,Q2,2016,10-Q,649238000.0,93813000.0,57127000.0,0.58,0.58,0.0,2481481000.0,425758000.0,492234000.0,11754000.0,1100.0,54027000.0,-45766000.0,-4159000.0,311600000.0,445659000.0,39461000.0
FGP,2016-04-30,False,Q3,2016,10-Q,509472000.0,54218000.0,18685000.0,0.19,0.19,0.0,2372849000.0,322566000.0,325528000.0,6266000.0,1100.0,220082000.0,-110918000.0,-110550000.0,299000000.0,446333000.0,108387000.0
FGP,2018-07-31,False,FY,2018,10-K,2073142000.0,-91964000.0,-254581000.0,3.48,-2.59,0.4,1363281000.0,363921000.0,279645000.0,119311000.0,72552.0,74148000.0,49527000.0,-10124000.0,2111830000.0,246098000.0,84919000.0
