symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FITB,2018-12-31,False,FY,2018,10-K,7973000000.0,,2118000000.0,3.11,3.06,0.74,146069000000.0,,,2681000000.0,16250000000.0,2856000000.0,-4141000000.0,1452000000.0,14426000000.0,2478000000.0,192000000.0
FITB,2010-09-30,False,Q3,2010,10-Q,1953000000.0,,175000000.0,0.22,0.22,0.0,112322000000.0,,,2215000000.0,13913000000.0,2291000000.0,1561000000.0,-3955000000.0,10953000000.0,2417000000.0,151000000.0
FITB,2010-06-30,False,Q2,2010,10-Q,1736000000.0,,130000000.0,0.16,0.16,0.0,112025000000.0,,,2216000000.0,13701000000.0,1244000000.0,2025000000.0,-3371000000.0,10989000000.0,2417000000.0,91000000.0
FITB,2010-03-31,False,Q1,2010,10-Q,1770000000.0,,-72000000.0,-0.09,-0.09,0.01,112651000000.0,,,2133000000.0,13408000000.0,910000000.0,740000000.0,-1835000000.0,10947000000.0,2417000000.0,42000000.0
FITB,2009-12-31,False,FY,2009,10-K,9450000000.0,,511000000.0,0.73,0.67,0.04,113380000000.0,,,2318000000.0,13497000000.0,3794000000.0,1076000000.0,-5291000000.0,10507000000.0,2417000000.0,173000000.0
FITB,2009-09-30,False,Q3,2009,10-Q,2020000000.0,,-159000000.0,-0.2,-0.2,0.0,110740000000.0,,,2130000000.0,13688000000.0,2471000000.0,5102000000.0,-8182000000.0,10162000000.0,2417000000.0,157000000.0
FITB,2009-06-30,False,Q2,2009,10-Q,3762000000.0,,856000000.0,1.35,1.15,0.0,115984000000.0,,,2899000000.0,13700000000.0,627000000.0,3043000000.0,-3510000000.0,10102000000.0,2417000000.0,95000000.0
FITB,2010-12-31,False,FY,2010,10-K,7218000000.0,,503000000.0,0.63,0.63,0.04,111007000000.0,,,2159000000.0,14080000000.0,3305000000.0,1708000000.0,-5172000000.0,9558000000.0,2417000000.0,224000000.0
FITB,2012-06-30,False,Q2,2012,10-Q,1705000000.0,,376000000.0,0.41,0.4,0.08,117543000000.0,,,2393000000.0,13824000000.0,2073000000.0,-2342000000.0,-1000000.0,9685000000.0,2417000000.0,193000000.0
FITB,2014-03-31,False,Q1,2014,10-Q,1557000000.0,,309000000.0,0.36,0.36,0.12,129654000000.0,,,3153000000.0,14864000000.0,340000000.0,-632000000.0,267000000.0,11233000000.0,2416000000.0,61000000.0
FITB,2013-12-31,False,FY,2013,10-K,7200000000.0,,1799000000.0,2.05,2.02,0.47,130443000000.0,,,3178000000.0,14626000000.0,4595000000.0,-10184000000.0,6326000000.0,9633000000.0,2416000000.0,274000000.0
FITB,2013-09-30,False,Q3,2013,10-Q,1713000000.0,,421000000.0,0.47,0.47,0.12,125673000000.0,,,2887000000.0,14680000000.0,3827000000.0,-5360000000.0,1979000000.0,8098000000.0,2416000000.0,198000000.0
FITB,2013-06-30,False,Q2,2013,10-Q,2044000000.0,,582000000.0,0.67,0.65,0.12,123360000000.0,,,2390000000.0,14277000000.0,2591000000.0,-1907000000.0,-735000000.0,6940000000.0,2416000000.0,138000000.0
