symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FLS,2012-06-30,False,Q2,2012,10-Q,1182225000.0,164796000.0,107316000.0,1.99,1.98,0.36,4605883000.0,2617647000.0,1752590000.0,175213000.0,1997604000.0,60375000.0,-54599000.0,-167168000.0,796775000.0,1042410000.0,56885000.0
FLS,2012-03-31,False,Q1,2012,10-Q,1074980000.0,142523000.0,93125000.0,1.71,1.69,0.36,4618410000.0,2606223000.0,1379820000.0,172694000.0,2366652000.0,-107891000.0,-26514000.0,-34566000.0,499421000.0,1057372000.0,28686000.0
FLS,2011-06-30,False,Q2,2011,10-Q,1125752000.0,140106000.0,98732000.0,1.77,1.76,0.32,4563276000.0,2589622000.0,1334289000.0,221312000.0,2331460000.0,-237795000.0,-45653000.0,-62909000.0,520160000.0,1035372000.0,48498000.0
FLS,2011-09-30,False,Q3,2011,10-Q,1121813000.0,154957000.0,107771000.0,1.94,1.92,0.32,4480505000.0,2577466000.0,1298066000.0,227885000.0,2306869000.0,-150085000.0,-68524000.0,-110036000.0,507888000.0,1013526000.0,71164000.0
FLS,2010-09-30,False,Q3,2010,10-Q,971681000.0,129196000.0,103919000.0,1.86,1.84,0.29,4229824000.0,2334225000.0,1268249000.0,310613000.0,2023088000.0,-16619000.0,-234751000.0,-68374000.0,,1007799000.0,46429000.0
FLS,2010-12-31,False,FY,2010,10-K,4032036000.0,581352000.0,388290000.0,6.96,6.88,1.16,4459910000.0,2523744000.0,1456375000.0,557579000.0,2113033000.0,355775000.0,-286717000.0,-142913000.0,,1012530000.0,102002000.0
FLS,2012-09-30,False,Q3,2012,10-Q,1165923000.0,165706000.0,106296000.0,2.09,2.07,0.36,4743748000.0,2721070000.0,1410439000.0,217420000.0,2027225000.0,122564000.0,-80528000.0,-164913000.0,927996000.0,1047729000.0,84180000.0
FLS,2011-03-31,False,Q1,2011,10-Q,997207000.0,130253000.0,96982000.0,1.74,1.72,0.32,4449534000.0,2493220000.0,1323895000.0,288858000.0,2227854000.0,-228187000.0,-20728000.0,-27531000.0,,1027178000.0,23501000.0
FLS,2014-03-31,False,Q1,2014,10-Q,1068136000.0,164326000.0,107734000.0,0.78,0.78,0.16,4759408000.0,2607267000.0,1314010000.0,164416000.0,1862873000.0,-84665000.0,15443000.0,-129215000.0,1192332000.0,1101434000.0,31663000.0
FLS,2011-12-31,False,FY,2011,10-K,4510201000.0,618677000.0,428582000.0,7.72,7.64,1.28,4622614000.0,2628354000.0,1470321000.0,337356000.0,2278230000.0,218213000.0,-194203000.0,-238956000.0,505216000.0,1045077000.0,107967000.0
FLS,2013-09-30,False,Q3,2013,10-Q,1229057000.0,193388000.0,126271000.0,0.9,0.9,0.14,4696194000.0,2626651000.0,1594249000.0,113751000.0,1810467000.0,108888000.0,-57636000.0,-237009000.0,1108158000.0,1058802000.0,94702000.0
FLS,2013-03-31,False,Q1,2013,10-Q,1096596000.0,170479000.0,97789000.0,2.03,2.01,0.42,4668294000.0,2633838000.0,1563126000.0,169437000.0,1787760000.0,-108070000.0,2051000.0,-25382000.0,1069654000.0,1042741000.0,34258000.0
FLS,2013-12-31,False,FY,2013,10-K,4954619000.0,760283000.0,485530000.0,3.43,3.41,0.56,5036733000.0,2847382000.0,1558099000.0,363804000.0,1877121000.0,487759000.0,-167998000.0,-255824000.0,1200297000.0,1107551000.0,139090000.0
FLS,2012-12-31,False,FY,2012,10-K,4751339000.0,675778000.0,448339000.0,8.58,8.51,1.44,4810958000.0,2740216000.0,1590625000.0,304252000.0,1894475000.0,517130000.0,-126427000.0,-428922000.0,928594000.0,1053852000.0,135539000.0
FLS,2013-06-30,False,Q2,2013,10-Q,1239526000.0,183521000.0,120386000.0,0.85,0.84,0.14,4638143000.0,2611866000.0,1620090000.0,104712000.0,1721949000.0,-32826000.0,-24726000.0,-135983000.0,1127084000.0,1045958000.0,61159000.0
FLS,2009-06-30,False,Q2,2009,10-Q,1090399000.0,158753000.0,108218000.0,1.94,1.92,0.27,3953335000.0,2221050000.0,1342964000.0,251538000.0,1581554000.0,-77047000.0,-92630000.0,-46262000.0,,863309000.0,64261000.0
FLS,2009-09-30,False,Q3,2009,10-Q,1051064000.0,161205000.0,116944000.0,2.1,2.07,0.27,4017027000.0,2267793000.0,1316342000.0,291225000.0,1720575000.0,4541000.0,-117817000.0,-72315000.0,,865437000.0,87067000.0
FLS,2010-03-31,False,Q1,2010,10-Q,958906000.0,142174000.0,80220000.0,1.44,1.42,0.29,4069041000.0,2358390000.0,1262985000.0,468356000.0,1826195000.0,-148959000.0,-6970000.0,-13179000.0,,857463000.0,14933000.0
