symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FLT,2011-06-30,False,Q2,2011,10-Q,134213000.0,59892000.0,36715000.0,0.46,0.44,0.0,1618909000.0,755272000.0,541988000.0,101200000.0,713030000.0,2454000.0,-6701000.0,-18704000.0,,602802000.0,5916000.0
FLT,2012-03-31,False,Q1,2012,10-Q,146165000.0,64475000.0,42079000.0,0.51,0.49,0.0,2560916000.0,1306780000.0,1269682000.0,287119000.0,883041000.0,-113934000.0,-3573000.0,112149000.0,454242000.0,763487000.0,3563000.0
FLT,2012-09-30,False,Q3,2012,10-Q,186932000.0,85834000.0,59648000.0,0.71,0.69,0.0,2842121000.0,1317969000.0,1355401000.0,300061000.0,1035068000.0,33131000.0,-203453000.0,176151000.0,507502000.0,923715000.0,13634000.0
FLT,2013-06-30,False,Q2,2013,10-Q,220869000.0,109074000.0,73099000.0,0.9,0.87,0.0,3013089000.0,1405818000.0,1300576000.0,292905000.0,1050014000.0,82712000.0,-167064000.0,110084000.0,632088000.0,994648000.0,10108000.0
FLT,2012-06-30,False,Q2,2012,10-Q,171820000.0,81448000.0,54401000.0,0.65,0.63,0.0,2504689000.0,1198317000.0,1135207000.0,255579000.0,941920000.0,-36798000.0,-43921000.0,49901000.0,415823000.0,775749000.0,8431000.0
FLT,2018-12-31,False,FY,2018,10-K,2433492000.0,1090698000.0,811483000.0,9.14,8.81,0.0,11202477000.0,3875986000.0,4495213000.0,1031145000.0,3340180000.0,903382000.0,-26270000.0,-577815000.0,2000000000.0,4542074000.0,81387000.0
FLT,2014-06-30,False,Q2,2014,10-Q,273502000.0,134484000.0,88549000.0,1.07,1.03,0.0,4253365000.0,1523054000.0,2027988000.0,297642000.0,1475520000.0,157721000.0,-201402000.0,1782000.0,1046956000.0,1572930000.0,11552000.0
FLT,2011-09-30,False,Q3,2011,10-Q,134213000.0,61723000.0,40514000.0,0.5,0.48,0.0,1739543000.0,786933000.0,604117000.0,137284000.0,761824000.0,70517000.0,-30341000.0,-23997000.0,,642799000.0,8408000.0
FLT,2011-12-31,False,FY,2011,10-K,519591000.0,226334000.0,147335000.0,1.83,1.76,0.0,2324492000.0,1122925000.0,1121747000.0,285159000.0,811436000.0,279625000.0,-347217000.0,236221000.0,418783000.0,823549000.0,13454000.0
FLT,2013-03-31,False,Q1,2013,10-Q,193651000.0,94253000.0,64662000.0,0.8,0.77,0.0,2890384000.0,1318066000.0,1239829000.0,224613000.0,983013000.0,-13690000.0,-99535000.0,63591000.0,614363000.0,973335000.0,4762000.0
FLT,2012-12-31,False,FY,2012,10-K,707534000.0,324928000.0,216199000.0,2.59,2.52,0.0,2721870000.0,1195354000.0,1142222000.0,283649000.0,913822000.0,135460000.0,-209558000.0,61988000.0,647391000.0,926609000.0,19111000.0
FLT,2014-12-31,False,FY,2014,10-K,1199390000.0,565449000.0,368707000.0,4.37,4.24,0.0,8674506000.0,2137350000.0,2896618000.0,477069000.0,2753137000.0,608334000.0,-2594087000.0,2162265000.0,2918717000.0,3811862000.0,27070000.0
FLT,2014-03-31,False,Q1,2014,10-Q,253908000.0,114136000.0,75109000.0,0.91,0.88,0.0,4036717000.0,1471409000.0,1910093000.0,283374000.0,1366180000.0,51494000.0,-24876000.0,-80893000.0,992784000.0,1561530000.0,5584000.0
FLT,2013-09-30,False,Q3,2013,10-Q,225150000.0,111255000.0,78620000.0,0.96,0.93,0.0,3475105000.0,1490524000.0,1596960000.0,345689000.0,1173902000.0,208011000.0,-392319000.0,253605000.0,739972000.0,1241969000.0,15348000.0
FLT,2014-09-30,False,Q3,2014,10-Q,295283000.0,144207000.0,95509000.0,1.14,1.11,0.0,4224440000.0,1504675000.0,1928690000.0,304109000.0,1558807000.0,317492000.0,-280198000.0,-56193000.0,961165000.0,1557011000.0,18279000.0
FLT,2015-03-31,False,Q1,2015,10-Q,416166000.0,163774000.0,94153000.0,1.03,1.0,0.0,8504724000.0,2109265000.0,2756279000.0,379393000.0,2780174000.0,67403000.0,-8956000.0,-142641000.0,2796812000.0,3761378000.0,8105000.0
FLT,2013-12-31,False,FY,2013,10-K,895171000.0,420632000.0,284501000.0,3.48,3.36,0.0,3932235000.0,1353512000.0,1908898000.0,338105000.0,1243893000.0,375685000.0,-749128000.0,435725000.0,1137378000.0,1552725000.0,20785000.0
