symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FLXN,2018-12-31,False,FY,2018,10-K,22524000.0,-159202000.0,-169659000.0,-4.49,-4.49,0.0,295752000.0,285042000.0,36617000.0,87229000.0,110079000.0,-160419000.0,125584000.0,-6325000.0,13600000.0,,852000.0
FLXN,2015-09-30,False,Q3,2015,10-Q,0.0,-11025625.0,-11136412.0,-0.52,-0.52,0.0,137248068.0,133014679.0,6585917.0,73507121.0,115706291.0,-27963291.0,-13152242.0,11525132.0,17813369000.0,,2415380.0
FLXN,2014-03-31,False,Q1,2014,10-Q,,-6434760.0,-6542244.0,-0.86,-0.86,0.0,79903119.0,79357599.0,5383381.0,35789245.0,71380929.0,-6486814.0,-42526419.0,68614224.0,5058333.0,,1023155.0
FLXN,2015-06-30,False,Q2,2015,10-Q,0.0,-12543819.0,-12436594.0,-0.58,-0.58,0.0,131787934.0,128795082.0,6114839.0,28339513.0,125659636.0,-19037141.0,-52347182.0,-3373686.0,,,1426892.0
FLXN,2014-06-30,False,Q2,2014,10-Q,0.0,-5848825.0,-5930602.0,-0.38,-0.38,0.0,73212399.0,72676043.0,4446727.0,12015370.0,66127032.0,-12261123.0,-59884473.0,67972712.0,4570000.0,,61613.0
FLXN,2014-09-30,False,Q3,2014,10-Q,0.0,-6962319.0,-7035607.0,-0.45,-0.45,0.0,68125234.0,67298867.0,6195328.0,14365010.0,59791435.0,-16814380.0,-52526123.0,67517259.0,4082000.0,,326571.0
FLXN,2015-03-31,False,Q1,2015,10-Q,0.0,-9014943.0,-9173523.0,-0.43,-0.43,0.0,141021791.0,134237611.0,4159674.0,26963175.0,136833883.0,-9977571.0,-62468958.0,-3687818.0,,,533060.0
FLXN,2014-12-31,False,FY,2014,10-K,0.0,-26987274.0,-27313664.0,-1.97,-1.97,0.0,153376758.0,152126992.0,6798526.0,103097522.0,144941891.0,-23144921.0,-49451034.0,159505223.0,3593333.0,,802481.0
FLXN,2017-06-30,False,Q2,2017,10-Q,,-26902000.0,-28880000.0,-0.91,-0.91,0.0,374656000.0,362193000.0,19805000.0,197179000.0,203379000.0,-42239000.0,15241000.0,193262000.0,27551000.0,,1682000.0
FLXN,2016-06-30,False,Q2,2016,10-Q,0.0,-14120000.0,-14185000.0,-0.63,-0.63,0.0,175998000.0,164542000.0,8199000.0,119010000.0,154026000.0,-25316000.0,3515000.0,77867000.0,15154000.0,,7678000.0
FLXN,2016-03-31,False,Q1,2016,10-Q,0.0,-16673000.0,-16815000.0,-0.78,-0.78,0.0,112071000.0,99632000.0,8259000.0,58903000.0,88902000.0,-13996000.0,9997000.0,-42000.0,15072000.0,,3094000.0
FLXN,2016-12-31,False,FY,2016,10-K,,-69780292.0,-71893959.0,-2.84,-2.84,0.0,226262174.0,209393574.0,17540093.0,30915374.0,187031956.0,-62471768.0,-132753103.0,163196201.0,30532783.0,,8439577.0
FLXN,2016-09-30,False,Q3,2016,10-Q,0.0,-17435000.0,-17782000.0,-0.65,-0.65,0.0,174422000.0,161086000.0,12387000.0,66809000.0,138032000.0,-41485000.0,-47402000.0,92752000.0,30298000.0,,8165000.0
FLXN,2015-12-31,False,FY,2015,10-K,0.0,-46063076.0,-46315451.0,-2.15,-2.15,0.0,127138512.0,112102708.0,8058974.0,62944044.0,103986444.0,-38948632.0,-13244726.0,12039880.0,15002039000.0,,5197326.0
FLXN,2017-09-30,False,Q3,2017,10-Q,,-31221000.0,-34188000.0,-1.07,-1.07,0.0,350790000.0,338709000.0,26203000.0,159179000.0,173653000.0,-65938000.0,1820000.0,192382000.0,25227000.0,,1882000.0
FLXN,2017-03-31,False,Q1,2017,10-Q,,-23782000.0,-23879000.0,-0.75,-0.75,0.0,204293000.0,190124000.0,17992000.0,42921000.0,166099000.0,-21394000.0,33769000.0,-369000.0,29875000.0,,1018000.0
FLXN,2017-12-31,False,FY,2017,10-K,355000.0,-129681000.0,-137481000.0,-4.16,-4.16,0.0,441317000.0,397990000.0,30572000.0,127789000.0,260274000.0,-107831000.0,-118792000.0,323497000.0,22900000.0,,2146000.0
FLXN,2018-03-31,False,Q1,2018,10-Q,2194000.0,-38954000.0,-41569000.0,-1.1,-1.1,0.0,397089000.0,380587000.0,24447000.0,147304000.0,222607000.0,-44981000.0,66582000.0,-2086000.0,20600000.0,,334000.0
FLXN,2018-06-30,False,Q2,2018,10-Q,3797000.0,-41279000.0,-43875000.0,-1.16,-1.16,0.0,362528000.0,351838000.0,27279000.0,174565000.0,185507000.0,-82026000.0,130296000.0,-2094000.0,18300000.0,,561000.0
FLXN,2018-09-30,False,Q3,2018,10-Q,6990000.0,-41011000.0,-43640000.0,-1.15,-1.15,0.0,331695000.0,321410000.0,36212000.0,117766000.0,146105000.0,-117761000.0,111613000.0,-4475000.0,15900000.0,,688000.0
