symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FLXS,2018-12-31,False,Q2,2019,10-Q,118352000.0,2103000.0,1566000.0,0.2,0.2,0.22,287090000.0,180575000.0,43666000.0,25581000.0,241786000.0,10930000.0,-9477000.0,-3622000.0,1300000.0,,17462000.0
FLXS,2011-09-30,False,Q1,2012,10-Q,81520000.0,3633000.0,2378000.0,0.35,0.34,0.1,165519000.0,130005000.0,27341000.0,14086000.0,130190000.0,-2954000.0,-432000.0,-417000.0,,,580000.0
FLXS,2013-03-31,False,FY,2013,10-Q,98351000.0,4868000.0,3118000.0,0.44,0.42,0.15,190586000.0,144036000.0,34176000.0,11737000.0,147511000.0,6178000.0,-6310000.0,-2101000.0,,,5652000.0
FLXS,2011-12-31,False,Q2,2012,10-Q,85001000.0,4693000.0,2948000.0,0.44,0.42,0.1,170921000.0,132653000.0,29835000.0,15871000.0,133017000.0,2006000.0,-2950000.0,-1074000.0,,,2676000.0
FLXS,2012-03-31,False,Q3,2012,10-Q,91631000.0,5123000.0,3343000.0,0.49,0.48,0.1,175424000.0,134372000.0,30762000.0,19273000.0,136243000.0,8620000.0,-5567000.0,-1669000.0,,,5255000.0
FLXS,2012-09-30,False,FY,2013,10-Q,91237000.0,4391000.0,2872000.0,0.41,0.4,0.15,183294000.0,133681000.0,30930000.0,6528000.0,141919000.0,-3517000.0,-3162000.0,-763000.0,,,3005000.0
FLXS,2012-12-31,False,FY,2013,10-Q,94590000.0,4597000.0,2922000.0,0.42,0.4,0.15,185777000.0,137200000.0,31400000.0,8149000.0,144797000.0,2065000.0,-5538000.0,-2348000.0,,,4918000.0
FLXS,2012-06-30,False,FY,2012,10-K,352089000.0,20246000.0,13068000.0,1.93,1.86,0.45,181672000.0,135593000.0,31849000.0,13970000.0,139442000.0,8977000.0,-11277000.0,-1619000.0,,,10939000.0
FLXS,2014-06-30,False,FY,2014,10-K,438543000.0,22286000.0,14990000.0,2.07,2.0,0.6,210213000.0,165410000.0,36766000.0,22176000.0,166735000.0,16237000.0,-4417000.0,-578000.0,,,4187000.0
FLXS,2014-03-31,False,Q3,2014,10-Q,110532000.0,6589000.0,4420000.0,0.61,0.58,0.15,202100000.0,156907000.0,34596000.0,17305000.0,160201000.0,11585000.0,-4127000.0,-1087000.0,,,3830000.0
FLXS,2014-09-30,False,FY,2015,10-Q,108666000.0,7129000.0,4878000.0,0.66,0.64,0.18,235388000.0,165420000.0,58188000.0,10307000.0,170446000.0,3154000.0,-25905000.0,10882000.0,,,25841000.0
FLXS,2016-03-31,False,Q3,2016,10-Q,125400000.0,11303000.0,6944000.0,0.91,0.89,0.18,243940000.0,171105000.0,35038000.0,15374000.0,204260000.0,32091000.0,-4450000.0,-13549000.0,2300000.0,,7116000.0
FLXS,2013-12-31,False,Q2,2014,10-Q,112534000.0,1458000.0,1170000.0,0.16,0.16,0.15,206552000.0,161912000.0,43502000.0,8876000.0,155841000.0,1226000.0,-2269000.0,-1015000.0,,,1481000.0
FLXS,2013-09-30,False,FY,2014,10-Q,104348000.0,5436000.0,3768000.0,0.53,0.51,0.15,200120000.0,156690000.0,39442000.0,10625000.0,154396000.0,1243000.0,-992000.0,-560000.0,,,679000.0
FLXS,2016-09-30,False,Q1,2017,10-Q,112050000.0,7704000.0,4752000.0,0.62,0.61,0.2,251752000.0,179427000.0,33775000.0,42668000.0,214027000.0,11234000.0,-4450000.0,-896000.0,2300000.0,,4491000.0
FLXS,2015-12-31,False,Q2,2016,10-Q,125410000.0,8434000.0,5366000.0,0.71,0.69,0.18,247879000.0,177766000.0,44029000.0,329000.0,197615000.0,9251000.0,-3189000.0,-7015000.0,5600000.0,,5848000.0
FLXS,2015-09-30,False,Q1,2016,10-Q,126531000.0,9379000.0,5762000.0,0.77,0.74,0.18,240792000.0,168930000.0,43337000.0,1865000.0,191876000.0,8508000.0,-2145000.0,-5780000.0,6800000.0,,2090000.0
FLXS,2016-06-30,False,FY,2016,10-K,500106000.0,38068000.0,24237000.0,3.19,3.12,0.72,246896000.0,176443000.0,33357000.0,36780000.0,209650000.0,54367000.0,-4692000.0,-14177000.0,2300000.0,,7382000.0
FLXS,2013-06-30,False,FY,2013,10-K,386189000.0,20271000.0,13151000.0,1.87,1.8,0.6,192539000.0,149201000.0,35502000.0,10934000.0,151237000.0,5905000.0,-6017000.0,-2924000.0,,,6225000.0
FLXS,2017-09-30,False,Q1,2018,10-Q,119834000.0,9739000.0,6180000.0,0.79,0.78,0.22,279973000.0,206780000.0,42602000.0,33446000.0,235103000.0,1532000.0,5075000.0,-2035000.0,1300000.0,,5075000.0
FLXS,2018-03-31,False,Q3,2018,10-Q,126861000.0,4351000.0,3079000.0,0.39,0.39,0.22,286738000.0,200771000.0,43408000.0,23606000.0,241470000.0,14289000.0,-14064000.0,-5493000.0,1300000.0,,20149000.0
FLXS,2017-12-31,False,Q2,2018,10-Q,129392000.0,7723000.0,6221000.0,0.79,0.78,0.22,281455000.0,202247000.0,39352000.0,17579000.0,239795000.0,1300000.0,-8804000.0,-3791000.0,1300000.0,,12902000.0
FLXS,2014-12-31,False,FY,2015,10-Q,114386000.0,7502000.0,4684000.0,0.63,0.61,0.18,236653000.0,163295000.0,44927000.0,155000.0,175212000.0,-5602000.0,-30453000.0,14034000.0,,,30242000.0
FLXS,2015-03-31,False,FY,2015,10-Q,122530000.0,11209000.0,6956000.0,0.94,0.9,0.18,245153000.0,169043000.0,42958000.0,5728000.0,181235000.0,6065000.0,-33957000.0,11444000.0,,,33752000.0
FLXS,2017-06-30,False,FY,2017,10-K,468764000.0,37264000.0,23786000.0,3.06,3.02,0.8,270045000.0,195250000.0,37195000.0,28874000.0,230760000.0,26388000.0,-29672000.0,-4622000.0,1300000.0,,13457000.0
FLXS,2018-06-30,False,FY,2018,10-K,489180000.0,24505000.0,17666000.0,2.25,2.23,0.88,284293000.0,189634000.0,40929000.0,27750000.0,241698000.0,27294000.0,-21353000.0,-7065000.0,1300000.0,,29447000.0
FLXS,2015-06-30,False,FY,2015,10-K,466904000.0,34422000.0,22299000.0,3.0,2.89,0.72,244619000.0,171222000.0,51320000.0,1282000.0,186747000.0,3269000.0,-32559000.0,8396000.0,10600000.0,,37423000.0
FLXS,2017-03-31,False,Q3,2017,10-Q,120750000.0,12033000.0,7624000.0,0.98,0.96,0.2,266345000.0,192332000.0,36888000.0,37598000.0,225489000.0,23688000.0,-19712000.0,-3158000.0,2200000.0,,9764000.0
FLXS,2016-12-31,False,Q2,2017,10-Q,118530000.0,8416000.0,5389000.0,0.69,0.68,0.2,262898000.0,188573000.0,40524000.0,40817000.0,218462000.0,12119000.0,-5961000.0,-2121000.0,2200000.0,,6005000.0
FLXS,2018-09-30,False,Q1,2019,10-Q,113487000.0,1595000.0,1296000.0,0.16,0.16,0.22,287148000.0,183639000.0,43789000.0,23349000.0,241658000.0,9898000.0,-12402000.0,-1897000.0,1300000.0,,10434000.0
