symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FR,2011-06-30,False,Q2,2011,10-Q,73323000.0,,-4751000.0,-0.14,-0.14,0.0,2735741000.0,,,34548000.0,1083932000.0,37750000.0,749000.0,-29950000.0,100000000.0,,
FR,2012-03-31,False,Q1,2012,10-Q,83086000.0,,-3500000.0,-0.1,-0.1,0.0,2640706000.0,,,2104000.0,1087703000.0,30237000.0,-1359000.0,-36934000.0,1446272000.0,,
FR,2011-09-30,False,Q3,2011,10-Q,76793000.0,,-8918000.0,-0.17,-0.17,0.0,2699732000.0,,,47913000.0,1075579000.0,64107000.0,19676000.0,-61697000.0,161000000.0,,
FR,2012-06-30,False,Q2,2012,10-Q,83820000.0,,-14326000.0,-0.19,-0.19,0.0,2671180000.0,,,5136000.0,1076812000.0,60317000.0,-62574000.0,-2759000.0,306000000.0,,
FR,2018-12-31,False,FY,2018,10-K,403954000.0,,162726000.0,1.31,1.31,0.87,3142691000.0,,,43102000.0,1679911000.0,210495000.0,-223398000.0,16794000.0,544504000.0,,
FR,2012-09-30,False,Q3,2012,10-Q,80984000.0,,4194000.0,-0.01,-0.01,0.0,2611483000.0,,,2808000.0,1199870000.0,90831000.0,-21046000.0,-77144000.0,27000000.0,,
FR,2013-03-31,False,Q1,2013,10-Q,83268000.0,,-4740000.0,-0.02,-0.02,0.085,2628749000.0,,,23319000.0,1264689000.0,20401000.0,-25402000.0,23396000.0,1236401000.0,,
FR,2012-12-31,False,FY,2012,10-K,327273000.0,,-22069000.0,-0.39,-0.39,0.0,2608842000.0,,,4938000.0,1145653000.0,136422000.0,-42235000.0,-99407000.0,1338175000.0,,
FR,2011-12-31,False,FY,2011,10-K,317835000.0,,-27010000.0,-0.59,-0.59,0.0,2666657000.0,,,10153000.0,1072595000.0,87534000.0,-3779000.0,-99504000.0,1483803000.0,,
FR,2013-09-30,False,Q3,2013,10-Q,83410000.0,,5031000.0,0.0,0.0,0.085,2611115000.0,,,7343000.0,1157458000.0,85562000.0,-65240000.0,-17897000.0,1330786000.0,,
FR,2013-06-30,False,Q2,2013,10-Q,84687000.0,,5294000.0,-0.07,-0.07,0.085,2611718000.0,,,4734000.0,1207747000.0,45654000.0,-48461000.0,2646000.0,1285981000.0,,
FR,2014-03-31,False,Q1,2014,10-Q,86168000.0,,2482000.0,0.02,0.02,0.1025,2582738000.0,,,3908000.0,1087498000.0,24135000.0,-13856000.0,-13918000.0,1373473000.0,,
FR,2014-06-30,False,Q2,2014,10-Q,86260000.0,,4039000.0,0.03,0.03,0.1025,2590890000.0,,,4825000.0,1077617000.0,51623000.0,-47857000.0,-6491000.0,1382951000.0,,
FR,2014-09-30,False,Q3,2014,10-Q,87077000.0,,21327000.0,0.07,0.07,0.1025,2576511000.0,,,14259000.0,1093035000.0,95863000.0,-28720000.0,-60438000.0,1343764000.0,,
FR,2015-06-30,False,Q2,2015,10-Q,90456000.0,,14012000.0,0.13,0.13,0.1275,2572258000.0,,,5127000.0,1086826000.0,74702000.0,-48352000.0,-30709000.0,1349884000.0,,
FR,2015-09-30,False,Q3,2015,10-Q,92157000.0,,13917000.0,0.13,0.13,0.1275,2706680000.0,,,66939000.0,1079734000.0,120690000.0,-136064000.0,72827000.0,1470844000.0,,
FR,2016-06-30,False,Q2,2016,10-Q,93015000.0,,50229000.0,0.43,0.43,0.19,2728198000.0,,,4376000.0,1247987000.0,74124000.0,-29093000.0,-44642000.0,1319521000.0,,
FR,2015-03-31,False,Q1,2015,10-Q,89942000.0,,2373000.0,0.02,0.02,0.1275,2553758000.0,,,3557000.0,1082694000.0,27954000.0,2098000.0,-35981000.0,1329883000.0,,
FR,2016-09-30,False,Q3,2016,10-Q,93562000.0,,31519000.0,0.27,0.27,0.19,2767563000.0,,,8074000.0,1262841000.0,127213000.0,-68091000.0,-55035000.0,1332129000.0,,
FR,2016-03-31,False,Q1,2016,10-Q,93467000.0,,15688000.0,0.14,0.14,0.19,2732419000.0,,,3180000.0,1097937000.0,26809000.0,-48441000.0,20825000.0,1487865000.0,,
FR,2014-12-31,False,FY,2014,10-K,344599000.0,,46629000.0,0.18,0.18,0.41,2581995000.0,,,9500000.0,1090827000.0,137176000.0,-69069000.0,-66166000.0,1349846000.0,,
