symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FRAN,2013-11-02,False,Q3,2013,10-Q,79632000.0,14591000.0,8671000.0,0.2,0.2,0.0,146200000.0,82240000.0,18935000.0,31842000.0,74711000.0,27433000.0,-15564000.0,-9904000.0,,,15646000.0
FRAN,2013-02-02,False,FY,2012,10-K,296373000.0,77940000.0,47061000.0,1.08,1.05,0.0,112595000.0,59106000.0,18446000.0,29877000.0,72057000.0,56999000.0,-23663000.0,-17505000.0,,,23663000.0
FRAN,2018-11-03,False,Q3,2018,10-Q,95375000.0,-23060000.0,-16223000.0,-0.47,-0.47,0.0,179466000.0,79112000.0,49700000.0,10720000.0,94769000.0,5802000.0,-21885000.0,-4528000.0,0.0,,21885000.0
FRAN,2012-10-27,False,Q3,2012,10-Q,71986000.0,17727000.0,10797000.0,0.25,0.24,0.0,96315000.0,48999000.0,18460000.0,12906000.0,55960000.0,32047000.0,-15370000.0,-17817000.0,,,15370000.0
FRAN,2012-01-28,False,FY,2011,10-K,204158000.0,43531000.0,22501000.0,0.53,0.52,0.0,72312000.0,36041000.0,18520000.0,14046000.0,16902000.0,46471000.0,-16858000.0,-28083000.0,,,16894000.0
FRAN,2014-02-01,False,FY,2013,10-K,340325000.0,74270000.0,44839000.0,1.03,1.02,0.0,150545000.0,82425000.0,20030000.0,37498000.0,78067000.0,50142000.0,-24535000.0,-17986000.0,,,24633000.0
FRAN,2013-08-03,False,Q2,2013,10-Q,89566000.0,24073000.0,14619000.0,0.33,0.33,0.0,142591000.0,80450000.0,14363000.0,39550000.0,100753000.0,20105000.0,-11619000.0,1187000.0,,,11622000.0
FRAN,2012-04-28,False,Q1,2012,10-Q,61322000.0,14658000.0,8742000.0,0.2,0.2,0.0,79932000.0,37458000.0,20947000.0,8221000.0,27740000.0,9433000.0,-6620000.0,-8638000.0,,,6620000.0
FRAN,2012-07-28,False,Q2,2012,10-Q,76365000.0,20885000.0,12652000.0,0.29,0.28,0.0,88751000.0,40708000.0,19244000.0,7312000.0,42581000.0,21560000.0,-13931000.0,-14363000.0,,,13931000.0
FRAN,2015-01-31,False,FY,2014,10-K,377497000.0,52774000.0,32108000.0,0.76,0.76,0.0,165545000.0,85899000.0,23454000.0,39071000.0,109214000.0,54444000.0,-24242000.0,-28629000.0,0.0,,24255000.0
