symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FSB,2015-06-30,False,Q2,2015,10-Q,18264000.0,,3109000.0,0.3,0.28,0.0,1766752000.0,,,43163000.0,177081000.0,8048000.0,-420879000.0,406647000.0,,9124000.0,579000.0
FSB,2018-09-30,False,Q3,2018,10-Q,47159000.0,,10549000.0,0.73,0.7,0.0,4167813000.0,,,144660000.0,356177000.0,32174000.0,-279535000.0,140478000.0,,18176000.0,1597000.0
FRFN,2014-06-30,False,Q2,2014,10-Q,11129000.0,,2010000.0,0.41,0.4,0.0,872142000.0,,,26054000.0,74199000.0,-1186000.0,-58513000.0,67536000.0,,157000.0,2014000.0
FRFN,2014-09-30,False,Q3,2014,10-Q,15966000.0,,1990000.0,0.26,0.25,0.0,1238579000.0,,,36657000.0,116454000.0,552000.0,-120536000.0,138424000.0,,9121000.0,2941000.0
FRFN,2014-03-31,True,Q1,2014,10-Q,9720000.0,,1504000.0,0.31,0.3,0.0,866685000.0,,,30870000.0,68827000.0,1706000.0,-55904000.0,66851000.0,,157000.0,1396000.0
FSB,2015-03-31,False,Q1,2015,10-Q,17141000.0,,3107000.0,0.39,0.37,0.0,1509430000.0,,,48580000.0,178541000.0,305000.0,-149024000.0,147952000.0,,9124000.0,386000.0
FSB,2015-09-30,False,Q3,2015,10-Q,23099000.0,,5125000.0,0.49,0.46,0.0,2002538000.0,,,47658000.0,187610000.0,18956000.0,-650942000.0,630297000.0,,9124000.0,692000.0
FSB,2015-12-31,False,FY,2015,10-K,81551000.0,,15980000.0,1.62,1.54,0.0,2167792000.0,,,52394000.0,188816000.0,27278000.0,-818342000.0,794111000.0,,9124000.0,941000.0
FRFN,2014-12-31,False,FY,2014,10-K,53483000.0,,8314000.0,1.32,1.27,0.0,1355827000.0,,,49347000.0,121799000.0,11930000.0,-230974000.0,250174000.0,,9124000.0,3887000.0
FSB,2016-09-30,False,Q3,2016,10-Q,30600000.0,,7030000.0,0.66,0.62,0.0,2703195000.0,,,55749000.0,209644000.0,17755000.0,-518129000.0,503729000.0,,9124000.0,2142000.0
FSB,2016-03-31,False,Q1,2016,10-Q,25646000.0,,6210000.0,0.59,0.56,0.0,2300094000.0,,,62054000.0,191910000.0,13754000.0,-121048000.0,116954000.0,,9124000.0,758000.0
FSB,2016-06-30,False,Q2,2016,10-Q,28912000.0,,6999000.0,0.66,0.62,0.0,2607101000.0,,,72050000.0,204276000.0,13885000.0,-410213000.0,415984000.0,,9124000.0,1461000.0
FSB,2016-12-31,False,FY,2016,10-K,115047000.0,,28034000.0,2.56,2.42,0.0,2943189000.0,,,90927000.0,270361000.0,28196000.0,-741879000.0,752216000.0,,9124000.0,3241000.0
FSB,2017-03-31,False,Q1,2017,10-Q,34549000.0,,7934000.0,0.61,0.58,0.0,3454788000.0,,,114664000.0,278510000.0,27371000.0,-501315000.0,497681000.0,,9124000.0,1048000.0
FSB,2017-09-30,False,Q3,2017,10-Q,37349000.0,,8889000.0,0.67,0.65,0.0,3565278000.0,,,155842000.0,303697000.0,46470000.0,-570433000.0,588878000.0,,9124000.0,2784000.0
FSB,2017-06-30,False,Q2,2017,10-Q,36891000.0,,8866000.0,0.68,0.64,0.0,3443593000.0,,,96741000.0,293021000.0,35453000.0,-507050000.0,477411000.0,,9124000.0,2076000.0
FSB,2018-06-30,False,Q2,2018,10-Q,46283000.0,,10161000.0,0.71,0.68,0.0,4165238000.0,,,176870000.0,348162000.0,16987000.0,-229914000.0,146568000.0,,18176000.0,885000.0
FSB,2018-03-31,False,Q1,2018,10-Q,41503000.0,,10052000.0,0.76,0.73,0.0,4083663000.0,,,246164000.0,304865000.0,12421000.0,-255962000.0,238162000.0,,9124000.0,63000.0
FSB,2017-12-31,False,FY,2017,10-K,147174000.0,,28083000.0,2.14,2.04,0.0,3843526000.0,,,251543000.0,304653000.0,55638000.0,-759628000.0,864606000.0,,9124000.0,3212000.0
