symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FSFG,2011-12-31,False,Q1,2012,10-Q,7032000.0,,867000.0,0.4,0.39,0.0,542239000.0,,,10562000.0,77224000.0,898000.0,-17025000.0,5250000.0,,5940000.0,3395000.0
FSFG,2012-06-30,False,Q3,2012,10-Q,7604000.0,,1229000.0,0.57,0.55,0.0,587038000.0,,,7694000.0,81017000.0,3368000.0,-60196000.0,44907000.0,5000000.0,5940000.0,321000.0
FSFG,2012-12-31,False,Q1,2013,10-Q,45000.0,,973000.0,0.45,0.43,0.4,652634000.0,,,10574000.0,83502000.0,2029000.0,-31487000.0,12362000.0,3246000.0,7936000.0,372000.0
FSFG,2012-03-31,False,Q2,2012,10-Q,6853000.0,,921000.0,0.43,0.41,0.0,546249000.0,,,12440000.0,78948000.0,3850000.0,-19422000.0,6700000.0,,5940000.0,254000.0
FSFG,2018-12-31,False,Q1,2019,10-Q,17582000.0,,2931000.0,1.28,1.24,0.15,1073989000.0,,,11524000.0,104561000.0,-4175000.0,-39135000.0,37380000.0,,9848000.0,7544000.0
FSFG,2013-03-31,False,Q2,2013,10-Q,59000.0,,1127000.0,0.52,0.5,0.1,656155000.0,,,14145000.0,84239000.0,4707000.0,-30038000.0,14044000.0,4432000.0,7936000.0,576000.0
FSFG,2014-06-30,False,Q3,2014,10-Q,157000.0,,1413000.0,0.68,0.64,0.11,701811000.0,,,9477000.0,85663000.0,4735000.0,-40083000.0,33918000.0,4855000.0,7936000.0,299000.0
FSFG,2012-09-30,False,FY,2012,10-K,29416000.0,,4116000.0,1.9,1.85,0.0,638913000.0,,,27569000.0,82926000.0,4328000.0,30905000.0,-23645000.0,0.0,7936000.0,856000.0
FSFG,2013-06-30,False,Q3,2013,10-Q,86000.0,,1098000.0,0.51,0.48,0.1,653020000.0,,,7903000.0,82027000.0,8317000.0,-40500000.0,14507000.0,4962000.0,7936000.0,997000.0
FSFG,2014-09-30,False,FY,2014,10-K,568000.0,,5219000.0,2.46,2.34,0.43,713129000.0,,,8853000.0,87080000.0,8128000.0,-49952000.0,41339000.0,9548000.0,7936000.0,342000.0
FSFG,2013-09-30,False,FY,2013,10-K,317000.0,,4525000.0,2.09,1.99,0.7,660455000.0,,,9607000.0,82253000.0,11922000.0,-50240000.0,20342000.0,9348000.0,7936000.0,4745000.0
FSFG,2014-03-31,False,Q2,2014,10-Q,119000.0,,1493000.0,0.7,0.66,0.11,704170000.0,,,8746000.0,83318000.0,3376000.0,-43873000.0,39553000.0,4896000.0,7936000.0,316000.0
FSFG,2014-12-31,False,Q1,2015,10-Q,151000.0,,1157000.0,0.55,0.52,0.11,723144000.0,,,7844000.0,89509000.0,2984000.0,-6926000.0,4584000.0,4769000.0,7936000.0,10000.0
FSFG,2015-03-31,False,Q2,2015,10-Q,150000.0,,1484000.0,0.69,0.66,0.12,726847000.0,,,9875000.0,91699000.0,4549000.0,-9946000.0,5264000.0,4724000.0,7936000.0,204000.0
FSFG,2013-12-31,False,Q1,2014,10-Q,142000.0,,985000.0,0.46,0.44,0.1,686943000.0,,,9171000.0,82447000.0,1172000.0,-27744000.0,25714000.0,4939000.0,7936000.0,289000.0
FSFG,2011-06-30,False,Q3,2011,10-Q,7384000.0,,1123000.0,0.53,0.51,0.0,523594000.0,,,6647000.0,57990000.0,7147000.0,-21798000.0,12309000.0,,5940000.0,1146000.0
FSFG,2015-06-30,False,Q3,2015,10-Q,164000.0,,2153000.0,1.0,0.95,0.12,730925000.0,,,7963000.0,91954000.0,3040000.0,-11744000.0,9765000.0,4678000.0,7936000.0,350000.0
FSFG,2011-09-30,False,FY,2011,10-K,28991000.0,,3899000.0,1.82,1.78,0.0,537086000.0,,,18099000.0,76601000.0,11007000.0,-18626000.0,23544000.0,,5940000.0,1562000.0
FSFG,2015-09-30,False,FY,2015,10-K,628000.0,,6580000.0,3.07,2.93,0.47,749946000.0,,,9884000.0,94357000.0,-138000.0,-19440000.0,24242000.0,14867000.0,7936000.0,475000.0
