symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FSP,2012-09-30,False,Q3,2012,10-Q,41775000.0,5472000.0,-8998000.0,0.07,0.07,0.19,1395934000.0,,,23962000.0,874596000.0,49570000.0,-29819000.0,-19602000.0,82000000.0,,14376000.0
FSP,2012-06-30,False,Q2,2012,10-Q,38914000.0,5013000.0,5434000.0,0.07,0.07,0.19,1430363000.0,,,22620000.0,901023000.0,28622000.0,-43299000.0,13484000.0,494000000.0,,
FSP,2011-06-30,False,Q2,2011,10-Q,40420000.0,6831000.0,10381000.0,0.13,0.13,0.19,1303764000.0,,,28881000.0,926390000.0,26431000.0,-88538000.0,22775000.0,345000000.0,,45032000.0
FSP,2012-03-31,False,Q1,2012,10-Q,39318000.0,5418000.0,5738000.0,0.07,0.07,0.19,1438528000.0,,,29283000.0,911347000.0,12933000.0,-36705000.0,29242000.0,494000000.0,,
FSP,2011-12-31,False,FY,2011,10-K,139486000.0,14540000.0,43524000.0,0.22,0.22,0.76,1408661000.0,,,23813000.0,921367000.0,60961000.0,-218290000.0,112929000.0,449000000.0,,62230000.0
FSP,2018-12-31,False,FY,2018,10-K,268870000.0,6636000.0,13069000.0,0.12,0.12,0.46,1898102000.0,,,11177000.0,837634000.0,80202000.0,25644000.0,-104488000.0,25000000.0,,51057000.0
FSP,2014-06-30,False,Q2,2014,10-Q,62741000.0,4381000.0,3713000.0,0.04,0.04,0.19,1988597000.0,,,18455000.0,1012744000.0,43118000.0,3786000.0,-48072000.0,296500000.0,,
FSP,2014-03-31,False,Q1,2014,10-Q,63263000.0,4193000.0,3573000.0,0.04,0.04,0.19,2025675000.0,,,20031000.0,1032402000.0,16437000.0,-6993000.0,-9036000.0,316500000.0,,
FSP,2011-09-30,False,Q3,2011,10-Q,35719000.0,2800000.0,3314000.0,0.04,0.04,0.19,1345784000.0,,,44047000.0,932000000.0,44931000.0,-123954000.0,54857000.0,375000000.0,,58955000.0
FSP,2011-03-31,False,Q1,2011,10-Q,33293000.0,3895000.0,24767000.0,0.3,0.3,0.0,1366902000.0,,,49488000.0,931101000.0,10350000.0,-127384000.0,98309000.0,404000000.0,,45032000.0
FSP,2012-12-31,False,FY,2012,10-K,162802000.0,21592000.0,7633000.0,0.28,0.28,0.76,1527179000.0,,,21267000.0,864749000.0,70356000.0,-172289000.0,99387000.0,216750000.0,,37302000.0
FSP,2013-09-30,False,Q3,2013,10-Q,58446000.0,4540000.0,4094000.0,0.04,0.04,0.19,2076629000.0,,,25539000.0,1059149000.0,60278000.0,-569047000.0,513041000.0,331500000.0,,100143000.0
FSP,2010-12-31,False,FY,2010,10-K,123119000.0,16822000.0,22093000.0,0.28,0.28,0.0,1238735000.0,,,68213000.0,921558000.0,53102000.0,-74385000.0,62092000.0,209968000.0,,15563000.0
FSP,2013-06-30,False,Q2,2013,10-Q,47977000.0,5048000.0,4741000.0,0.05,0.05,0.19,1710051000.0,,,24962000.0,1081044000.0,34188000.0,-194438000.0,163945000.0,181500000.0,,28105000.0
FSP,2013-03-31,False,Q1,2013,10-Q,44800000.0,4706000.0,4401000.0,0.05,0.05,0.19,1512702000.0,,,17282000.0,853833000.0,9959000.0,-3186000.0,-10758000.0,221750000.0,,
FSP,2013-12-31,False,FY,2013,10-K,213636000.0,19116000.0,19827000.0,0.18,0.18,0.76,2044034000.0,,,19623000.0,1050166000.0,92028000.0,-562648000.0,468976000.0,306500000.0,,100143000.0
FSP,2010-06-30,False,Q2,2010,10-Q,31119000.0,5569000.0,5954000.0,0.07,0.07,0.0,1186901000.0,,,21487000.0,918852000.0,21128000.0,-50725000.0,23680000.0,162968000.0,,
FSP,2010-09-30,False,Q3,2010,10-Q,32284000.0,4312000.0,4757000.0,0.06,0.06,0.0,1189197000.0,,,20554000.0,910287000.0,39084000.0,-61024000.0,15090000.0,167968000.0,,
FSP,2014-09-30,False,Q3,2014,10-Q,61190000.0,2171000.0,1567000.0,0.02,0.02,0.19,1967317000.0,,,15930000.0,998369000.0,75927000.0,-1012000.0,-78608000.0,285000000.0,,
FSP,2015-06-30,False,Q2,2015,10-Q,60233000.0,3147000.0,3903000.0,0.04,0.04,0.19,1940101000.0,,,15841000.0,955546000.0,45722000.0,-31328000.0,-6072000.0,300000000.0,,10333000.0
FSP,2015-09-30,False,Q3,2015,10-Q,61877000.0,3578000.0,3166000.0,0.03,0.03,0.19,1926380000.0,,,19100000.0,934294000.0,72661000.0,-35973000.0,-25107000.0,300000000.0,,15005000.0
FSP,2015-03-31,False,Q1,2015,10-Q,60507000.0,2553000.0,12533000.0,0.13,0.13,0.19,1889412000.0,,,14945000.0,968330000.0,15062000.0,39400000.0,-47036000.0,240000000.0,,4298000.0
FSP,2014-12-31,False,FY,2014,10-K,249683000.0,14463000.0,13148000.0,0.13,0.13,0.76,1936390000.0,,,7519000.0,979647000.0,103166000.0,1843000.0,-117113000.0,268000000.0,,18370000.0
FSP,2016-06-30,False,Q2,2016,10-Q,60807000.0,3461000.0,1612000.0,0.02,0.02,0.19,1895417000.0,,,7524000.0,894983000.0,32384000.0,-24951000.0,-18072000.0,310000000.0,,10904000.0
