symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FTFT,2018-09-30,False,Q3,2018,10-Q,308691.0,-17710683.0,-17592125.0,-0.94,-0.93,0.0,157291990.0,41207673.0,112079899.0,324123.0,7441777.0,-1729901.0,-1902.0,,,,1902.0
SPU,2012-12-31,False,FY,2012,10-K,2176000.0,25194517.0,17792414.0,0.68,0.68,0.0,195219011.0,134637959.0,31769400.0,77560278.0,163449611.0,19419705.0,-8751032.0,5513790.0,,,6954476.0
SPU,2012-03-31,False,Q1,2012,10-Q,14993500.0,2640376.0,2059409.0,0.07,0.07,0.0,160936457.0,104343637.0,14891082.0,76713489.0,146045375.0,14765513.0,-1334229.0,2031301.0,,,1320608.0
SPU,2011-12-31,False,FY,2011,10-K,84021429.0,19048706.0,14131362.0,0.5,0.5,0.0,160303368.0,104029482.0,16473973.0,61154007.0,143829395.0,25977804.0,-12939900.0,-3989565.0,,,7791997.0
SPU,2012-09-30,False,Q3,2012,10-Q,28563469.0,6689465.0,5252036.0,0.19,0.19,0.0,174803921.0,116979232.0,22076858.0,80869190.0,152727063.0,20267099.0,-5290586.0,5194273.0,,,3829822.0
SPU,2012-06-30,False,Q2,2012,10-Q,12837273.0,2903153.0,2330800.0,0.09,0.09,0.0,166495638.0,109273531.0,18638240.0,87712871.0,147857398.0,25054159.0,-3392073.0,5202179.0,,,1249417.0
SPU,2011-09-30,False,Q3,2011,10-Q,17437105.0,2840292.0,1937840.0,0.07,0.07,0.0,158464822.0,108935159.0,21757620.0,76425179.0,136707202.0,28814922.0,-6079686.0,2529779.0,,,138927.0
SPU,2011-06-30,False,Q2,2011,10-Q,12210706.0,2371242.0,1628347.0,0.06,0.06,0.0,155214420.0,106545331.0,21787238.0,76146274.0,133427182.0,27539410.0,-4848840.0,2502977.0,,,134415.0
SPU,2014-06-30,False,Q2,2014,10-Q,11978652.0,2173529.0,156816.0,,,0.0,267408689.0,126454043.0,65656159.0,79723955.0,176617907.0,22352391.0,-2478657.0,-6395697.0,3831441.0,,9966212.0
SPU,2014-03-31,False,Q1,2014,10-Q,612000.0,1613616.0,637059.0,0.02,0.02,0.0,232625102.0,111527685.0,43737599.0,76035402.0,180887503.0,14867346.0,-3866882.0,-1199800.0,,,3851844.0
SPU,2013-12-31,False,FY,2013,10-K,2600000.0,18177096.0,12168714.0,0.46,0.46,0.0,233119543.0,115076016.0,43163611.0,66888954.0,181955932.0,24907376.0,-60008684.0,22016315.0,,,12616030.0
SPU,2013-09-30,False,Q3,2013,10-Q,19472130.0,4591352.0,3013876.0,0.11,0.11,0.0,213317159.0,115653250.0,37834728.0,87176550.0,175482431.0,31382490.0,-39194760.0,15610374.0,,,663182.0
SPU,2013-06-30,False,Q2,2013,10-Q,10349909.0,939196.0,680042.0,0.03,0.03,0.0,200095946.0,102163662.0,28775334.0,80313361.0,171320612.0,29816079.0,-38485811.0,10098821.0,,,-485142.0
SPU,2013-03-31,False,Q1,2013,10-Q,18611456.0,5495196.0,3818148.0,0.14,0.14,0.0,190663842.0,130740473.0,22646139.0,91320803.0,168017703.0,13192951.0,-438292.0,814526.0,,,428692.0
SPU,2014-12-31,False,FY,2014,10-K,2900000.0,17442410.0,7871448.0,0.3,0.3,0.0,279434092.0,104611525.0,69761724.0,25130302.0,186087790.0,4176425.0,-40607798.0,-5164679.0,2954401.0,,15383337.0
SPU,2014-09-30,False,Q3,2014,10-Q,667700.0,7204977.0,4716884.0,0.17,0.17,0.0,280828612.0,106651585.0,75347390.0,33879350.0,181348136.0,12929774.0,-37116565.0,-8264673.0,4037530.0,,16430606.0
SPU,2015-09-30,False,Q3,2015,10-Q,10548336.0,1457766.0,-369763.0,-0.02,-0.02,0.0,261791370.0,94425455.0,59624269.0,60082653.0,181981990.0,38210079.0,-4765094.0,3568702.0,4988418.0,,4622320.0
SPU,2015-06-30,False,Q2,2015,10-Q,12165269.0,3565857.0,2177495.0,0.08,0.08,0.0,269580735.0,96776381.0,56468076.0,60370972.0,189980761.0,36657715.0,-1883751.0,365910.0,3940172.0,,2036888.0
SPU,2016-09-30,False,Q3,2016,10-Q,10590973.0,948215.0,-420610.0,-0.1,-0.1,0.0,277599759.0,35113798.0,78961024.0,2532553.0,183582145.0,34110453.0,-92931036.0,23967282.0,,,28386.0
SPU,2015-03-31,False,Q1,2015,10-Q,412543.0,3122225.0,1682900.0,0.06,0.06,0.0,279853391.0,105975079.0,69315344.0,39155769.0,187012334.0,8149084.0,-2129591.0,8080186.0,2066609.0,,1984556.0
