symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FWRD,2016-09-30,False,Q3,2016,10-Q,249552000.0,24700000.0,11931000.0,0.39,0.39,0.12,641513000.0,143960000.0,91124000.0,11312000.0,495842000.0,94608000.0,-39403000.0,-77205000.0,1220000.0,184675000.0,28725000.0
FWRD,2016-12-31,False,FY,2016,10-K,982530000.0,59979000.0,27670000.0,0.91,0.9,0.51,641291000.0,136270000.0,77927000.0,8511000.0,499069000.0,130350000.0,-52393000.0,-102758000.0,1139000.0,184675000.0,42186000.0
FWRD,2015-03-31,False,Q1,2015,10-Q,205918000.0,8249000.0,4837000.0,0.16,0.16,0.12,715387000.0,196735000.0,114013000.0,54495000.0,477014000.0,7459000.0,-67105000.0,72712000.0,2029000.0,202909000.0,5229000.0
FWRD,2016-03-31,False,Q1,2016,10-Q,229549000.0,21405000.0,13099000.0,0.43,0.43,0.12,689053000.0,167936000.0,118748000.0,38037000.0,510570000.0,37441000.0,-4211000.0,-28505000.0,1324000.0,206517000.0,2688000.0
FWRD,2018-12-31,False,FY,2018,10-K,1320886000.0,122031000.0,92051000.0,3.14,3.12,0.63,760215000.0,201082000.0,74723000.0,25657000.0,553244000.0,152554000.0,-55463000.0,-75327000.0,374000.0,199092000.0,42293000.0
FWRD,2015-06-30,False,Q2,2015,10-Q,249694000.0,19908000.0,11824000.0,0.38,0.38,0.12,709360000.0,193342000.0,116713000.0,42531000.0,488484000.0,18562000.0,-73782000.0,56322000.0,1810000.0,206530000.0,11962000.0
FWRD,2017-12-31,False,FY,2017,10-K,1100816000.0,108672000.0,87321000.0,2.9,2.89,0.6,687716000.0,162742000.0,60132000.0,3893000.0,533489000.0,103364000.0,-59188000.0,-48794000.0,744000.0,191671000.0,38265000.0
FWRD,2015-12-31,False,FY,2015,10-K,959125000.0,81772000.0,55575000.0,1.8,1.78,0.48,700171000.0,173457000.0,109044000.0,33312000.0,510055000.0,85722000.0,-100918000.0,7079000.0,1434000.0,205609000.0,40495000.0
FWRD,2017-03-31,False,Q1,2017,10-Q,246982000.0,23189000.0,14243000.0,0.47,0.47,0.15,635868000.0,139202000.0,58485000.0,14335000.0,500628000.0,37060000.0,-1733000.0,-29503000.0,1058000.0,184675000.0,2652000.0
FWRD,2018-03-31,False,Q1,2018,10-Q,302608000.0,24235000.0,17741000.0,0.6,0.6,0.15,690207000.0,170073000.0,66331000.0,12735000.0,526443000.0,40813000.0,-5668000.0,-26303000.0,649000.0,191671000.0,6221000.0
FWRD,2017-09-30,False,Q3,2017,10-Q,280201000.0,26898000.0,18155000.0,0.6,0.6,0.15,669168000.0,157842000.0,58197000.0,12423000.0,505590000.0,77711000.0,-34686000.0,-39113000.0,935000.0,191535000.0,13610000.0
FWRD,2017-06-30,False,Q2,2017,10-Q,267518000.0,29809000.0,19550000.0,0.65,0.64,0.15,659687000.0,148151000.0,54654000.0,10090000.0,519237000.0,51981000.0,-25311000.0,-25091000.0,1119000.0,191535000.0,4662000.0
FWRD,2014-12-31,False,FY,2014,10-K,780959000.0,96406000.0,61169000.0,1.99,1.96,0.48,541805000.0,149955000.0,43431000.0,41429000.0,463563000.0,91660000.0,-127710000.0,-49888000.0,1578000.0,144412000.0,39487000.0
FWRD,2018-06-30,False,Q2,2018,10-Q,330343000.0,32870000.0,24298000.0,0.83,0.82,0.15,711292000.0,193505000.0,69717000.0,20102000.0,541870000.0,66990000.0,-13114000.0,-37667000.0,565000.0,191671000.0,17606000.0
FWRD,2016-06-30,False,Q2,2016,10-Q,238637000.0,-14348000.0,-10066000.0,-0.33,-0.33,0.12,644427000.0,163631000.0,100738000.0,21679000.0,489482000.0,61206000.0,-17241000.0,-55598000.0,1307000.0,179301000.0,16040000.0
FWRD,2015-09-30,False,Q3,2015,10-Q,247093000.0,24601000.0,15687000.0,0.51,0.5,0.12,698665000.0,185697000.0,113024000.0,47444000.0,492356000.0,57315000.0,-79817000.0,28517000.0,1611000.0,206899000.0,18541000.0
FWRD,2010-06-30,False,Q2,2010,10-Q,122132000.0,13502000.0,7912000.0,0.27,0.27,0.07,330497000.0,122316000.0,32340000.0,47916000.0,235406000.0,18911000.0,-8727000.0,-4303000.0,,43332000.0,8739000.0
FWRD,2010-09-30,False,Q3,2010,10-Q,121522000.0,15505000.0,8888000.0,0.31,0.31,0.07,341813000.0,137141000.0,35381000.0,63219000.0,244134000.0,37861000.0,-10476000.0,-6201000.0,,43332000.0,11889000.0
FWRD,2011-06-30,False,Q2,2011,10-Q,132192000.0,19876000.0,11969000.0,0.41,0.4,0.07,382979000.0,175951000.0,33870000.0,96119000.0,282736000.0,32559000.0,-14473000.0,3529000.0,,43332000.0,15441000.0
FWRD,2010-12-31,False,FY,2010,10-K,483939000.0,53739000.0,32036000.0,1.11,1.1,0.28,348796000.0,145963000.0,27605000.0,74504000.0,256086000.0,53995000.0,-13890000.0,-7636000.0,,43332000.0,15148000.0
FWRD,2011-03-31,False,Q1,2011,10-Q,120201000.0,13286000.0,7869000.0,0.27,0.27,0.07,368102000.0,163609000.0,34307000.0,85681000.0,268269000.0,15219000.0,-6742000.0,2700000.0,,43332000.0,7329000.0
FWRD,2011-09-30,False,Q3,2011,10-Q,135749000.0,20320000.0,12912000.0,0.44,0.44,0.07,374813000.0,168877000.0,33199000.0,87467000.0,270893000.0,54830000.0,-18979000.0,-22888000.0,1071000.0,43332000.0,20292000.0
FWRD,2012-09-30,False,Q3,2012,10-Q,143514000.0,19626000.0,12267000.0,0.42,0.41,0.1,386618000.0,181473000.0,29757000.0,92988000.0,336977000.0,45679000.0,-19899000.0,8407000.0,521000.0,43332000.0,20499000.0
FWRD,2012-06-30,False,Q2,2012,10-Q,148326000.0,23083000.0,14167000.0,0.49,0.48,0.07,370776000.0,162098000.0,32478000.0,68832000.0,318777000.0,23920000.0,-17929000.0,4040000.0,671000.0,43332000.0,18318000.0
FWRD,2011-12-31,False,FY,2011,10-K,536402000.0,77110000.0,47199000.0,1.62,1.6,0.28,341151000.0,139717000.0,33930000.0,58801000.0,286902000.0,76959000.0,-19671000.0,-72991000.0,920000.0,43332000.0,21216000.0
FRWD,2012-03-31,False,Q1,2012,10-Q,137081000.0,16789000.0,10273000.0,0.36,0.35,0.07,364760000.0,155442000.0,40247000.0,69397000.0,304757000.0,17955000.0,-13199000.0,5840000.0,789000.0,43332000.0,13098000.0
FWRD,2011-06-30,True,Q2,2011,10-Q,132192000.0,19876000.0,11969000.0,0.41,0.4,0.07,382979000.0,175951000.0,33870000.0,96119000.0,282736000.0,32559000.0,-14473000.0,3529000.0,1243000.0,43332000.0,15441000.0
FWRD,2013-03-31,False,Q1,2013,10-Q,141560000.0,15790000.0,10855000.0,0.37,0.36,0.1,446206000.0,164518000.0,32598000.0,71630000.0,380447000.0,20604000.0,-57293000.0,-3863000.0,268000.0,87860000.0,12182000.0
FWRD,2014-03-31,False,Q1,2014,10-Q,171569000.0,16271000.0,10202000.0,0.33,0.33,0.12,534567000.0,145125000.0,44011000.0,41044000.0,453382000.0,20032000.0,-102527000.0,-3828000.0,1835000.0,131217000.0,19548000.0
FWRD,2013-09-30,False,Q3,2013,10-Q,170033000.0,22857000.0,14197000.0,0.47,0.46,0.1,490802000.0,200624000.0,36649000.0,98551000.0,418444000.0,60487000.0,-77040000.0,2922000.0,131000.0,88404000.0,33266000.0
FWRD,2013-06-30,False,Q2,2013,10-Q,159804000.0,22505000.0,13831000.0,0.46,0.45,0.1,468192000.0,177281000.0,29530000.0,81101000.0,403755000.0,37250000.0,-72334000.0,4003000.0,183000.0,87771000.0,27994000.0
FWRD,2013-12-31,False,FY,2013,10-K,652481000.0,84355000.0,54467000.0,1.81,1.77,0.4,506269000.0,220360000.0,34611000.0,127367000.0,435865000.0,90839000.0,-78923000.0,3269000.0,99000.0,88496000.0,35439000.0
FWRD,2018-09-30,False,Q3,2018,10-Q,331375000.0,29879000.0,22329000.0,0.76,0.76,0.15,743141000.0,201067000.0,75519000.0,28911000.0,548410000.0,113845000.0,-32448000.0,-56379000.0,465000.0,193625000.0,34344000.0
FWRD,2014-09-30,False,Q3,2014,10-Q,201477000.0,26906000.0,16744000.0,0.55,0.54,0.12,529945000.0,138646000.0,45031000.0,24573000.0,446582000.0,65093000.0,-119814000.0,-48073000.0,1662000.0,140678000.0,37101000.0
FWRD,2014-06-30,False,Q2,2014,10-Q,193852000.0,27595000.0,17178000.0,0.56,0.55,0.12,532489000.0,137158000.0,43671000.0,24943000.0,450661000.0,39215000.0,-116149000.0,-25490000.0,1744000.0,138839000.0,33420000.0
FWRD,2012-12-31,False,FY,2012,10-K,584446000.0,83532000.0,52668000.0,1.82,1.78,0.34,399187000.0,198396000.0,27920000.0,112182000.0,351671000.0,68586000.0,-20705000.0,5500000.0,387000.0,43332000.0,21353000.0
