symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GABC,2012-03-31,False,Q1,2012,10-Q,24528000.0,,5602000.0,0.44,0.44,0.14,1910530000.0,,,112995000.0,172096000.0,19790000.0,1030000.0,31072000.0,115170000.0,18865000.0,538000.0
GABC,2011-06-30,False,Q2,2011,10-Q,24883000.0,,4864000.0,0.39,0.39,0.14,1817672000.0,,,107773000.0,160083000.0,23817000.0,-13939000.0,78624000.0,119257000.0,19170000.0,2359000.0
GABC,2018-12-31,False,FY,2018,10-K,170819000.0,,46529000.0,1.99,1.99,0.6,3929090000.0,,,96550000.0,458640000.0,62331000.0,-38798000.0,2658000.0,376409000.0,103681000.0,15186000.0
GABC,2011-09-30,False,Q3,2011,10-Q,24665000.0,,5167000.0,0.41,0.41,0.14,1871083000.0,,,52555000.0,167047000.0,26347000.0,-112559000.0,119496000.0,131400000.0,19170000.0,2377000.0
GABC,2012-06-30,False,Q2,2012,10-Q,24396000.0,,5967000.0,0.47,0.47,0.14,1943812000.0,,,43150000.0,177150000.0,35752000.0,-109365000.0,55660000.0,143132000.0,18865000.0,1108000.0
GABC,2012-09-30,False,Q3,2012,10-Q,25111000.0,,6292000.0,0.5,0.5,0.14,1962298000.0,,,63788000.0,182969000.0,30354000.0,-95246000.0,67577000.0,141074000.0,18865000.0,3091000.0
GABC,2013-03-31,False,Q1,2013,10-Q,24280000.0,,5809000.0,0.46,0.46,0.15,1979022000.0,,,28962000.0,186788000.0,631000.0,10977000.0,-31733000.0,114223000.0,18865000.0,693000.0
GABC,2012-12-31,False,FY,2012,10-K,98971000.0,,24055000.0,1.91,1.9,0.56,2006300000.0,,,49087000.0,185026000.0,41997000.0,-161663000.0,107650000.0,161006000.0,18865000.0,3617000.0
GABC,2013-09-30,False,Q3,2013,10-Q,24256000.0,,6483000.0,0.51,0.51,0.15,2060122000.0,,,64671000.0,185143000.0,33301000.0,-72589000.0,54872000.0,191554000.0,18865000.0,2296000.0
GABC,2011-12-31,False,FY,2011,10-K,101737000.0,,20249000.0,1.61,1.61,0.56,1873767000.0,,,61103000.0,167610000.0,26616000.0,-104946000.0,120162000.0,130993000.0,18865000.0,3965000.0
GABC,2013-12-31,False,FY,2013,10-K,99287000.0,,25413000.0,1.99,1.98,0.6,2163827000.0,,,60132000.0,200097000.0,41646000.0,-67236000.0,36635000.0,140770000.0,20536000.0,3659000.0
GABC,2013-06-30,False,Q2,2013,10-Q,24568000.0,,6532000.0,0.52,0.52,0.15,2010612000.0,,,38495000.0,181861000.0,14502000.0,-36860000.0,11766000.0,175640000.0,18865000.0,1606000.0
GABC,2014-06-30,False,Q2,2014,10-Q,25327000.0,,6687000.0,0.51,0.51,0.16,2193573000.0,,,57114000.0,214338000.0,13230000.0,-27020000.0,10772000.0,225546000.0,20536000.0,1743000.0
GABC,2014-03-31,False,Q1,2014,10-Q,25962000.0,,6305000.0,0.48,0.48,0.16,2146390000.0,,,53150000.0,206741000.0,9122000.0,11165000.0,-27269000.0,159991000.0,20536000.0,396000.0
GABC,2015-03-31,False,Q1,2015,10-Q,27142000.0,,7306000.0,0.55,0.55,0.17,2240223000.0,,,60867000.0,237608000.0,9959000.0,17349000.0,-8887000.0,178825000.0,20536000.0,283000.0
GABC,2016-06-30,False,Q2,2016,10-Q,34905000.0,,9788000.0,0.64,0.64,0.18,2915811000.0,,,54140000.0,332355000.0,28506000.0,-21981000.0,-4394000.0,278214000.0,53671000.0,1504000.0
GABC,2016-03-31,False,Q1,2016,10-Q,29897000.0,,5146000.0,0.37,0.37,0.18,2866727000.0,,,49046000.0,321638000.0,11199000.0,23936000.0,-38098000.0,278698000.0,53671000.0,459000.0
GABC,2014-12-31,False,FY,2014,10-K,104323000.0,,28344000.0,2.15,2.14,0.64,2237099000.0,,,42446000.0,228824000.0,36428000.0,-78497000.0,24383000.0,206064000.0,20536000.0,3053000.0
GABC,2015-09-30,False,Q3,2015,10-Q,28176000.0,,7721000.0,0.58,0.58,0.17,2313210000.0,,,62138000.0,247352000.0,29153000.0,-60187000.0,50726000.0,239072000.0,20536000.0,886000.0
GABC,2014-09-30,False,Q3,2014,10-Q,26785000.0,,7708000.0,0.58,0.58,0.16,2205921000.0,,,87167000.0,220265000.0,24289000.0,-10476000.0,13222000.0,208086000.0,20535000.0,2492000.0
GABC,2015-12-31,False,FY,2015,10-K,109064000.0,,30064000.0,2.27,2.27,0.68,2373701000.0,,,52009000.0,252348000.0,31267000.0,-126929000.0,105225000.0,273323000.0,20536000.0,1614000.0
GABC,2015-06-30,False,Q2,2015,10-Q,26299000.0,,7325000.0,0.55,0.55,0.17,2259686000.0,,,52267000.0,237050000.0,15760000.0,-18438000.0,12499000.0,240072000.0,20536000.0,499000.0
GABC,2017-03-31,False,Q1,2017,10-Q,35221000.0,,9556000.0,0.42,0.42,0.13,2933144000.0,,,37439000.0,341216000.0,22642000.0,-7355000.0,-42664000.0,241358000.0,54058000.0,2433000.0
GABC,2016-09-30,False,Q3,2016,10-Q,35118000.0,,10185000.0,0.67,0.67,0.18,2979540000.0,,,54784000.0,340991000.0,32798000.0,-76157000.0,46134000.0,279110000.0,53671000.0,2855000.0
