symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GBCI,2010-06-30,False,Q2,2010,10-Q,95236000.0,,13222000.0,0.19,0.19,0.13,6294836000.0,,,168468000.0,845748000.0,96450000.0,-198370000.0,59813000.0,,146259000.0,9003000.0
GBCI,2011-12-31,False,FY,2011,10-K,58752000.0,,17471000.0,0.24,0.24,0.52,7187906000.0,,,128032000.0,850227000.0,186843000.0,-529096000.0,365194000.0,,106100000.0,17492000.0
GBCI,2011-03-31,False,Q1,2011,10-Q,85768000.0,,10285000.0,0.14,0.14,0.13,6909864000.0,,,98104000.0,839889000.0,226910000.0,-245606000.0,11710000.0,,146259000.0,2961000.0
GBCI,2018-12-31,False,FY,2018,10-K,171381000.0,,181878000.0,2.18,2.17,1.31,12115484000.0,,,203790000.0,1515854000.0,280711000.0,-872420000.0,595495000.0,,289586000.0,
GBCI,2010-09-30,False,Q3,2010,10-Q,96088000.0,,9445000.0,0.13,0.13,0.13,6272659000.0,,,115514000.0,853654000.0,98834000.0,-221856000.0,27961000.0,,146259000.0,10943000.0
GBCI,2012-03-31,False,Q1,2012,10-Q,88222000.0,,16333000.0,0.23,0.23,0.13,7241845000.0,,,131757000.0,863997000.0,95469000.0,-116037000.0,24293000.0,,106100000.0,2245000.0
GBCI,2010-12-31,False,FY,2010,10-K,375948000.0,,42330000.0,0.61,0.61,0.52,6759287000.0,,,104859000.0,838204000.0,193943000.0,-822738000.0,523079000.0,,146259000.0,22652000.0
GBCI,2011-06-30,False,Q2,2011,10-Q,89413000.0,,11886000.0,0.17,0.17,0.13,6978320000.0,,,129041000.0,864772000.0,135267000.0,-280201000.0,168884000.0,,146259000.0,7337000.0
GBCI,2011-09-30,False,Q3,2011,10-Q,92369000.0,,-19048000.0,-0.27,-0.27,0.13,7042689000.0,,,133771000.0,851388000.0,158495000.0,-366617000.0,236802000.0,,106100000.0,13560000.0
GBCI,2013-09-30,False,Q3,2013,10-Q,93404000.0,,25628000.0,0.35,0.35,0.15,8047930000.0,,,254684000.0,947807000.0,272603000.0,126601000.0,-331560000.0,,129706000.0,6861000.0
GBCI,2013-06-30,False,Q2,2013,10-Q,85373000.0,,22702000.0,0.31,0.31,0.15,7996816000.0,,,132456000.0,929002000.0,165981000.0,-175301000.0,-45264000.0,,119509000.0,3167000.0
GBCI,2013-03-31,False,Q1,2013,10-Q,80905000.0,,20768000.0,0.29,0.29,0.14,7609237000.0,,,129057000.0,914280000.0,129060000.0,-25055000.0,-161988000.0,,106100000.0,2654000.0
GBCI,2012-09-30,False,Q3,2012,10-Q,85989000.0,,19444000.0,0.27,0.27,0.13,7632205000.0,,,172399000.0,890157000.0,152956000.0,-466926000.0,358337000.0,,106100000.0,7896000.0
GBCI,2012-06-30,False,Q2,2012,10-Q,85983000.0,,18981000.0,0.26,0.26,0.13,7434102000.0,,,140419000.0,876181000.0,133697000.0,-308840000.0,187530000.0,,106100000.0,5501000.0
GBCI,2012-12-31,False,FY,2012,10-K,94816000.0,,75516000.0,1.05,1.05,0.53,7747440000.0,,,187040000.0,900949000.0,183793000.0,579646000.0,454861000.0,,106100000.0,-10730000.0
GBCI,2014-06-30,False,Q2,2014,10-Q,96467000.0,,28677000.0,0.38,0.38,0.17,7890094000.0,,,202358000.0,1010015000.0,75712000.0,48219000.0,-77230000.0,,129706000.0,5614000.0
GBCI,2014-03-31,False,Q1,2014,10-Q,93475000.0,,26730000.0,0.36,0.36,0.16,7830723000.0,,,161691000.0,984960000.0,53919000.0,46587000.0,-94472000.0,,129706000.0,1771000.0
GBCI,2013-12-31,False,FY,2013,10-K,70550000.0,,95644000.0,1.31,1.31,0.6,7884350000.0,,,155657000.0,963250000.0,334095000.0,149237000.0,-514715000.0,,129706000.0,8977000.0
GBCI,2014-09-30,False,Q3,2014,10-Q,100122000.0,,29294000.0,0.4,0.4,0.17,8109810000.0,,,282097000.0,1040480000.0,120798000.0,232671000.0,-227029000.0,,129706000.0,9463000.0
GBCI,2015-06-30,False,Q2,2015,10-Q,104419000.0,,29335000.0,0.39,0.39,0.19,8589810000.0,,,355719000.0,1056451000.0,76930000.0,-234347000.0,70727000.0,,130843000.0,7403000.0
GBCI,2016-03-31,False,Q1,2016,10-Q,108633000.0,,28682000.0,0.38,0.38,0.2,9120742000.0,,,150861000.0,1093680000.0,57730000.0,-90896000.0,-9226000.0,,140638000.0,2726000.0
GBCI,2015-09-30,False,Q3,2015,10-Q,106166000.0,,29614000.0,0.39,0.39,0.19,8764299000.0,,,242835000.0,1074808000.0,133828000.0,-536504000.0,203102000.0,,130843000.0,10099000.0
