symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GES,2018-11-03,False,Q3,2019,10-Q,583121000.0,-21505000.0,-13629000.0,-0.17,-0.17,0.225,1624146000.0,1082723000.0,560664000.0,138922000.0,830555000.0,-46915000.0,-83231000.0,-78279000.0,39792000.0,36893000.0,74890000.0
GES,2011-01-29,False,FY,2011,10-K,2487294000.0,404633000.0,289508000.0,3.14,3.11,2.68,1685804000.0,1163580000.0,431016000.0,427037000.0,1066194000.0,346374000.0,-146103000.0,-277006000.0,,29595000.0,123065000.0
GES,2010-10-30,False,Q3,2011,10-Q,613903000.0,92715000.0,69089000.0,0.75,0.75,0.16,1765695000.0,1272724000.0,423653000.0,469020000.0,1163582000.0,134308000.0,-85523000.0,-82901000.0,,30030000.0,84896000.0
GES,2011-07-30,False,Q2,2012,10-Q,677159000.0,93529000.0,60657000.0,0.65,0.65,0.2,1816630000.0,1242569000.0,434217000.0,430233000.0,1185199000.0,88377000.0,-62148000.0,-34218000.0,14234000.0,30704000.0,59326000.0
GES,2011-10-29,False,Q3,2012,10-Q,642803000.0,96969000.0,66295000.0,0.71,0.71,0.2,1861200000.0,1276725000.0,427727000.0,426725000.0,1235391000.0,149948000.0,-103775000.0,-52510000.0,13503000.0,30331000.0,94200000.0
GES,2011-04-30,False,Q1,2012,10-Q,592244000.0,70933000.0,42682000.0,0.46,0.46,0.2,1762888000.0,1198642000.0,428711000.0,426774000.0,1134213000.0,47835000.0,-44081000.0,-19409000.0,,31268000.0,30894000.0
GES,2012-04-28,False,Q1,2013,10-Q,579266000.0,39141000.0,26646000.0,0.3,0.3,0.2,1839744000.0,1241511000.0,389174000.0,480353000.0,1208443000.0,36653000.0,-31384000.0,-17482000.0,11774000.0,29135000.0,25441000.0
GES,2010-07-31,False,Q2,2011,10-Q,577135000.0,96301000.0,66758000.0,0.72,0.72,0.16,1627533000.0,1174982000.0,381573000.0,478625000.0,1075052000.0,103876000.0,-52238000.0,-69593000.0,,28817000.0,48814000.0
GES,2012-07-28,False,Q2,2013,10-Q,635393000.0,57301000.0,42899000.0,0.49,0.49,0.2,1681122000.0,1082698000.0,386836000.0,271937000.0,1062691000.0,44653000.0,-69517000.0,-182793000.0,10439000.0,36505000.0,49966000.0
GES,2012-10-27,False,Q3,2013,10-Q,628828000.0,58117000.0,36647000.0,0.43,0.43,0.2,1743068000.0,1126164000.0,396820000.0,287288000.0,1113231000.0,96002000.0,-96782000.0,-200150000.0,10515000.0,37852000.0,77357000.0
GES,2013-05-04,False,Q1,2014,10-Q,548914000.0,11325000.0,9916000.0,0.12,0.12,0.2,1621468000.0,1057642000.0,342796000.0,306437000.0,1055651000.0,31737000.0,-10131000.0,-37850000.0,9490000.0,38407000.0,17272000.0
