symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WPO,2010-10-03,False,Q3,2010,10-Q,1189723000.0,130575000.0,60922000.0,6.85,6.84,0.0,5122207000.0,1459725000.0,1108012000.0,577875000.0,2790922000.0,543467000.0,-130370000.0,-314692000.0,,1371920000.0,159167000.0
WPO,2011-04-03,False,Q1,2011,10-Q,1063612000.0,52003000.0,15154000.0,1.87,1.87,0.0,5005131000.0,1217605000.0,995906000.0,329170000.0,2697986000.0,49359000.0,-44812000.0,-115538000.0,,1390282000.0,39275000.0
WPO,2011-01-02,False,FY,2010,10-K,4723573000.0,546832000.0,277192000.0,31.06,31.04,0.0,5158367000.0,1361898000.0,1008277000.0,437740000.0,2814364000.0,693716000.0,-209872000.0,-491172000.0,,1376357000.0,243712000.0
WPO,2010-07-04,False,Q2,2010,10-Q,1201812000.0,163489000.0,91904000.0,10.0,10.0,0.0,5230055000.0,1544228000.0,1026717000.0,659027000.0,2961009000.0,317318000.0,-54860000.0,-75886000.0,,1368605000.0,84835000.0
GHC,2018-12-31,False,FY,2018,10-K,2695966000.0,246161000.0,269538000.0,50.55,50.2,5.32,4764041000.0,1532342000.0,812162000.0,253256000.0,2916782000.0,287019000.0,-230964000.0,-192359000.0,82366000.0,1297712000.0,98192000.0
WPO,2011-07-03,False,Q2,2011,10-Q,1072997000.0,81093000.0,45573000.0,5.74,5.74,2.35,5092494000.0,1205248000.0,1044529000.0,299362000.0,2708841000.0,180014000.0,-168958000.0,-153484000.0,405547000.0,1463191000.0,92842000.0
WPO,2012-03-31,False,Q1,2012,10-Q,972476000.0,17469000000.0,31047000000.0,4.07,4.07,4.9,4939823000.0,1173559000.0,912172000.0,294991000.0,2626824000.0,84016000000.0,-61150000000.0,-112237000.0,7493000000.0,1404783000.0,44875000000.0
WPO,2011-12-31,False,FY,2011,10-K,4214833000.0,295958000.0,116233000.0,14.7,14.7,9.4,5016986000.0,1245625000.0,995556000.0,381099000.0,2601896000.0,393291000.0,-260728000.0,-186961000.0,7464000000.0,1414997000.0,216381000.0
WPO,2011-10-02,False,Q3,2011,10-Q,1032640000.0,51961000000.0,-6208000000.0,-0.82,-0.82,2.35,4986152000.0,1181906000.0,998018000.0,311159000.0,2604146000.0,263564000.0,-202862000.0,-185494000.0,453178000.0,1415180000.0,145622000.0
WPO,2012-06-30,False,Q2,2012,10-Q,1006919000.0,60353000000.0,51814000000.0,6.84,6.84,2.45,4877602000.0,1164758000.0,874370000.0,264119000.0,2584871000.0,169707000.0,-77352000000.0,-210480000.0,7302000000.0,1398503000.0,97830000000.0
WPO,2012-09-30,False,Q3,2012,10-Q,1011334000.0,75921000.0,93796000.0,12.64,12.64,2.45,4966450000.0,1278119000.0,905032000.0,305654000.0,2642791000.0,295510000.0,-131103000.0,-243890000.0,7262000.0,1406930000.0,152391000.0
WPO,2013-06-30,False,Q2,2013,10-Q,1021851000.0,93050000.0,44675000.0,6.02,6.02,0.0,4924020000.0,1365868000.0,863516000.0,386567000.0,2685111000.0,197511000.0,-94254000.0,-224653000.0,6683000.0,1288419000.0,87652000.0
WPO,2013-03-31,False,Q1,2013,10-Q,959105000.0,23060000.0,4718000.0,0.64,0.64,0.0,4876506000.0,1275981000.0,870050000.0,300652000.0,2615544000.0,74018000.0,-42167000.0,-241228000.0,7230000.0,1309663000.0,36462000.0
WPO,2013-09-30,False,Q3,2013,10-Q,902479000.0,81873000.0,30144000.0,4.07,4.05,0.0,5095881000.0,1510680000.0,993962000.0,440810000.0,2732013000.0,347626000.0,-169457000.0,-247545000.0,6710000.0,1293482000.0,143298000.0
WPO,2012-12-31,False,FY,2012,10-K,4017653000.0,144531000.0,131218000.0,17.39,17.39,9.8,5105069000.0,1453762000.0,1126286000.0,512431000.0,2586218000.0,477214000.0,-228043000.0,-121845000.0,7196000.0,1317915000.0,217995000.0
GHC,2014-06-30,False,Q2,2014,10-Q,878628000.0,94484000.0,750137000.0,100.8,100.48,2.55,5289706000.0,1135586000.0,915766000.0,325023000.0,2832199000.0,188451000.0,-73373000.0,-361843000.0,6771000.0,1348708000.0,92627000.0
GHC,2015-03-31,False,Q1,2015,10-Q,846148000.0,46555000.0,20606000.0,3.51,3.48,5.3,5525390000.0,1486086000.0,848180000.0,619367000.0,3121365000.0,-45871000.0,-52831000.0,-50382000.0,404816000.0,1314351000.0,47595000.0
GHC,2014-03-31,False,Q1,2014,10-Q,840561000.0,79529000.0,132098000.0,17.85,17.79,5.1,5920562000.0,1830817000.0,981416000.0,642833000.0,3412464000.0,77055000.0,13903000.0,-19032000.0,8321000.0,1241949000.0,36562000.0
GHC,2015-06-30,False,Q2,2015,10-Q,879571000.0,88895000.0,57782000.0,9.92,9.87,2.65,6181940000.0,2113034000.0,903744000.0,1219334000.0,3178860000.0,77290000.0,-114055000.0,486010000.0,0.0,1325761000.0,100240000.0
GHC,2014-09-30,False,Q3,2014,10-Q,898871000.0,81281000.0,76351000.0,13.18,13.12,2.55,5488436000.0,1264117000.0,1014549000.0,441786000.0,2899994000.0,336877000.0,-84265000.0,-376136000.0,448758000.0,1353089000.0,162441000.0
GHC,2016-03-31,False,Q1,2016,10-Q,601740000.0,51872000.0,37780000.0,6.63,6.59,2.42,4312525000.0,1605489000.0,735832000.0,530587000.0,2440133000.0,46994000.0,-196852000.0,-74857000.0,1204000.0,1180924000.0,10690000.0
GHC,2014-12-31,False,FY,2014,10-K,3535166000.0,407932000.0,1292996000.0,195.81,195.03,10.2,5752319000.0,1690703000.0,1050792000.0,772751000.0,3140775000.0,372370000.0,229015000.0,-388616000.0,445920000.0,1348710000.0,237292000.0
GHC,2013-12-31,False,FY,2013,10-K,3487864000.0,345565000.0,236010000.0,32.1,32.05,0.0,5811046000.0,1702387000.0,934109000.0,569719000.0,3300288000.0,327864000.0,-25401000.0,-243430000.0,8258000.0,1288622000.0,224093000.0
GHC,2017-09-30,False,Q3,2017,10-Q,657225000.0,44571000.0,24553000.0,4.45,4.42,1.27,4619915000.0,1617859000.0,813181000.0,395009000.0,2560677000.0,220857000.0,-410470000.0,-74559000.0,93450000.0,1299226000.0,43863000.0
GHC,2015-12-31,False,FY,2015,10-K,2586114000.0,-80825000.0,-101286000.0,-17.87,-17.87,9.1,4352951000.0,1860722000.0,725149000.0,754207000.0,2490698000.0,74804000.0,-425570000.0,342151000.0,0.0,1017513000.0,136859000.0
GHC,2016-12-31,False,FY,2016,10-K,2481890000.0,303534000.0,168590000.0,29.95,29.8,4.84,4432670000.0,1871346000.0,818961000.0,648885000.0,2452941000.0,261256000.0,-311286000.0,-43077000.0,91316000.0,1122954000.0,66612000.0
