symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GHDX,2018-12-31,False,FY,2018,10-K,394111000.0,23896000.0,25677000.0,0.72,0.68,0.0,334372000.0,274836000.0,59776000.0,61645000.0,270160000.0,76562000.0,-81105000.0,20752000.0,,,10076000.0
GHDX,2014-06-30,False,Q2,2014,10-Q,70477000.0,-4611000.0,-4618000.0,-0.15,-0.15,0.0,177950000.0,146488000.0,32414000.0,32494000.0,143453000.0,2100000.0,-4709000.0,1824000.0,,,3679000.0
GHDX,2013-06-30,False,Q2,2013,10-Q,63691000.0,-2911000.0,-2994000.0,-0.1,-0.1,0.0,167657000.0,142721000.0,26784000.0,32822000.0,138976000.0,4667000.0,2227000.0,7923000.0,,,4411000.0
GHDX,2014-09-30,False,Q3,2014,10-Q,69101000.0,-5835000.0,-6262000.0,-0.2,-0.2,0.0,179345000.0,145208000.0,33587000.0,37238000.0,143628000.0,2605000.0,-2866000.0,4220000.0,,,5588000.0
GHDX,2013-03-31,False,Q1,2013,10-Q,63094000.0,-889000.0,-883000.0,-0.03,-0.03,0.0,157000000.0,132639000.0,24506000.0,17097000.0,130579000.0,-1498000.0,-119000.0,709000.0,,,2217000.0
GHDX,2014-03-31,False,Q1,2014,10-Q,67002000.0,-7194000.0,-7445000.0,-0.24,-0.24,0.0,173337000.0,139888000.0,31419000.0,28241000.0,139782000.0,126000.0,-2995000.0,-2169000.0,,,1169000.0
GHDX,2012-09-30,False,Q3,2012,10-Q,58648000.0,3711000.0,3712000.0,0.12,0.11,0.0,173173000.0,154766000.0,24125000.0,57959000.0,146837000.0,19705000.0,-8950000.0,14335000.0,,,6170000.0
GHDX,2015-09-30,False,Q3,2015,10-Q,73554000.0,-5438000.0,-11843000.0,-0.36,-0.36,0.0,178343000.0,142005000.0,43520000.0,28010000.0,132529000.0,-9645000.0,3886000.0,4043000.0,,,16056000.0
GHDX,2014-12-31,False,FY,2014,10-K,275706000.0,-23627000.0,-24592000.0,-0.78,-0.78,0.0,185921000.0,148520000.0,38338000.0,29726000.0,145513000.0,2287000.0,-14223000.0,8383000.0,,,10455000.0
GHDX,2015-03-31,False,Q1,2015,10-Q,68152000.0,-14669000.0,-9493000.0,-0.3,-0.3,0.0,201970000.0,175044000.0,42575000.0,22938000.0,156728000.0,-7277000.0,1537000.0,-1048000.0,,,4369000.0
GHDX,2013-09-30,False,Q3,2013,10-Q,65990000.0,463000.0,488000.0,0.02,0.02,0.0,176700000.0,148954000.0,28931000.0,39781000.0,145628000.0,12749000.0,-645000.0,9672000.0,,,7443000.0
GHDX,2015-06-30,False,Q2,2015,10-Q,70619000.0,-10832000.0,-9237000.0,-0.29,-0.29,0.0,192525000.0,162393000.0,39174000.0,23751000.0,150369000.0,-10681000.0,1384000.0,3322000.0,,,9508000.0
GHDX,2013-12-31,False,FY,2013,10-K,261595000.0,-11832000.0,-12757000.0,-0.42,-0.42,0.0,177034000.0,144992000.0,29832000.0,33279000.0,144981000.0,8552000.0,-7006000.0,13728000.0,,,10992000.0
GHDX,2012-12-31,False,FY,2012,10-K,235173000.0,8434000.0,8249000.0,0.27,0.26,0.0,153734000.0,130209000.0,25340000.0,18005000.0,126326000.0,25962000.0,-28223000.0,-12603000.0,,,9850000.0
GHDX,2015-12-31,False,FY,2015,10-K,287458000.0,-34027000.0,-33308000.0,-1.03,-1.03,0.0,184617000.0,142950000.0,42672000.0,32533000.0,139535000.0,-11831000.0,6283000.0,8355000.0,,,23483000.0
GHDX,2015-09-30,False,Q3,2015,10-Q,73554000.0,-5438000.0,-11843000.0,-0.36,-0.36,0.0,178343000.0,142005000.0,43520000.0,28010000.0,132529000.0,-9645000.0,3886000.0,4043000.0,,,16056000.0
GHDX,2012-06-30,False,Q2,2012,10-Q,57631000.0,1838000.0,1801000.0,0.06,0.06,0.0,158979000.0,142489000.0,22520000.0,57014000.0,134254000.0,8381000.0,6879000.0,8885000.0,,,3493000.0
GHDX,2016-03-31,False,Q1,2016,10-Q,80894000.0,-8807000.0,-6351000.0,-0.19,-0.19,0.0,177721000.0,136557000.0,37436000.0,30705000.0,137411000.0,-5349000.0,5818000.0,-2297000.0,,,5311000.0
GHDX,2012-03-31,False,Q1,2012,10-Q,58467000.0,871000.0,777000.0,0.03,0.02,0.0,146581000.0,130445000.0,21817000.0,36991000.0,122565000.0,2277000.0,-813000.0,2658000.0,,,2342000.0
GHDX,2011-09-30,False,Q3,2011,10-Q,52058000.0,3399000.0,3225000.0,0.11,0.1,0.0,131079000.0,108245000.0,22328000.0,38281000.0,106891000.0,10728000.0,-10351000.0,6721000.0,,,4541000.0
GHDX,2011-06-30,False,Q2,2011,10-Q,50846000.0,2360000.0,2348000.0,0.08,0.08,0.0,121372000.0,87351000.0,19499000.0,23750000.0,99665000.0,3644000.0,-16634000.0,5557000.0,,,2841000.0
GHDX,2017-06-30,False,Q2,2017,10-Q,85487000.0,-3143000.0,-2739000.0,-0.08,-0.08,0.0,212930000.0,154504000.0,39084000.0,42200000.0,169947000.0,11886000.0,-18298000.0,8208000.0,,,8057000.0
