symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GHL,2010-12-31,False,FY,2010,10-K,278329254.0,,34525911.0,1.12,1.12,1.8,508677840.0,,,78227209.0,372862509.0,68155783.0,-6757339.0,-62721672.0,,162507267.0,8126842.0
GHL,2010-09-30,False,Q3,2010,10-Q,84050249.0,,14469849.0,0.47,0.47,0.45,508833882.0,,,56766463.0,382200552.0,41532155.0,-11472684.0,-46758098.0,,154075042.0,3836779.0
GHL,2018-12-31,False,FY,2018,10-K,351985000.0,80868000.0,39222000.0,1.46,1.42,0.2,485700000.0,,,156374000.0,62363000.0,116294000.0,-618000.0,-222332000.0,319479000.0,205922000.0,2124000.0
GHL,2012-06-30,False,Q2,2012,10-Q,47318000.0,,2242000.0,0.07,0.07,0.45,425932000.0,,,41610000.0,342038000.0,22587000.0,9536000.0,-52362000.0,,162220000.0,1378000.0
GHL,2010-06-30,False,Q2,2010,10-Q,83528603.0,,17550030.0,0.57,0.57,0.45,466031004.0,,,37585819.0,356579094.0,-1355207.0,-7066946.0,-28043470.0,,135812748.0,1221214.0
GHL,2012-03-31,False,Q1,2012,10-Q,82690000.0,,16136000.0,0.53,0.53,0.45,439601000.0,,,42032000.0,353183000.0,6247000.0,829000.0,-28588000.0,,164074000.0,887000.0
GHL,2012-09-30,False,Q3,2012,10-Q,62747000.0,,8589000.0,0.28,0.28,0.45,421127000.0,,,38107000.0,333021000.0,36234000.0,19312000.0,-79823000.0,,164854000.0,2106000.0
GHL,2013-03-31,False,Q1,2013,10-Q,79591000.0,,13618000.0,0.45,0.45,0.45,355703000.0,,,33952000.0,295963000.0,16183000.0,5537000.0,-37607000.0,,164714000.0,272000.0
GHL,2011-12-31,False,FY,2011,10-K,293993000.0,,44577000.0,1.44,1.44,1.8,460743000.0,,,62050000.0,347554000.0,97713000.0,46704000.0,-160144000.0,,161664000.0,2941000.0
GHL,2011-09-30,False,Q3,2011,10-Q,60355125.0,,8564326.0,0.28,0.28,0.45,426788530.0,,,62112260.0,327763106.0,75728852.0,50179673.0,-140498705.0,,153569289.0,2539261.0
GHL,2011-03-31,False,Q1,2011,10-Q,48367886.0,,-1580872.0,-0.05,-0.05,0.45,478511302.0,,,42823901.0,358438850.0,-10770309.0,-27825.0,-26025392.0,,164410077.0,27825.0
GHL,2013-06-30,False,Q2,2013,10-Q,86690000.0,,15487000.0,0.52,0.52,0.45,342655000.0,,,33533000.0,271652000.0,45355000.0,11371000.0,-71620000.0,,146227000.0,802000.0
GHL,2011-06-30,False,Q2,2011,10-Q,90767119.0,,21482963.0,0.69,0.69,0.45,473067160.0,,,59379363.0,364282621.0,40852958.0,46162915.0,-108350041.0,,170045064.0,2339522.0
GHL,2012-12-31,False,FY,2012,10-K,285079000.0,,42092000.0,1.38,1.38,1.8,386970000.0,,,50324000.0,303512000.0,94751000.0,35998000.0,-142635000.0,,164890000.0,2833000.0
GHL,2013-09-30,False,Q3,2013,10-Q,44543000.0,,1797000.0,0.06,0.06,0.45,332676000.0,,,30344000.0,267987000.0,44950000.0,26449000.0,-90326000.0,,149112000.0,637000.0
GHL,2015-03-31,False,Q1,2015,10-Q,61883000.0,,7603000.0,0.25,0.25,0.45,294679000.0,,,34446000.0,236231000.0,17404000.0,163000.0,-32789000.0,,121666000.0,95000.0
GHL,2013-12-31,False,FY,2013,10-K,287152000.0,,46682000.0,1.55,1.55,1.8,353446000.0,,,42679000.0,277710000.0,67785000.0,35802000.0,-110210000.0,,142972000.0,1151000.0
GHL,2014-09-30,False,Q3,2014,10-Q,91993000.0,,19873000.0,0.66,0.66,0.45,333875000.0,,,36870000.0,257715000.0,62867000.0,-1250000.0,-66038000.0,,139623000.0,1807000.0
GHL,2014-03-31,False,Q1,2014,10-Q,43569000.0,,238000.0,0.01,0.01,0.45,314536000.0,,,36524000.0,251815000.0,22381000.0,-195000.0,-28309000.0,,147084000.0,449000.0
GHL,2014-06-30,False,Q2,2014,10-Q,63023000.0,,8054000.0,0.27,0.27,0.45,321568000.0,,,29160000.0,255858000.0,30344000.0,-969000.0,-42916000.0,,150075000.0,1311000.0
GHL,2014-12-31,False,FY,2014,10-K,275234000.0,,43388000.0,1.43,1.43,1.8,337650000.0,,,50940000.0,256242000.0,103289000.0,-1809000.0,-90599000.0,,130976000.0,2439000.0
GHL,2015-09-30,False,Q3,2015,10-Q,50632000.0,,684000.0,0.02,0.02,0.45,403525000.0,,,35286000.0,276307000.0,51606000.0,-46467000.0,-19465000.0,,206182000.0,1954000.0
GHL,2016-03-31,False,Q1,2016,10-Q,66865000.0,,4357000.0,0.14,0.14,0.45,404686000.0,,,55600000.0,270881000.0,1402000.0,-296000.0,-14498000.0,,215098000.0,296000.0
GHL,2016-09-30,False,Q3,2016,10-Q,76578000.0,,13110000.0,0.41,0.41,0.45,427284000.0,,,55819000.0,282197000.0,59399000.0,-1332000.0,-66691000.0,,214982000.0,1332000.0
GHL,2015-06-30,False,Q2,2015,10-Q,73342000.0,,9419000.0,0.3,0.3,0.45,417486000.0,,,47277000.0,288613000.0,51930000.0,-45194000.0,-9767000.0,,216790000.0,681000.0
GHL,2016-06-30,False,Q2,2016,10-Q,90485000.0,,19628000.0,0.62,0.62,0.45,418717000.0,,,63785000.0,279784000.0,45022000.0,-1013000.0,-45631000.0,,212317000.0,1013000.0
GHL,2015-12-31,False,FY,2015,10-K,261560000.0,,25598000.0,0.82,0.82,1.8,423838000.0,,,69962000.0,284050000.0,92751000.0,-33531000.0,-38836000.0,,209024000.0,2242000.0
GHL,2017-06-30,False,Q2,2017,10-Q,67269000.0,,6245000.0,0.2,0.2,0.45,409611000.0,,,68022000.0,280597000.0,12070000.0,-1127000.0,-44572000.0,,215568000.0,1187000.0
GHL,2017-09-30,False,Q3,2017,10-Q,48092000.0,,-5912000.0,-0.18,-0.18,0.45,424471000.0,,,50875000.0,292819000.0,5596000.0,-1452000.0,-56400000.0,,218216000.0,1674000.0
GHL,2017-03-31,False,Q1,2017,10-Q,56929000.0,,-746000.0,-0.02,-0.02,0.45,410155000.0,,,51993000.0,278977000.0,-28538000.0,-423000.0,-18039000.0,,214335000.0,448000.0
GHL,2017-12-31,False,FY,2017,10-K,239182000.0,6900000.0,-26651000.0,-0.83,-0.83,1.4,610817000.0,,,267646000.0,208302000.0,15172000.0,-2334000.0,150990000.0,339048000.0,217737000.0,2555000.0
GHL,2016-12-31,False,FY,2016,10-K,335519000.0,,60762000.0,1.9,1.89,1.8,456682000.0,,,98313000.0,291183000.0,124234000.0,-800000.0,-87283000.0,,208186000.0,1737000.0
GHL,2018-09-30,False,Q3,2018,10-Q,86803000.0,20724000.0,11217000.0,0.45,0.43,0.0,485589000.0,,,125396000.0,62675000.0,55605000.0,-232000.0,-194906000.0,327653000.0,209137000.0,1738000.0
GHL,2018-03-31,False,Q1,2018,10-Q,87543000.0,19016000.0,6368000.0,0.21,0.21,0.05,599263000.0,,,208140000.0,178005000.0,-19650000.0,-672000.0,-40815000.0,335250000.0,215541000.0,672000.0
GHL,2018-06-30,False,Q2,2018,10-Q,88496000.0,19456000.0,10513000.0,0.39,0.38,0.05,524784000.0,,,149286000.0,102565000.0,14773000.0,-264000.0,-131268000.0,331451000.0,211417000.0,1623000.0
