symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GLOW,2018-12-31,False,FY,2018,10-K,12557000.0,-6740000.0,-7180000.0,-0.15,-0.15,0.0,7962000.0,3925000.0,1132000.0,2007000.0,6830000.0,-1155000.0,-335000.0,-449000.0,0.0,2795000.0,335000.0
GLOW,2011-06-30,False,Q2,2011,10-Q,6954.0,23.0,17.0,0.0,0.0,0.0,9928.0,4600.0,5007.0,1258.0,4529.0,-223.0,-554.0,,,,
GLOW,2012-03-31,False,Q1,2012,10-Q,6746000.0,198000.0,172000.0,0.01,0.01,0.0,9309000.0,4893000.0,3823000.0,2049000.0,5198000.0,365000.0,-98000.0,-36000.0,,,109000.0
GLOW,2012-09-30,False,Q3,2012,10-Q,6561000.0,-574000.0,-592000.0,-0.02,-0.02,0.0,9240000.0,4913000.0,3756000.0,1650000.0,5223000.0,707000.0,-536000.0,-339000.0,6500000.0,,547000.0
GLOW,2011-09-30,False,Q3,2011,10-Q,6829000.0,55000.0,36000.0,0.0,0.0,0.0,9537000.0,4411000.0,4584000.0,1359000.0,4602.0,117000.0,-793000.0,,,,793000.0
GLOW,2013-03-31,False,Q1,2013,10-Q,8504000.0,-1602000.0,-2090000.0,-0.07,-0.07,0.0,27368000.0,6605000.0,6057000.0,2166000.0,11668000.0,264000.0,-124000.0,-192000.0,10671000.0,9649000.0,124000.0
GLOW,2012-06-30,False,Q2,2012,10-Q,6800000.0,285000.0,248000.0,0.01,0.01,0.0,9505000.0,5112000.0,3599000.0,1689000.0,5586000.0,297000.0,-342000.0,-84000.0,,,353000.0
GLOW,2011-12-31,False,FY,2011,10-K,27806000.0,470000.0,369000.0,0.02,0.02,0.0,9465000.0,4668000.0,4191000.0,1818000.0,4940000.0,752000.0,-928000.0,-41000.0,,,940000.0
GLOW,2012-12-31,False,FY,2012,10-K,29070000.0,-596000.0,1051000.0,0.04,0.04,0.0,29316000.0,7162000.0,6451000.0,2218000.0,13003000.0,821000.0,-8291000.0,7870000.0,11028000.0,9900000.0,740000.0
GLOW,2013-06-30,False,Q2,2013,10-Q,8736000.0,269000.0,-255000.0,-0.01,-0.01,0.0,26824000.0,6738000.0,6087000.0,2804000.0,11495000.0,1354000.0,-233000.0,-535000.0,10430000.0,9695000.0,235000.0
GLOW,2013-09-30,False,Q3,2013,10-Q,8313000.0,-105000.0,-551000.0,-0.01,-0.01,0.0,26621000.0,6547000.0,6496000.0,2051000.0,11011000.0,1812000.0,-751000.0,-1228000.0,9969000.0,9825000.0,753000.0
GLOW,2013-12-31,False,FY,2013,10-K,33454000.0,-1442000.0,-4231000.0,-0.14,-0.14,0.0,25886000.0,6775000.0,5939000.0,2294000.0,9669000.0,2300000.0,-900000.0,-1324000.0,11185000.0,9825000.0,856000.0
GLOW,2014-03-31,False,Q1,2014,10-Q,7981000.0,-478000.0,-839000.0,-0.02,-0.02,0.0,24944000.0,6217000.0,5491000.0,2186000.0,9193000.0,534000.0,-434000.0,-208000.0,11136000.0,9825000.0,434000.0
GLOW,2014-06-30,False,Q2,2014,10-Q,8468000.0,357000.0,-4000.0,0.0,0.0,0.0,24999000.0,6286000.0,4891000.0,2101000.0,9210000.0,1246000.0,-1077000.0,-362000.0,11082000.0,9825000.0,1081000.0
GLOW,2014-12-31,False,FY,2014,10-K,32156000.0,-1184000.0,-2775000.0,-0.08,-0.08,0.0,22616000.0,6236000.0,3721000.0,1938000.0,7967000.0,1785000.0,-2172000.0,31000.0,11185000.0,9825000.0,2176000.0
GLOW,2014-09-30,False,Q3,2014,10-Q,7958000.0,556000.0,193000.0,0.01,0.01,0.0,25386000.0,6799000.0,4829000.0,2153000.0,9667000.0,1560000.0,-1587000.0,-114000.0,11285000.0,9825000.0,1591000.0
GLOW,2016-06-30,False,Q2,2016,10-Q,5088000.0,-196000.0,-608000.0,-0.02,-0.02,0.0,18593000.0,4488000.0,10871000.0,1480000.0,5558000.0,312000.0,-183000.0,-413000.0,10624000.0,9825000.0,183000.0
GLOW,2015-06-30,False,Q2,2015,10-Q,6528000.0,103000.0,-274000.0,-0.01,-0.01,0.0,21485000.0,5537000.0,3025000.0,1631000.0,7533000.0,969000.0,-822000.0,-454000.0,10885000.0,9825000.0,825000.0
