symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GLT,2011-12-31,False,FY,2011,10-K,1612498000.0,85272000.0,42694000.0,0.94,0.93,0.36,1136925000.0,422413000.0,211240000.0,38277000.0,490404000.0,140307000.0,-16830000.0,-180140000.0,,,64491000.0
GLT,2011-06-30,False,Q2,2011,10-Q,400045000.0,6209000.0,2501000.0,0.05,0.05,0.09,1400588000.0,547018000.0,230772000.0,108296000.0,585222000.0,48313000.0,-24437000.0,-13446000.0,,,27877000.0
GLT,2011-09-30,False,Q3,2011,10-Q,419333000.0,24184000.0,13026000.0,0.29,0.28,0.09,1350027000.0,516033000.0,208610000.0,98251000.0,558622000.0,81136000.0,-40200000.0,-39495000.0,,,44642000.0
GLT,2018-12-31,False,FY,2018,10-K,937043000.0,21942000.0,-177604000.0,-4.06,-4.06,0.52,1339754000.0,469286000.0,232802000.0,142685000.0,538898000.0,-5952000.0,-217640000.0,-91426000.0,413023000.0,153463000.0,42129000.0
GLT,2012-09-30,False,Q3,2012,10-Q,406221000.0,31285000.0,20099000.0,0.47,0.46,0.09,1184035000.0,463878000.0,228396000.0,28322000.0,545917000.0,48465000.0,-36302000.0,-22397000.0,219000000.0,,45027000.0
GLT,2012-06-30,False,Q2,2012,10-Q,386323000.0,17726000.0,13432000.0,0.31,0.31,0.09,1154784000.0,445119000.0,228639000.0,23437000.0,516041000.0,28532000.0,-23398000.0,-19736000.0,218000000.0,,30587000.0
GLT,2012-12-31,False,FY,2012,10-K,1584788000.0,101874000.0,59379000.0,1.39,1.36,0.36,1242985000.0,518858000.0,250908000.0,97679000.0,539679000.0,112846000.0,-48705000.0,-5489000.0,250000000.0,16601000.0,58752000.0
GLT,2013-06-30,False,Q2,2013,10-Q,426391000.0,6331000.0,933000.0,0.02,0.02,0.1,1482296000.0,513172000.0,258320000.0,44755000.0,548261000.0,48227000.0,-271867000.0,171234000.0,432546000.0,,60823000.0
GLT,2013-03-31,False,Q1,2013,10-Q,406290000.0,23961000.0,15629000.0,0.36,0.36,0.1,1224621000.0,500779000.0,229121000.0,76440000.0,544623000.0,15795000.0,-31493000.0,-4599000.0,250000000.0,,31391000.0
GLT,2012-03-31,False,Q1,2012,10-Q,399213000.0,31040000.0,18878000.0,0.44,0.43,0.09,1155626000.0,432226000.0,204753000.0,24899000.0,518021000.0,9743000.0,-14103000.0,-9473000.0,,,14152000.0
