symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GNE,2018-09-30,False,Q3,2018,10-Q,71842000.0,6046000.0,5547000.0,0.21,0.21,0.075,131463000.0,100993000.0,48829000.0,45916000.0,78950000.0,20239000.0,-3270000.0,-1653000.0,100000.0,9998000.0,575000.0
GNE,2014-03-31,False,Q1,2014,10-Q,130348000.0,-6493000.0,-7090000.0,-0.33,-0.33,0.0,157465000.0,144822000.0,44577000.0,46351000.0,110609000.0,-29718000.0,2486000.0,-283000.0,,7230000.0,114000.0
GNE,2013-06-30,False,Q2,2013,10-Q,55134000.0,-5569000.0,-6207000.0,-0.32,-0.32,0.0,142097000.0,131975000.0,28452000.0,71823000.0,113578000.0,1363000.0,1504000.0,-594000.0,,3663000.0,77000.0
GNE,2012-06-30,False,Q2,2012,10-Q,42826000.0,-5006000.0,-3252000.0,-0.15,-0.15,0.05,144716000.0,134290000.0,27390000.0,81296000.0,117326000.0,1584000.0,-19315000.0,-3184000.0,,3663000.0,49000.0
GNE,2013-12-31,False,FY,2013,10-K,279174000.0,626000.0,-7126000.0,-0.36,-0.36,0.0,158843000.0,146092000.0,40334000.0,73885000.0,116340000.0,1220000.0,3771000.0,-927000.0,,7349000.0,313000.0
GNE,2014-09-30,False,Q3,2014,10-Q,46186000.0,-4107000.0,-4765000.0,-0.22,-0.22,0.0,158831000.0,144977000.0,26908000.0,86238000.0,129938000.0,-8094000.0,-2206000.0,22940000.0,7600000.0,7226000.0,1261000.0
GNE,2014-06-30,False,Q2,2014,10-Q,48810000.0,-4344000.0,-5177000.0,-0.24,-0.24,0.0,134713000.0,121342000.0,25307000.0,67796000.0,107017000.0,-7102000.0,1210000.0,-284000.0,7600000.0,7226000.0,766000.0
GNE,2012-09-30,False,Q3,2012,10-Q,63725000.0,3469000.0,-2641000.0,-0.13,-0.13,0.05,147201000.0,138375000.0,31024000.0,71519000.0,116177000.0,873000.0,-27233000.0,-4333000.0,,3663000.0,64000.0
GNE,2013-09-30,False,Q3,2013,10-Q,71638000.0,3948000.0,1685000.0,0.09,0.08,0.0,146176000.0,135684000.0,29642000.0,71847000.0,116309000.0,-683000.0,3885000.0,-1043000.0,,3663000.0,300000.0
GNE,2012-12-31,False,FY,2012,10-K,229459000.0,3047000.0,-3492000.0,-0.17,-0.17,0.133,150306000.0,141201000.0,32209000.0,69409000.0,118097000.0,-1008000.0,-17741000.0,-14421000.0,,3663000.0,91000.0
