symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MDGN,2012-09-30,False,Q3,2012,10-Q,,-3081000.0,-3027000.0,-0.25,-0.25,0.0,10336000.0,9618000.0,2164000.0,8999000.0,3214000.0,-5869000.0,-59000.0,52609000.0,,,2073000.0
MDGN,2011-12-31,False,FY,2011,10-K,,-9976000.0,-8096000.0,-0.96,-0.96,0.0,6862000.0,6117000.0,2059000.0,4995000.0,2997000.0,-8017000.0,-299000.0,10452000.0,,,2019000.0
MDGN,2013-06-30,False,Q2,2013,10-Q,,-2443000.0,-2099000.0,-0.11,-0.11,0.0,31493000.0,30797000.0,2326000.0,28979000.0,27067000.0,-6179000.0,-147000.0,81669000.0,,,2224000.0
GNMX,2018-09-30,False,Q3,2018,10-Q,,-7299000.0,-7249000.0,-0.12,-0.12,0.0,20187000.0,20140000.0,6435000.0,19602000.0,13752000.0,-19122000.0,0.0,4995000.0,,,
MDGN,2012-12-31,False,FY,2012,10-K,,-12628000.0,-15071000.0,-1.37,-1.37,0.0,7707000.0,6970000.0,2350000.0,6431000.0,1934000.0,-8614000.0,-68000.0,10118000.0,,,2082000.0
MDGN,2013-03-31,False,Q1,2013,10-Q,,-4577000.0,-3679000.0,-0.24,-0.29,0.0,33659000.0,33035000.0,2669000.0,32463000.0,28544000.0,-2800000.0,-42000.0,28874000.0,,,2119000.0
MDGN,2012-06-30,False,Q2,2012,10-Q,,-3949000.0,-6912000.0,-0.69,-0.69,0.0,11470000.0,10742000.0,2166000.0,9040000.0,3810000.0,-4340000.0,-50000.0,51112000.0,,,2064000.0
MDGN,2013-09-30,False,Q3,2013,10-Q,,-4904000.0,-6143000.0,-0.33,-0.33,0.0,28320000.0,27800000.0,3588000.0,26791000.0,21948000.0,-8355000.0,-159000.0,81669000.0,,,2241000.0
MDGN,2014-06-30,False,Q2,2014,10-Q,,-3637000.0,-3840000.0,-0.21,-0.21,0.0,18051000.0,17426000.0,2368000.0,16429000.0,13699000.0,6679000.0,-233000.0,951000.0,,,233000.0
MDGN,2013-12-31,False,FY,2013,10-K,,-17818000.0,-17129000.0,-0.97,-1.06,0.0,23087000.0,22592000.0,3014000.0,22390000.0,18423000.0,-12732000.0,-183000.0,28874000.0,,,2268000.0
