symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GRUB,2015-06-30,False,Q2,2015,10-Q,87955000.0,,9352000.0,0.11,0.11,0.0,1048773000.0,357813000.0,113849000.0,195595000.0,837208000.0,30544000.0,-61019000.0,24198000.0,,387566000.0,1201000.0
GRUB,2018-12-31,False,FY,2018,10-K,1007257000.0,84963000.0,78481000.0,0.88,0.85,0.0,2065708000.0,363775000.0,223168000.0,211245000.0,1442339000.0,225527000.0,-594004000.0,346685000.0,342300000.0,1019239000.0,43033000.0
GRUB,2014-03-31,False,Q1,2014,10-Q,58613000.0,,4353000.0,0.08,0.06,0.0,795747000.0,158737000.0,115014000.0,112760000.0,548203000.0,27836000.0,-2225000.0,558000.0,,352788000.0,1776000.0
GRUB,2014-06-30,False,Q2,2014,10-Q,60006000.0,,2372000.0,0.03,0.03,0.0,885898000.0,251152000.0,102022000.0,207096000.0,681304000.0,30285000.0,-3490000.0,93575000.0,,352788000.0,2378000.0
GRUB,2014-12-31,False,FY,2014,10-K,253873000.0,,23943000.0,0.33,0.3,0.0,979702000.0,353029000.0,111005000.0,201796000.0,770522000.0,72904000.0,-118740000.0,161332000.0,,352788000.0,3653000.0
GRUB,2015-03-31,False,Q1,2015,10-Q,88249000.0,,10570000.0,0.13,0.12,0.0,1048034000.0,351545000.0,136565000.0,188155000.0,812213000.0,30422000.0,-56168000.0,12315000.0,,387385000.0,441000.0
GRUB,2014-09-30,False,Q3,2014,10-Q,61941000.0,,6453000.0,0.08,0.08,0.0,958117000.0,327406000.0,107729000.0,212020000.0,745890000.0,47258000.0,-71321000.0,149655000.0,,352788000.0,3189000.0
GRUB,2015-09-30,False,Q3,2015,10-Q,85662000.0,,6867000.0,0.08,0.08,0.0,1032485000.0,344413000.0,82268000.0,153028000.0,855514000.0,13590000.0,-94926000.0,32676000.0,,387566000.0,2866000.0
GRUB,2015-12-31,False,FY,2015,10-K,361825000.0,,38077000.0,0.45,0.44,0.0,1060248000.0,356274000.0,89612000.0,169293000.0,877596000.0,44755000.0,-116397000.0,39404000.0,,396220000.0,4150000.0
GRUB,2016-12-31,False,FY,2016,10-K,493331000.0,,49557000.0,0.58,0.58,0.0,1197507000.0,396337000.0,110490000.0,239528000.0,972119000.0,97678000.0,-45519000.0,19344000.0,0.0,436455000.0,24087000.0
GRUB,2016-06-30,False,Q2,2016,10-Q,120173000.0,,12805000.0,0.15,0.15,0.0,1131859000.0,333496000.0,103963000.0,132924000.0,918702000.0,37193000.0,-77329000.0,4456000.0,0.0,437009000.0,8362000.0
GRUB,2017-09-30,False,Q3,2017,10-Q,163059000.0,,12988000.0,0.15,0.15,0.0,1296244000.0,414783000.0,133568000.0,265958000.0,1052955000.0,106433000.0,-85181000.0,4524000.0,125000000.0,454557000.0,12549000.0
GRUB,2017-06-30,False,Q2,2017,10-Q,158794000.0,,14754000.0,0.17,0.17,0.0,1247558000.0,442113000.0,114148000.0,293269000.0,1027977000.0,67756000.0,-17180000.0,2785000.0,0.0,436455000.0,7291000.0
GRUB,2017-03-31,False,Q1,2017,10-Q,156134000.0,,17715000.0,0.21,0.2,0.0,1238624000.0,432917000.0,132507000.0,275037000.0,998588000.0,51590000.0,-14065000.0,-2104000.0,0.0,436455000.0,3056000.0
GRUB,2018-06-30,False,Q2,2018,10-Q,239741000.0,34319000.0,30120000.0,0.34,0.33,0.0,1774752000.0,592021000.0,172517000.0,442678000.0,1396408000.0,116017000.0,-46805000.0,139679000.0,122656000.0,589862000.0,19266000.0
GRUB,2018-09-30,False,Q3,2018,10-Q,247225000.0,21848000.0,22745000.0,0.25,0.24,0.0,1986009000.0,462692000.0,200122000.0,294550000.0,1432058000.0,165462000.0,-412999000.0,307428000.0,296875000.0,885350000.0,31984000.0
GRUB,2016-03-31,False,Q1,2016,10-Q,112240000.0,,9933000.0,0.12,0.12,0.0,1084034000.0,379433000.0,98478000.0,203312000.0,895771000.0,18666000.0,14375000.0,1169000.0,0.0,396220000.0,3259000.0
GRUB,2018-03-31,False,Q1,2018,10-Q,232570000.0,31552000.0,30766000.0,0.35,0.34,0.0,1578255000.0,398286000.0,189391000.0,272258000.0,1157220000.0,71500000.0,-3342000.0,-30318000.0,148438000.0,589862000.0,5462000.0
GRUB,2017-12-31,False,FY,2017,10-K,683067000.0,89750000.0,98983000.0,1.15,1.12,0.0,1543769000.0,360483000.0,174548000.0,234090000.0,1117816000.0,152740000.0,-336962000.0,178059000.0,174219000.0,589862000.0,18971000.0
GRUB,2016-09-30,False,Q3,2016,10-Q,123461000.0,,13182000.0,0.15,0.15,0.0,1172285000.0,368574000.0,110795000.0,177838000.0,949603000.0,62433000.0,-69470000.0,16472000.0,0.0,437009000.0,17083000.0
