symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
GSB,2012-12-31,False,FY,2012,10-K,23372000.0,-1394000.0,-1800000.0,-0.1,-0.1,0.0,33588000.0,12032000.0,11959000.0,8079000.0,12004000.0,3844000.0,-2103000.0,-2523000.0,5724000.0,12712000.0,213000.0
GSB,2018-09-30,False,Q3,2018,10-Q,8980000.0,1372000.0,998000.0,0.05,0.05,0.0,37371000.0,19926000.0,17701000.0,9630000.0,16747000.0,2559000.0,13064000.0,-17576000.0,,12712000.0,143000.0
GSB,2013-06-30,False,Q2,2013,10-Q,5925000.0,628000.0,381000.0,0.02,0.02,0.0,34988000.0,13559000.0,12631000.0,7812000.0,13329000.0,1195000.0,-930000.0,-532000.0,5062000.0,12712000.0,39000.0
GSB,2011-09-30,False,Q3,2011,10-Q,5417000.0,531000.0,611000.0,0.03,0.03,0.0,22967000.0,18525000.0,7312000.0,13404000.0,14261000.0,2270000.0,-123000.0,170000.0,,619000.0,123000.0
GSB,2012-03-31,False,Q1,2012,10-Q,5393000.0,-335000.0,-253000.0,-0.01,-0.01,0.0,37126000.0,13409000.0,12382000.0,7746000.0,14075000.0,-663000.0,-130000.0,-322000.0,,12712000.0,50000.0
GSB,2013-03-31,False,Q1,2013,10-Q,5879000.0,747000.0,517000.0,0.03,0.03,0.0,33376000.0,11840000.0,11252000.0,8056000.0,12717000.0,1007000.0,-705000.0,-325000.0,5395000.0,12712000.0,18000.0
GSB,2012-06-30,False,Q2,2012,10-Q,5702000.0,-72000.0,-140000.0,-0.01,-0.01,0.0,37365000.0,13721000.0,12833000.0,7132000.0,14185000.0,-744000.0,-368000.0,-617000.0,6369000.0,12712000.0,190000.0
GSB,2012-09-30,False,Q3,2012,10-Q,6078000.0,-2789000.0,-2714000.0,-0.15,-0.15,0.0,36034000.0,14694000.0,14175000.0,10253000.0,11786000.0,2866000.0,-568000.0,-906000.0,6048000.0,12712000.0,210000.0
GSB,2011-12-31,False,FY,2011,10-K,20894000.0,791000.0,635000.0,0.04,0.03,0.0,38378000.0,14476000.0,12814000.0,8861000.0,14136000.0,2826000.0,-12391000.0,7339000.0,,12712000.0,201000.0
GSB,2014-03-31,False,Q1,2014,10-Q,5728000.0,807000.0,534000.0,0.03,0.03,0.0,34149000.0,14573000.0,11649000.0,10687000.0,17699000.0,1657000.0,-830000.0,405000.0,4045000.0,12712000.0,63000.0
