symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HAE,2011-10-01,False,Q2,2012,10-Q,179445000.0,18566000.0,13880000.0,0.55,0.54,0.0,823722000.0,441100000.0,110806000.0,183421000.0,678277000.0,52539000.0,-23713000.0,-41753000.0,,115582000.0,23843000.0
HAE,2011-12-31,False,Q3,2012,10-Q,191160000.0,25323000.0,18252000.0,0.73,0.72,0.0,847773000.0,467173000.0,109368000.0,205372000.0,705233000.0,81343000.0,-36442000.0,-35714000.0,,115320000.0,36959000.0
HAE,2012-06-30,False,Q1,2013,10-Q,176475000.0,13079000.0,9787000.0,0.38,0.38,0.0,928123000.0,540187000.0,121906000.0,236047000.0,757467000.0,553000.0,-9189000.0,16227000.0,,115048000.0,8441000.0
HAE,2012-09-29,False,Q2,2013,10-Q,28600000.0,9901000.0,6547000.0,0.25,0.25,0.0,1454555000.0,576800000.0,156194000.0,187051000.0,771966000.0,33567000.0,-570221000.0,494812000.0,475000000.0,322114000.0,34432000.0
HAE,2010-07-03,False,Q1,2011,10-Q,163039000.0,24189000.0,17918000.0,0.71,0.7,0.0,697595000.0,323516000.0,102013000.0,83467000.0,564956000.0,13526000.0,-15113000.0,-54937000.0,,117739000.0,15224000.0
HAE,2018-12-29,False,Q3,2019,10-Q,249798000.0,28320000.0,18277000.0,0.36,0.35,0.0,1227637000.0,515897000.0,211282000.0,154871000.0,643129000.0,138643000.0,-102931000.0,-57623000.0,345600000.0,210723000.0,105245000.0
HAE,2012-12-29,False,Q3,2013,10-Q,247395000.0,15747000.0,9904000.0,0.19,0.19,0.0,1474373000.0,598882000.0,177610000.0,193181000.0,779158000.0,57532000.0,-584539000.0,491038000.0,475000000.0,321284000.0,49685000.0
HAE,2012-03-31,False,FY,2012,10-K,727844000.0,88758000.0,66886000.0,2.64,2.59,0.0,911135000.0,527129000.0,130744000.0,228861000.0,732631000.0,115318000.0,-52196000.0,-30470000.0,3771000.0,115058000.0,53198000.0
HAE,2013-06-29,False,Q1,2014,10-Q,219543000.0,-6608000.0,-7874000.0,-0.15,-0.15,0.0,1479630000.0,591372000.0,187795000.0,166328000.0,774378000.0,13402000.0,-35647000.0,9504000.0,,341509000.0,13092000.0
HAE,2011-04-02,False,FY,2011,10-K,676694000.0,110548000.0,79980000.0,3.19,3.12,0.0,833264000.0,448831000.0,108671000.0,196707000.0,686136000.0,123455000.0,-51558000.0,-18084000.0,,115367000.0,46669000.0
HAE,2011-01-01,False,Q3,2011,10-Q,176789000.0,28559000.0,19734000.0,0.79,0.77,0.0,783388000.0,406017000.0,105530000.0,169538000.0,648524000.0,91316000.0,-41009000.0,-22170000.0,,111268000.0,34986000.0
HAE,2013-09-28,False,Q2,2014,10-Q,235755000.0,23430000.0,16548000.0,0.32,0.32,0.0,1484246000.0,592081000.0,198188000.0,159148000.0,796473000.0,42762000.0,-59391000.0,-3868000.0,,341673000.0,28202000.0
HAE,2013-03-30,False,FY,2013,10-K,891990000.0,56437000.0,38800000.0,0.76,0.74,0.0,1461917000.0,597010000.0,180144000.0,179120000.0,769182000.0,85074000.0,-596395000.0,461853000.0,480094000.0,330474000.0,62188000.0
HAE,2010-10-02,False,Q2,2011,10-Q,166833000.0,28905000.0,21338000.0,0.86,0.85,0.0,737737000.0,362222000.0,113751000.0,115049000.0,594392000.0,44286000.0,-23826000.0,-47301000.0,,112383000.0,24088000.0
HAE,2011-07-02,False,Q1,2012,10-Q,170569000.0,23908000.0,16947000.0,0.66,0.65,0.0,853406000.0,468269000.0,103019000.0,216891000.0,712456000.0,27131000.0,-11782000.0,4467000.0,,115707000.0,11801000.0
HAE,2013-12-28,False,Q3,2014,10-Q,242120000.0,17860000.0,16290000.0,0.31,0.31,0.0,1487893000.0,603332000.0,189008000.0,177846000.0,825220000.0,88053000.0,-75022000.0,-14668000.0,,337029000.0,43721000.0
HAE,2014-06-28,False,Q1,2015,10-Q,224488000.0,-1666000.0,-3649000.0,-0.07,-0.07,0.0,1476731000.0,569305000.0,165868000.0,139943000.0,815072000.0,13738000.0,-37021000.0,-28811000.0,429400000.0,337237000.0,37085000.0
HAE,2015-09-26,False,Q2,2016,10-Q,219693000.0,19179000.0,12863000.0,0.25,0.25,0.0,1418944000.0,500724000.0,188105000.0,100247000.0,776880000.0,36761000.0,-52837000.0,-43981000.0,429406000.0,333575000.0,50130000.0
HAE,2015-06-27,False,Q1,2016,10-Q,213413000.0,3606000.0,-267000.0,-0.01,-0.01,0.0,1427411000.0,508361000.0,169765000.0,112204000.0,791647000.0,9250000.0,-27130000.0,-29772000.0,429406000.0,334187000.0,24246000.0
HAE,2015-12-26,False,Q3,2016,10-Q,233384000.0,-61177000.0,-59440000.0,-1.17,-1.17,0.0,1336422000.0,501363000.0,175334000.0,105167000.0,719552000.0,68612000.0,-76474000.0,-46971000.0,422292000.0,266945000.0,73871000.0
HAE,2014-09-27,False,Q2,2015,10-Q,227580000.0,12407000.0,7487000.0,0.15,0.14,0.0,1474545000.0,556959000.0,165056000.0,129971000.0,820718000.0,44980000.0,-70495000.0,-35456000.0,429406000.0,336301000.0,70872000.0
HAE,2016-10-01,False,Q2,2017,10-Q,220253000.0,24794000.0,19825000.0,0.39,0.38,0.0,1334826000.0,512387000.0,198664000.0,138870000.0,749114000.0,69960000.0,-41427000.0,-4575000.0,389000000.0,268546000.0,41624000.0
HAE,2014-12-27,False,Q3,2015,10-Q,231827000.0,18260000.0,15988000.0,0.31,0.31,0.0,1474145000.0,549831000.0,164340000.0,125200000.0,833908000.0,71873000.0,-100143000.0,-35678000.0,429406000.0,334990000.0,100530000.0
HAE,2014-03-29,False,FY,2014,10-K,938509000.0,47327000.0,35148000.0,0.68,0.67,0.0,1514178000.0,622976000.0,216928000.0,192469000.0,837888000.0,139524000.0,-105830000.0,-20700000.0,440287000.0,336768000.0,73648000.0
HAE,2016-04-02,False,FY,2016,10-K,908832000.0,-43942000.0,-55579000.0,-1.09,-1.09,0.0,1319128000.0,488086000.0,185551000.0,115123000.0,721565000.0,121865000.0,-104768000.0,-62624000.0,408465000.0,267840000.0,102405000.0
HAE,2017-09-30,False,Q2,2018,10-Q,225377000.0,24258000.0,20102000.0,0.38,0.38,0.0,1271163000.0,553389000.0,254999000.0,203622000.0,801253000.0,97328000.0,-18779000.0,-16296000.0,,211125000.0,29125000.0
HAE,2016-12-31,False,Q3,2017,10-Q,227841000.0,21212000.0,15393000.0,0.3,0.3,0.0,1306421000.0,496562000.0,216221000.0,129639000.0,770897000.0,125161000.0,-58744000.0,-49964000.0,337200000.0,267314000.0,60517000.0
HAE,2018-06-30,False,Q1,2019,10-Q,229347000.0,5293000.0,-2819000.0,-0.05,-0.05,0.0,1241168000.0,551017000.0,193995000.0,192106000.0,674059000.0,23122000.0,-27264000.0,18663000.0,350000000.0,210903000.0,27514000.0
