symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HAIN,2011-06-30,False,FY,2011,10-K,1130257000.0,106737000.0,54982000.0,1.27,1.23,0.0,1333504000.0,371066000.0,170685000.0,27517000.0,866703000.0,58658000.0,-55483000.0,7134000.0,230173000.0,568374000.0,11490000.0
HAIN,2018-12-31,False,Q2,2019,10-Q,584156000.0,-15387000.0,-66501000.0,-0.64,-0.64,0.0,2803491000.0,951426000.0,439329000.0,38158000.0,1590943000.0,-1013000.0,-37676000.0,6563000.0,727694000.0,1008787000.0,41539000.0
HAIN,2011-09-30,False,Q1,2012,10-Q,292359000.0,22860000.0,11690000.0,0.27,0.26,0.0,1337509000.0,388267000.0,175209000.0,29377000.0,874941000.0,23325000.0,-2464000.0,-20118000.0,,563210000.0,2545000.0
HAIN,2010-12-31,False,Q2,2011,10-Q,291878000.0,29712000.0,16267000.0,0.38,0.37,0.0,1282036000.0,353282000.0,181867000.0,26308000.0,807179000.0,10650000.0,-18245000.0,16985000.0,,551518000.0,4791000.0
HAIN,2010-09-30,False,Q1,2011,10-Q,257961000.0,18543000.0,9095000.0,0.21,0.21,0.0,1280884000.0,349930000.0,170057000.0,20948000.0,786442000.0,-11977000.0,-17427000.0,33235000.0,,549826000.0,2556000.0
HAIN,2011-12-31,False,Q2,2012,10-Q,385552000.0,34938000.0,20038000.0,0.45,0.44,0.0,1648435000.0,448535000.0,212658000.0,23928000.0,895648000.0,37913000.0,-240324000.0,194827000.0,,683447000.0,6879000.0
HAIN,2011-03-31,False,Q3,2011,10-Q,288386000.0,30820000.0,16772000.0,0.39,0.38,0.0,1325586000.0,361937000.0,191278000.0,25571000.0,839246000.0,40431000.0,-49943000.0,18509000.0,,569181000.0,7842000.0
HAIN,2012-03-31,False,Q3,2012,10-Q,379357000.0,40597000.0,24107000.0,0.54,0.52,0.0,1683250000.0,477908000.0,216427000.0,41164000.0,942528000.0,77720000.0,-249267000.0,181858000.0,,682256000.0,12974000.0
HAIN,2012-06-30,False,FY,2012,10-K,1378247000.0,151528000.0,79225000.0,1.79,1.73,0.0,1673593000.0,448808000.0,202809000.0,29895000.0,964602000.0,121960000.0,-270664000.0,147423000.0,390584000.0,702556000.0,20427000.0
HAIN,2013-03-31,False,Q3,2013,10-Q,456087000.0,51059000.0,40715000.0,0.88,0.85,0.0,2137769000.0,553637000.0,256571000.0,27217000.0,1115836000.0,67864000.0,-323410000.0,251065000.0,634708000.0,883200000.0,49063000.0
