symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HBMD,2015-06-30,False,Q2,2015,10-Q,10922000.0,,760000.0,0.16,0.16,0.0,746881000.0,,,29006000.0,84627000.0,-24494000.0,-27864000.0,56847000.0,27500000.0,,4432000.0
HBMD,2016-09-30,False,Q3,2016,10-Q,14208000.0,,1748000.0,0.25,0.25,0.0,1014787000.0,,,43878000.0,84891000.0,7869000.0,-67065000.0,64734000.0,26643000.0,603000.0,520000.0
HBMD,2018-09-30,False,Q3,2018,10-Q,26292000.0,,3979000.0,0.21,0.21,0.0,2153419000.0,,,101658000.0,293550000.0,46017000.0,78298000.0,-51629000.0,127596000.0,71824000.0,1943000.0
HBMD,2015-09-30,False,Q3,2015,10-Q,11746000.0,,-817000.0,-0.13,-0.13,0.0,924493000.0,,,18347000.0,92080000.0,-21866000.0,-16005000.0,31701000.0,27851000.0,1132000.0,4633000.0
HBMD,2016-06-30,False,Q2,2016,10-Q,14123000.0,,1532000.0,0.22,0.22,0.0,988818000.0,,,32808000.0,83068000.0,1707000.0,-47785000.0,40546000.0,39226000.0,603000.0,399000.0
HBMD,2016-03-31,False,Q1,2016,10-Q,12464000.0,,903000.0,0.13,0.13,0.0,990438000.0,,,54971000.0,93946000.0,10651000.0,-37236000.0,43216000.0,36185000.0,603000.0,297000.0
HBMD,2014-12-31,False,FY,2014,10-K,46616000.0,,10286000.0,2.53,2.48,0.0,691416000.0,,,24517000.0,59643000.0,-31112000.0,11413000.0,8480000.0,19000000.0,,2010000.0
HBMD,2017-03-31,False,Q1,2017,10-Q,14327000.0,,1566000.0,0.18,0.18,0.0,1048752000.0,,,48484000.0,126011000.0,21238000.0,-30570000.0,18450000.0,9029000.0,603000.0,101000.0
HBMD,2016-12-31,False,FY,2016,10-K,53523000.0,,5137000.0,0.74,0.73,0.0,1026957000.0,,,39366000.0,85790000.0,2839000.0,-79192000.0,77379000.0,20517000.0,603000.0,627000.0
HBMD,2015-12-31,False,FY,2015,10-K,45276000.0,,1016000.0,0.16,0.16,0.0,946759000.0,,,38340000.0,92899000.0,-7432000.0,-33763000.0,55018000.0,29707000.0,603000.0,5273000.0
