symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HCKT,2012-03-30,False,Q1,2012,10-Q,57018000.0,3659000.0,3533000.0,0.09,0.09,0.0,148109000.0,57322000.0,31170000.0,12794000.0,80145000.0,-3833000.0,-728000.0,-15684000.0,,76016000.0,931000.0
HCKT,2012-06-29,False,Q2,2012,10-Q,61284000.0,4490000.0,3845000.0,0.13,0.12,0.0,150877000.0,59980000.0,38877000.0,13806000.0,84761000.0,6276000.0,-1901000.0,-23630000.0,25684000.0,75633000.0,2104000.0
HCKT,2018-12-28,False,FY,2018,10-K,285887000.0,33574000.0,23909000.0,0.81,0.74,0.34,180752000.0,73091000.0,44227000.0,13808000.0,123590000.0,32411000.0,-9637000.0,-26556000.0,6500000.0,84207000.0,9637000.0
HCKT,2011-09-30,False,Q3,2011,10-Q,57935000.0,4511000.0,4346000.0,0.11,0.1,0.0,152454000.0,61466000.0,27954000.0,18029000.0,121903000.0,3370000.0,-4155000.0,-6692000.0,,75791000.0,4155000.0
HCKT,2011-12-30,False,FY,2011,10-K,225117000.0,17241000.0,21769000.0,0.55,0.52,0.0,167426000.0,77464000.0,35451000.0,32936000.0,130248000.0,20315000.0,-4215000.0,-8639000.0,,75558000.0,4939000.0
HCKT,2011-07-01,False,Q2,2011,10-Q,58809000.0,4503000.0,4403000.0,0.11,0.1,0.0,151666000.0,60238000.0,30671000.0,17875000.0,118371000.0,1636000.0,-3336000.0,-5725000.0,,76247000.0,3336000.0
HCKT,2012-09-28,False,Q3,2012,10-Q,58621000.0,4581000.0,2636000.0,0.09,0.08,0.0,149824000.0,58468000.0,34829000.0,14534000.0,89879000.0,11133000.0,-2362000.0,-27318000.0,23684000.0,76248000.0,2564000.0
HCKT,2013-06-28,False,Q2,2013,10-Q,58961000.0,5085000.0,2930000.0,0.1,0.09,0.0,143710000.0,53627000.0,27901000.0,10811000.0,100117000.0,5173000.0,-1059000.0,-10210000.0,15026000.0,75247000.0,1221000.0
HCKT,2013-03-29,False,Q1,2013,10-Q,54349000.0,3529000.0,1958000.0,0.06,0.06,0.0,142986000.0,52002000.0,26230000.0,11337000.0,96230000.0,-547000.0,-658000.0,-4164000.0,20526000.0,75104000.0,658000.0
HCKT,2013-09-27,False,Q3,2013,10-Q,57916000.0,4717000.0,2635000.0,0.09,0.08,0.0,150142000.0,59528000.0,26683000.0,14851000.0,105756000.0,9031000.0,-1458000.0,-9644000.0,15026000.0,75967000.0,1619000.0
HCKT,2012-12-28,False,FY,2012,10-K,234060000.0,16829000.0,16697000.0,0.53,0.5,0.1,153921000.0,60851000.0,37090000.0,16906000.0,94726000.0,20352000.0,-3050000.0,-33398000.0,22105000.0,76220000.0,3252000.0
HCKT,2014-06-27,False,Q2,2014,10-Q,61052000.0,5026000.0,3475000.0,0.12,0.12,0.0,162325000.0,60709000.0,43560000.0,10805000.0,88949000.0,-7377000.0,-3458000.0,3418000.0,26217000.0,84126000.0,980000.0
HCKT,2014-03-28,False,Q1,2014,10-Q,54905000.0,-1680000.0,-2046000.0,-0.07,-0.07,0.0,157601000.0,55853000.0,41437000.0,12694000.0,86920000.0,-7987000.0,-2921000.0,5391000.0,26325000.0,83576000.0,443000.0
HCKT,2013-12-27,False,FY,2013,10-K,223830000.0,15727000.0,8729000.0,0.29,0.27,0.1,150318000.0,59623000.0,33726000.0,18199000.0,93176000.0,24259000.0,-1739000.0,-21249000.0,19029000.0,76283000.0,2068000.0
HCKT,2016-04-01,False,Q1,2016,10-Q,68778000.0,7240000.0,4382000.0,0.15,0.13,0.0,154214000.0,62130000.0,43082000.0,12649000.0,100265000.0,536000.0,-487000.0,-10892000.0,0.0,74227000.0,487000.0
HCKT,2015-10-02,False,Q3,2015,10-Q,67217000.0,4943000.0,3058000.0,0.11,0.1,0.1,156894000.0,62948000.0,40180000.0,16338000.0,99175000.0,19221000.0,-2428000.0,-15092000.0,9263000.0,74961000.0,2428000.0
