symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HEB,2018-09-30,False,Q3,2018,10-Q,38000.0,-3038000.0,-3078000.0,-0.07,-0.07,0.0,15170000.0,4943000.0,4962000.0,4055000.0,6439000.0,-8221000.0,1610000.0,9254000.0,2566000.0,,48000.0
HEB,2011-09-30,False,Q3,2011,10-Q,45000.0,-3557000.0,-2740000.0,-0.02,-0.02,0.0,45535000.0,34219000.0,3603000.0,4022000.0,40573000.0,-7074000.0,7070000.0,1106000.0,,,849000.0
HEB,2012-06-30,False,Q2,2012,10-Q,49000.0,-3633000.0,-3000000.0,-0.02,-0.02,0.0,41110000.0,30487000.0,7358000.0,2170000.0,33535000.0,-5478000.0,1930000.0,2615000.0,,,3208000.0
HEB,2011-06-30,False,Q2,2011,10-Q,36000.0,-3248000.0,-2294000.0,-0.02,-0.02,0.0,47604000.0,33044000.0,1949000.0,2080000.0,43672000.0,-4802000.0,3993000.0,-31000.0,,,381000.0
HEB,2012-09-30,False,Q3,2012,10-Q,39000.0,-4965000.0,-6587000.0,-0.05,-0.05,0.0,48578000.0,36454000.0,9790000.0,3158000.0,36612000.0,-8181000.0,-5063000.0,13299000.0,,,4821000.0
HEB,2011-12-31,False,FY,2011,10-K,161000.0,-14295000.0,-9015000.0,-0.07,-0.07,0.0,43513000.0,31786000.0,5069000.0,3103000.0,37965000.0,-10096000.0,8655000.0,1624000.0,,,1802000.0
HEB,2012-03-31,False,Q1,2012,10-Q,72000.0,-3747000.0,-2308000.0,-0.02,-0.02,0.0,42733000.0,33644000.0,5982000.0,3650000.0,36134000.0,-1665000.0,1643000.0,569000.0,,,1552000.0
HEB,2013-09-30,False,Q3,2013,10-Q,36000.0,-4459000.0,-5136000.0,-0.03,-0.03,0.0,42878000.0,29553000.0,10630000.0,1598000.0,32151000.0,-13646000.0,13068000.0,-36000.0,,,747000.0
HEB,2012-12-31,False,FY,2012,10-K,213000.0,-20340000.0,-17354000.0,-0.12,-0.12,0.0,57699000.0,44728000.0,12649000.0,2212000.0,44700000.0,-13136000.0,-16067000.0,28312000.0,,,5755000.0
HEB,2013-03-31,False,Q1,2013,10-Q,42000.0,-4562000.0,-3611000.0,-0.02,-0.02,0.0,51659000.0,38581000.0,10028000.0,1588000.0,41380000.0,-5851000.0,5240000.0,-13000.0,,,244000.0
HEB,2013-06-30,False,Q2,2013,10-Q,36000.0,-4734000.0,-4283000.0,-0.03,-0.03,0.0,46143000.0,32882000.0,9858000.0,1306000.0,36144000.0,-9629000.0,8752000.0,-29000.0,,,534000.0
HEB,2013-12-31,False,FY,2013,10-K,150000.0,-17167000.0,-16225000.0,-0.1,-0.1,0.0,31867000.0,18552000.0,2532000.0,803000.0,29298000.0,-16830000.0,22268000.0,-6847000.0,,,898000.0
HEB,2014-03-31,False,Q1,2014,10-Q,76000.0,-5112000.0,-3836000.0,-0.02,-0.02,0.0,35010000.0,21887000.0,2988000.0,4105000.0,31993000.0,-2895000.0,-177000.0,6374000.0,,,65000.0
HEB,2014-09-30,False,Q3,2014,10-Q,45000.0,-4329000.0,-4202000.0,-0.02,-0.02,0.0,30638000.0,17666000.0,4257000.0,1262000.0,26365000.0,-9931000.0,651000.0,9739000.0,,,386000.0
HEB,2014-06-30,False,Q2,2014,10-Q,36000.0,-5085000.0,-4956000.0,-0.03,-0.03,0.0,33549000.0,20458000.0,4161000.0,2617000.0,29368000.0,-6206000.0,-420000.0,8440000.0,,,266000.0
HEB,2015-06-30,False,Q2,2015,10-Q,47000.0,-4901000.0,-4845000.0,-0.02,-0.02,0.0,29866000.0,17061000.0,3102000.0,1842000.0,26764000.0,-9237000.0,-355000.0,9278000.0,,,240000.0
HEB,2015-09-30,False,Q3,2015,10-Q,23000.0,-3983000.0,-3803000.0,-0.02,-0.02,0.0,26497000.0,13979000.0,3327000.0,1161000.0,23170000.0,-12739000.0,2083000.0,9661000.0,,,226000.0
HEB,2016-03-31,False,Q1,2016,10-Q,39000.0,-3679000.0,-2164000.0,-0.01,-0.01,0.0,21500000.0,9538000.0,3092000.0,1013000.0,18408000.0,-1043000.0,-60000.0,1000.0,,,62000.0
HEB,2016-06-30,False,Q2,2016,10-Q,15000.0,-2814000.0,-1303000.0,-0.01,-0.01,0.0,21918000.0,10730000.0,4429000.0,1538000.0,17489000.0,-2292000.0,1553000.0,162000.0,,,160000.0
HEB,2016-09-30,False,Q3,2016,10-Q,22000.0,-3226000.0,-2862000.0,-0.13,-0.13,0.0,21576000.0,9332000.0,2431000.0,4473000.0,16631000.0,-5278000.0,2943000.0,4693000.0,,,160000.0
HEB,2014-12-31,False,FY,2014,10-K,197000.0,-19099000.0,-17450000.0,-0.09,-0.09,0.0,29440000.0,16507000.0,4436000.0,2156000.0,25004000.0,-13918000.0,2488000.0,12783000.0,,,504000.0
HEB,2015-03-31,False,Q1,2015,10-Q,36000.0,-4923000.0,-3445000.0,-0.02,-0.02,0.0,30791000.0,17917000.0,3821000.0,2942000.0,26970000.0,-4257000.0,-192000.0,5235000.0,,,47000.0
HEB,2017-03-31,False,Q1,2017,10-Q,84000.0,-3241000.0,-2821000.0,-0.11,-0.11,0.0,16863000.0,5190000.0,2636000.0,776000.0,12948000.0,-2993000.0,486000.0,875000.0,,,3000.0
HEB,2015-12-31,False,FY,2015,10-K,133000.0,-16650000.0,-15230000.0,-0.06,-0.06,0.0,22804000.0,10571000.0,2433000.0,2115000.0,20371000.0,-16053000.0,6352000.0,9660000.0,,,240000.0
HEB,2017-09-30,False,Q3,2017,10-Q,90000.0,-2652000.0,-1252000.0,-0.04,-0.04,0.0,14725000.0,3735000.0,2200000.0,503000.0,10041000.0,-7181000.0,1643000.0,3633000.0,1466000.0,,20000.0
HEB,2017-06-30,False,Q2,2017,10-Q,213000.0,-2730000.0,-2193000.0,-0.08,-0.08,0.0,16108000.0,4680000.0,2743000.0,1222000.0,10332000.0,5301000.0,1483000.0,2632000.0,517000.0,,3000.0
HEB,2017-12-31,False,FY,2017,10-K,437000.0,-11416000.0,-8259000.0,-0.29,-0.29,0.0,14207000.0,3505000.0,2707000.0,1412000.0,8703000.0,-7941000.0,2730000.0,4215000.0,1835000.0,,20000.0
HEB,2016-12-31,False,FY,2016,10-K,92000.0,-13804000.0,-7502000.0,-0.34,-0.34,0.0,18873000.0,6941000.0,2435000.0,2408000.0,15498000.0,-7380000.0,2916000.0,4757000.0,,,160000.0
HEB,2018-06-30,False,Q2,2018,10-Q,33000.0,-3227000.0,-2415000.0,-0.05,-0.05,0.0,15685000.0,5285000.0,2077000.0,3568000.0,9096000.0,-5245000.0,993000.0,6408000.0,2612000.0,,57000.0
HEB,2018-03-31,False,Q1,2018,10-Q,56000.0,-2570000.0,-2713000.0,-0.07,-0.07,0.0,16260000.0,5663000.0,2650000.0,3957000.0,10200000.0,-2542000.0,1036000.0,4051000.0,2661000.0,,14000.0
