symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HIFR,2015-12-31,False,FY,2015,10-K,151203000.0,46386000.0,13267000.0,0.31,0.31,1.075,1663671000.0,49616000.0,101312000.0,9471000.0,934268000.0,105794000.0,-369281000.0,257346000.0,624889000.0,138384000.0,239157000.0
HIFR,2015-09-30,False,Q3,2015,10-Q,41452000.0,25689000.0,13972000.0,0.32,0.32,0.225,1607378000.0,60982000.0,82879000.0,29725000.0,920186000.0,78236000.0,-295014000.0,230891000.0,615367000.0,138384000.0,164890000.0
HIFR,2016-06-30,False,Q2,2016,10-Q,33785000.0,17395000.0,6608000.0,0.15,0.15,0.25,1762530000.0,44786000.0,110619000.0,10806000.0,922435000.0,60549000.0,-120615000.0,61401000.0,721085000.0,138384000.0,120615000.0
HIFR,2016-03-31,False,Q1,2016,10-Q,33665000.0,17046000.0,6315000.0,0.14,0.14,0.25,1710420000.0,48895000.0,53598000.0,13416000.0,928180000.0,32540000.0,-58495000.0,29900000.0,723072000.0,138384000.0,58495000.0
HIFR,2016-09-30,False,Q3,2016,10-Q,49419000.0,32255000.0,17041000.0,0.39,0.39,0.25,1813002000.0,46284000.0,152003000.0,11029000.0,931106000.0,92948000.0,-179765000.0,88375000.0,719224000.0,138384000.0,179765000.0
HIFR,2015-03-31,False,Q1,2015,10-Q,29372000.0,-28869000.0,-26873000.0,-0.65,-0.65,0.4,1572573000.0,118325000.0,44167000.0,86516000.0,918813000.0,25179000.0,-197334000.0,243059000.0,624984000.0,138384000.0,67210000.0
HIFR,2018-12-31,False,FY,2018,10-K,200354000.0,121576000.0,61670000.0,1.4,1.4,1.0,2031030000.0,49651000.0,157177000.0,1808000.0,925866000.0,124970000.0,-68218000.0,-57805000.0,841247000.0,138384000.0,69850000.0
HIFR,2015-06-30,False,Q2,2015,10-Q,29458000.0,15059000.0,6362000.0,0.15,0.15,0.225,1585062000.0,82300000.0,63922000.0,50495000.0,914206000.0,50960000.0,-245751000.0,229674000.0,620187000.0,138384000.0,115627000.0
HIFR,2017-03-31,False,Q1,2017,10-Q,39624000.0,20956000.0,7949000.0,0.18,0.18,0.25,1890288000.0,40033000.0,218912000.0,2617000.0,939899000.0,29810000.0,-52223000.0,7418000.0,715424000.0,138384000.0,52223000.0
HIFR,2017-09-30,False,Q3,2017,10-Q,51618000.0,31572000.0,15330000.0,0.35,0.35,0.25,1968727000.0,42320000.0,155141000.0,4186000.0,941216000.0,89030000.0,-147803000.0,45347000.0,911516000.0,138384000.0,147803000.0
HIFR,2018-03-31,False,Q1,2018,10-Q,45656000.0,27991000.0,12864000.0,0.29,0.29,0.25,1998804000.0,44204000.0,151389000.0,1624000.0,903586000.0,34837000.0,-13379000.0,-22701000.0,907496000.0,138384000.0,15011000.0
HIFR,2018-09-30,False,Q3,2018,10-Q,48926000.0,30076000.0,14271000.0,0.32,0.32,0.25,2017616000.0,46944000.0,153936000.0,3223000.0,917176000.0,99087000.0,-47021000.0,-51706000.0,843360000.0,138384000.0,48653000.0
HIFR,2017-06-30,False,Q2,2017,10-Q,40422000.0,20574000.0,7308000.0,0.17,0.17,0.25,1932102000.0,46865000.0,126043000.0,9662000.0,935004000.0,56151000.0,-91601000.0,27500000.0,913484000.0,138384000.0,91601000.0
HIFR,2018-06-30,False,Q2,2018,10-Q,47827000.0,29204000.0,17334000.0,0.39,0.39,0.25,2004114000.0,44551000.0,146079000.0,2102000.0,912526000.0,65242000.0,-30067000.0,-35938000.0,845443000.0,138384000.0,31699000.0
HIFR,2016-12-31,False,FY,2016,10-K,172099000.0,103543000.0,49954000.0,1.14,1.14,1.0,1876700000.0,59850000.0,202297000.0,17612000.0,943911000.0,123134000.0,-231312000.0,116319000.0,717337000.0,138384000.0,231312000.0
HIFR,2017-12-31,False,FY,2017,10-K,134562000.0,58224000.0,12302000.0,0.28,0.28,1.0,1993868000.0,48941000.0,151337000.0,2867000.0,900858000.0,117582000.0,-166500000.0,34173000.0,909520000.0,138384000.0,184435000.0
