symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HLF,2012-03-31,False,Q1,2012,10-Q,964175000.0,154105000.0,108162000.0,0.93,0.88,0.3,1532406000.0,844984000.0,565836000.0,305861000.0,604764000.0,120368000.0,-27228000.0,-52153000.0,2800000.0,105490000.0,24691000.0
HLF,2013-06-30,False,Q2,2013,10-Q,1219239000.0,192357000.0,143162000.0,1.39,1.34,0.3,2254003000.0,1503965000.0,792254000.0,849703000.0,433619000.0,351453000.0,-56015000.0,248414000.0,,105490000.0,56048000.0
HLF,2013-03-31,False,Q1,2013,10-Q,1123647000.0,168921000.0,118856000.0,1.14,1.1,0.3,2089300000.0,1346014000.0,696871000.0,722474000.0,342945000.0,137627000.0,-24832000.0,293197000.0,200000.0,105490000.0,24856000.0
HLF,2018-12-31,False,FY,2018,10-K,4891800000.0,683100000.0,296600000.0,2.12,1.98,0.0,2789800000.0,1805000000.0,1588800000.0,1198900000.0,-723400000.0,648400000.0,-83900000.0,-593100000.0,2453800000.0,92900000.0,84000000.0
HLF,2012-06-30,False,Q2,2012,10-Q,1031948000.0,186706000.0,133368000.0,1.14,1.1,0.3,1530792000.0,846102000.0,566330000.0,286166000.0,270719000.0,257443000.0,-42285000.0,-186189000.0,200000.0,105490000.0,39719000.0
HLF,2013-09-30,False,Q3,2013,10-Q,1213543000.0,192140000.0,141950000.0,1.39,1.32,0.3,2343447000.0,1578833000.0,867963000.0,892548000.0,455591000.0,576984000.0,-91661000.0,92416000.0,950100000.0,105490000.0,91782000.0
HLF,2011-12-31,True,FY,2011,10-K,3454537000.0,562270000.0,412578000.0,3.51,3.3,0.73,1446209000.0,768819000.0,548689000.0,258775000.0,560188000.0,509331000.0,-92086000.0,-337799000.0,200000.0,105490000.0,90408000.0
HLF,2013-03-31,True,Q1,2013,10-Q,1123647000.0,168921000.0,118873000.0,1.14,1.1,0.3,2109208000.0,1365922000.0,742033000.0,722474000.0,317691000.0,137627000.0,-24832000.0,293197000.0,200000.0,105490000.0,24856000.0
HLF,2011-12-31,False,FY,2011,10-K,3454537000.0,562270000.0,412578000.0,3.51,3.3,0.73,1446209000.0,768819000.0,548689000.0,258775000.0,560188000.0,509331000.0,-92086000.0,-337799000.0,200000.0,105490000.0,90408000.0
HLF,2012-12-31,False,FY,2012,10-K,4072330000.0,661447000.0,477190000.0,4.25,4.05,1.2,1703944000.0,963848000.0,716891000.0,333534000.0,420755000.0,567784000.0,-125000000.0,-371241000.0,,105490000.0,121524000.0
HLF,2014-03-31,False,Q1,2014,10-Q,1262649000.0,127603000.0,74628000.0,0.78,0.74,0.3,2856589000.0,1936104000.0,901905000.0,1261921000.0,42106000.0,190649000.0,-61739000.0,260344000.0,1848300000.0,105490000.0,58517000.0
HLF,2012-09-30,False,Q3,2012,10-Q,1016887000.0,160843000.0,117779000.0,1.08,1.04,0.3,1618097000.0,925187000.0,663948000.0,321722000.0,371405000.0,399890000.0,-62452000.0,-277777000.0,200000.0,105490000.0,59229000.0
HLF,2012-12-31,True,FY,2012,10-K,4072330000.0,661447000.0,463962000.0,4.13,3.94,1.2,1724143000.0,984047000.0,762362000.0,333534000.0,395483000.0,567784000.0,-125000000.0,-371241000.0,,105490000.0,121524000.0
HLF,2013-06-30,True,Q2,2013,10-Q,1219239000.0,192357000.0,143162000.0,1.39,1.34,0.3,2254003000.0,1503965000.0,792254000.0,849703000.0,433619000.0,351453000.0,-56015000.0,248414000.0,,105490000.0,56048000.0
HLF,2013-09-30,True,Q3,2013,10-Q,1213543000.0,192140000.0,141950000.0,1.39,1.32,0.3,2343447000.0,1578833000.0,867963000.0,892548000.0,455591000.0,576984000.0,-91661000.0,92416000.0,950100000.0,105490000.0,91782000.0
HLF,2013-12-31,False,FY,2013,10-K,4825308000.0,735277000.0,527525000.0,5.14,4.91,1.2,2473701000.0,1643120000.0,922178000.0,972974000.0,551446000.0,772875000.0,-150822000.0,30742000.0,931300000.0,105490000.0,146958000.0
HLF,2010-09-30,False,Q3,2010,10-Q,688431000.0,100955000.0,75739000.0,1.28,1.22,0.25,1248356000.0,621981000.0,463525000.0,193490000.0,460589000.0,267734000.0,-42506000.0,-165082000.0,,102899000.0,42199000.0
HLF,2010-06-30,False,Q2,2010,10-Q,688806000.0,116355000.0,81933000.0,1.38,1.32,0.2,1197178000.0,575307000.0,442492000.0,170218000.0,394116000.0,170391000.0,-23225000.0,-100891000.0,,102899000.0,23917000.0
HLF,2010-12-31,False,FY,2010,10-K,2734226000.0,387512000.0,290533000.0,4.88,4.67,0.9,1232220000.0,595586000.0,470816000.0,190550000.0,487212000.0,380402000.0,-69136000.0,-254480000.0,,102899000.0,68125000.0
HLF,2011-06-30,False,Q2,2011,10-Q,879654000.0,153174000.0,111180000.0,0.93,0.88,0.2,1399619000.0,738618000.0,542665000.0,254467000.0,596051000.0,250647000.0,-46293000.0,-149510000.0,400000.0,104959000.0,44428000.0
HLF,2011-09-30,False,Q3,2011,10-Q,895218000.0,151347000.0,108022000.0,0.92,0.87,0.2,1388056000.0,733874000.0,550545000.0,261521000.0,516479000.0,393626000.0,-61828000.0,-252919000.0,200000.0,105488000.0,61514000.0
HLF,2011-03-31,False,Q1,2011,10-Q,795096000.0,123400000.0,87568000.0,1.48,1.41,0.25,1358004000.0,705735000.0,494885000.0,260766000.0,580298000.0,107517000.0,-28520000.0,-16041000.0,,102899000.0,28325000.0
HLF,2015-03-31,False,Q1,2015,10-Q,1105400000.0,135600000.0,78200000.0,0.95,0.92,0.0,2388900000.0,1428200000.0,1168900000.0,715500000.0,-301200000.0,161100000.0,-16700000.0,-31100000.0,1812800000.0,96500000.0,22800000.0
HLF,2014-09-30,False,Q3,2014,10-Q,1256164000.0,27642000.0,11248000.0,0.14,0.13,0.0,2364498000.0,1436832000.0,928034000.0,678134000.0,-420561000.0,449497000.0,-151765000.0,-357829000.0,1827900000.0,105490000.0,139970000.0
HLF,2014-06-30,False,Q2,2014,10-Q,1306200000.0,196288000.0,119532000.0,1.39,1.31,0.0,2435684000.0,1494789000.0,942366000.0,773517000.0,-404068000.0,347583000.0,-113059000.0,-336433000.0,1838000000.0,105490000.0,105482000.0
HLF,2014-12-31,False,FY,2014,10-K,4958600000.0,513500000.0,308700000.0,3.58,3.4,0.3,2374900000.0,1393400000.0,874800000.0,645400000.0,-334400000.0,511400000.0,-201300000.0,-389500000.0,1811700000.0,102200000.0,173700000.0
HLF,2015-09-30,False,Q3,2015,10-Q,1102900000.0,161600000.0,93600000.0,1.13,1.09,0.0,2421500000.0,1492100000.0,1030500000.0,813200000.0,-130700000.0,493200000.0,-51300000.0,-217900000.0,1653400000.0,92000000.0,57500000.0
HLF,2016-03-31,False,Q1,2016,10-Q,1119600000.0,168300000.0,95800000.0,1.16,1.12,0.0,2386300000.0,1474100000.0,1207900000.0,774200000.0,64900000.0,141100000.0,-25600000.0,-233700000.0,1402800000.0,94000000.0,29700000.0
HLF,2015-12-31,False,FY,2015,10-K,4469000000.0,583600000.0,339100000.0,4.11,3.97,0.0,2477900000.0,1566300000.0,1024400000.0,889800000.0,-53500000.0,628700000.0,-73400000.0,-250000000.0,1622000000.0,91800000.0,79000000.0
HLF,2016-12-31,False,FY,2016,10-K,4488400000.0,458100000.0,260000000.0,3.13,3.02,0.0,2565400000.0,1462500000.0,791500000.0,844000000.0,196300000.0,367300000.0,-141300000.0,-252300000.0,1447900000.0,89900000.0,143400000.0
