symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HNI,2010-10-02,False,Q3,2010,10-Q,458853000.0,30955000.0,15681000.0,0.35,0.34,0.215,1002766000.0,400058000.0,373412000.0,72239000.0,401981000.0,49119000.0,-15904000.0,-48350000.0,,260628000.0,17834000.0
HNI,2011-04-02,False,Q1,2011,10-Q,396151000.0,921000.0,-1755000.0,-0.04,-0.04,0.23,956306000.0,372471000.0,323537000.0,52363000.0,395723000.0,-21983000.0,-6449000.0,-18301000.0,,260634000.0,4186000.0
HNI,2018-12-29,False,FY,2018,10-K,2257895000.0,128173000.0,93377000.0,2.14,2.11,1.17,1401844000.0,531883000.0,434308000.0,76819000.0,563259000.0,186430000.0,-41220000.0,-91739000.0,250034000.0,270788000.0,63696000.0
HNI,2011-07-02,False,Q2,2011,10-Q,432810000.0,10270000.0,4657000.0,0.1,0.1,0.23,1003873000.0,423145000.0,371119000.0,46763000.0,393170000.0,-8359000.0,-16105000.0,-27869000.0,,260634000.0,11740000.0
HNI,2010-07-03,False,Q2,2010,10-Q,398222000.0,12047000.0,4765000.0,0.1,0.1,0.215,972806000.0,362139000.0,353596000.0,44323000.0,399711000.0,1541000.0,-12391000.0,-32201000.0,,260628000.0,12300000.0
HNI,2011-10-01,False,Q3,2011,10-Q,504220000.0,40447000.0,24947000.0,0.56,0.55,0.23,1055184000.0,479147000.0,402861000.0,101534000.0,409685000.0,66972000.0,-25782000.0,-38752000.0,,260634000.0,16937000.0
HNI,2012-06-30,False,Q2,2012,10-Q,480400000.0,13366000.0,7025000.0,0.15,0.15,0.24,1075638000.0,448225000.0,415334000.0,55058000.0,408814000.0,5684000.0,-25717000.0,2279000.0,,272481000.0,15632000.0
HNI,2012-09-29,False,Q3,2012,10-Q,550855000.0,41743000.0,24490000.0,0.54,0.53,0.24,1122782000.0,456177000.0,445265000.0,49265000.0,420683000.0,80836000.0,-71707000.0,-32676000.0,,293359000.0,27297000.0
HNI,2012-03-31,False,Q1,2012,10-Q,445212000.0,2196000.0,-141000.0,-0.0,-0.0,0.23,1036990000.0,414719000.0,371716000.0,56519000.0,417048000.0,-27698000.0,-13265000.0,24670000.0,,272481000.0,8519000.0
HNI,2011-01-01,False,FY,2010,10-K,1686728000.0,57910000.0,26941000.0,0.6,0.59,0.86,997880000.0,408161000.0,361351000.0,99096000.0,408456000.0,94384000.0,-25053000.0,-57609000.0,,260634000.0,25683000.0
HNI,2013-03-30,False,Q1,2013,10-Q,442297000.0,3070000.0,1408000.0,0.03,0.03,0.24,1072730000.0,392988000.0,384934000.0,30910000.0,421999000.0,-30021000.0,-16797000.0,35946000.0,,288348000.0,12556000.0
HNI,2011-12-31,False,FY,2011,10-K,1833450000.0,81487000.0,45986000.0,1.03,1.01,0.92,1054258000.0,434040000.0,388910000.0,72812000.0,419322000.0,134278000.0,-91541000.0,-69021000.0,180437000.0,270761000.0,27795000.0
HNI,2012-12-29,False,FY,2012,10-K,2004003000.0,87627000.0,48967000.0,1.08,1.07,0.95,1079631000.0,404940000.0,395885000.0,41782000.0,420660000.0,144777000.0,-85813000.0,-89994000.0,154586000.0,288348000.0,39473000.0
HNI,2013-06-29,False,Q2,2013,10-Q,510698000.0,20155000.0,11421000.0,0.25,0.25,0.24,1144877000.0,458887000.0,454400000.0,33751000.0,418869000.0,-12542000.0,-38544000.0,43055000.0,,287092000.0,39306000.0
HNI,2013-09-28,False,Q3,2013,10-Q,565706000.0,45115000.0,28094000.0,0.62,0.61,0.24,1127356000.0,434448000.0,417249000.0,36891000.0,431748000.0,87969000.0,-58438000.0,-34422000.0,,286572000.0,59589000.0
HNI,2014-03-29,False,Q1,2014,10-Q,452201000.0,18390000.0,11096000.0,0.25,0.24,0.24,1112447000.0,398748000.0,378746000.0,45684000.0,442864000.0,-36065000.0,-9881000.0,26600000.0,,287092000.0,22693000.0
HNI,2015-07-04,False,Q2,2015,10-Q,568226000.0,39406000.0,23879000.0,0.54,0.52,0.265,1324963000.0,523047000.0,713236000.0,33438000.0,435135000.0,-31904000.0,-49006000.0,80204000.0,150000000.0,279374000.0,49882000.0
HNI,2014-06-28,False,Q2,2014,10-Q,509143000.0,16909000.0,9705000.0,0.22,0.21,0.25,1160272000.0,439475000.0,434994000.0,29278000.0,436998000.0,-6992000.0,-33562000.0,4802000.0,,278125000.0,51121000.0
HNI,2014-09-27,False,Q3,2014,10-Q,614690000.0,52729000.0,33588000.0,0.75,0.74,0.25,1198793000.0,468557000.0,449883000.0,29678000.0,439548000.0,74807000.0,-64152000.0,-46007000.0,,277858000.0,81748000.0
HNI,2015-10-03,False,Q3,2015,10-Q,615850000.0,61088000.0,40848000.0,0.92,0.9,0.265,1322433000.0,500970000.0,690352000.0,24616000.0,455809000.0,58402000.0,-80901000.0,12971000.0,150000000.0,280612000.0,81573000.0
HNI,2013-12-28,False,FY,2013,10-K,2059964000.0,105987000.0,63683000.0,1.41,1.39,0.96,1134705000.0,433228000.0,411584000.0,65030000.0,436417000.0,165002000.0,-75419000.0,-66335000.0,150455000.0,286655000.0,60977000.0
HNI,2015-04-04,False,Q1,2015,10-Q,523477000.0,15419000.0,8478000.0,0.19,0.19,0.25,1249152000.0,458039000.0,448773000.0,25469000.0,427580000.0,-49317000.0,-28171000.0,68813000.0,,279772000.0,28223000.0
HNI,2016-04-02,False,Q1,2016,10-Q,501037000.0,19519000.0,11843000.0,0.27,0.26,0.265,1311452000.0,443495000.0,459207000.0,38566000.0,488565000.0,-20230000.0,-60926000.0,91174000.0,150000000.0,294262000.0,27457000.0
HNI,2015-01-03,False,FY,2014,10-K,2222695000.0,112849000.0,61471000.0,1.37,1.35,0.99,1239334000.0,455559000.0,457333000.0,34144000.0,414501000.0,167796000.0,-154210000.0,-44472000.0,197791000.0,279310000.0,74323000.0
HNI,2016-01-02,False,FY,2015,10-K,2304419000.0,163676000.0,105436000.0,2.38,2.32,1.045,1263925000.0,438370000.0,435900000.0,28548000.0,477299000.0,173352000.0,-112875000.0,-66073000.0,190477000.0,277650000.0,82610000.0
HNI,2017-04-01,False,Q1,2017,10-Q,477667000.0,7934000.0,4837000.0,0.11,0.11,0.275,1326283000.0,418018000.0,465991000.0,29128000.0,501460000.0,-32009000.0,-31118000.0,55943000.0,290000000.0,290687000.0,32776000.0
HNI,2016-12-31,False,FY,2016,10-K,2203489000.0,133692000.0,85577000.0,1.93,1.88,1.09,1330234000.0,433041000.0,463473000.0,36312000.0,501009000.0,223362000.0,-153026000.0,-62572000.0,214017000.0,290699000.0,93425000.0
HNI,2016-07-02,False,Q2,2016,10-Q,536538000.0,46029000.0,29029000.0,0.65,0.64,0.275,1354730000.0,476069000.0,483271000.0,24441000.0,505886000.0,31824000.0,-89037000.0,53106000.0,276000000.0,293009000.0,42422000.0
HNI,2016-12-31,False,FY,2016,10-K,2203489000.0,133692000.0,85577000.0,1.93,1.88,1.09,1330234000.0,433041000.0,463473000.0,36312000.0,501009000.0,223362000.0,-153026000.0,-62572000.0,214017000.0,290699000.0,93425000.0
HNI,2017-09-30,False,Q3,2017,10-Q,599455000.0,57719000.0,37271000.0,0.85,0.84,0.0,1425416000.0,488143000.0,450905000.0,22416000.0,495881000.0,57344000.0,-94828000.0,23588000.0,312270000.0,290657000.0,103891000.0
HNI,2017-07-01,False,Q2,2017,10-Q,514485000.0,21649000.0,13848000.0,0.31,0.31,0.0,1401159000.0,467242000.0,484363000.0,27148000.0,494349000.0,-27302000.0,-62023000.0,80161000.0,332000000.0,290660000.0,64088000.0
HNI,2016-10-01,False,Q3,2016,10-Q,584629000.0,51660000.0,33813000.0,0.76,0.74,0.275,1361058000.0,465029000.0,441423000.0,27335000.0,524341000.0,113707000.0,-114722000.0,-198000.0,237000000.0,293517000.0,82499000.0
HNI,2018-03-31,False,Q1,2018,10-Q,505069000.0,3686000.0,2510000.0,0.06,0.06,0.285,1345139000.0,460081000.0,427855000.0,28813000.0,514241000.0,-30753000.0,2861000.0,33357000.0,328964000.0,279480000.0,16331000.0
HNI,2017-12-30,False,FY,2017,10-K,2175882000.0,76690000.0,89795000.0,2.05,2.0,1.13,1391550000.0,488880000.0,489703000.0,23348000.0,514577000.0,133149000.0,-118024000.0,-28089000.0,276648000.0,279505000.0,109243000.0
HNI,2018-06-30,False,Q2,2018,10-Q,543614000.0,27060000.0,18597000.0,0.43,0.42,0.0,1388388000.0,507402000.0,412899000.0,31065000.0,525294000.0,29478000.0,-12716000.0,-9045000.0,296831000.0,279482000.0,32324000.0
HNI,2018-09-29,False,Q3,2018,10-Q,611120000.0,53626000.0,39907000.0,0.91,0.89,0.295,1395746000.0,513906000.0,435961000.0,43738000.0,553074000.0,115037000.0,-26104000.0,-68543000.0,250054000.0,282939000.0,46979000.0
