symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HR,2012-03-31,False,Q1,2012,10-Q,78091000.0,,3134000.0,0.04,0.04,0.3,2503654000.0,,,6610000.0,985727000.0,10937000.0,-10698000.0,1633000.0,1418571000.0,3500000.0,
HR,2011-03-31,False,Q1,2011,10-Q,72612000.0,,-5789000.0,-0.09,-0.09,0.3,2296712000.0,,,3007000.0,902447000.0,9674000.0,-70524000.0,-49464000.0,1293086000.0,,
HR,2013-09-30,False,Q3,2013,10-Q,84761000.0,,19765000.0,0.21,0.21,0.3,2644863000.0,,,7160000.0,1258329000.0,71939000.0,-137932000.0,66377000.0,1268194000.0,,52199000.0
HR,2011-09-30,True,Q3,2011,10-Q,76079000.0,,647000.0,0.01,0.01,0.3,2487573000.0,,,4054000.0,1022578000.0,67246000.0,-251848000.0,75335000.0,1349882000.0,3500000.0,
HR,2012-06-30,False,Q2,2012,10-Q,78736000.0,,2908000.0,0.04,0.04,0.3,2472324000.0,,,3103000.0,966195000.0,52797000.0,-9674000.0,-44758000.0,1395600000.0,3487000.0,
HR,2013-03-31,False,Q1,2013,10-Q,82584000.0,,-999000.0,-0.01,-0.01,0.3,2655250000.0,,,94171000.0,1136616000.0,3133000.0,-48121000.0,132383000.0,1415119000.0,,8001000.0
HR,2013-12-31,False,FY,2013,10-K,336926000.0,,6946000.0,0.08,0.08,1.2,2729662000.0,,,8671000.0,1245286000.0,120797000.0,-207946000.0,89044000.0,1348459000.0,3500000.0,
HR,2012-12-31,False,FY,2012,10-K,316350000.0,,5465000.0,0.07,0.07,1.2,2539972000.0,,,6776000.0,1120944000.0,116397000.0,-113254000.0,-1105000.0,1293044000.0,3500000.0,
HR,2013-06-30,False,Q2,2013,10-Q,84054000.0,,-24205000.0,-0.27,-0.27,0.3,2597390000.0,,,1152000.0,1178168000.0,43555000.0,-102497000.0,53318000.0,1301387000.0,,34305000.0
HR,2011-12-31,False,FY,2011,10-K,296649000.0,,-214000.0,0.0,0.0,1.2,2521022000.0,,,4738000.0,1004806000.0,105032000.0,-294668000.0,81053000.0,1393537000.0,3500000.0,
HR,2012-09-30,False,Q3,2012,10-Q,79072000.0,,5815000.0,0.08,0.07,0.3,2470776000.0,,,8781000.0,1151067000.0,72272000.0,-18544000.0,-49685000.0,1212615000.0,3487000.0,
HR,2011-06-30,False,Q2,2011,10-Q,73272000.0,,2011000.0,0.03,0.03,0.3,2386181000.0,,,17776000.0,1016828000.0,46495000.0,-162419000.0,20379000.0,1251629000.0,3500000.0,
HR,2010-09-30,False,Q3,2010,10-Q,65123000000.0,,-3248000000.0,-0.05,-0.05,0.3,2069863000.0,,,11177000000.0,823009000.0,68975000000.0,-156868000.0,93219000000.0,1138200000.0,,
HR,2010-06-30,False,Q2,2010,10-Q,65406000.0,,6474000.0,0.11,0.1,0.3,1930449000.0,,,4455000.0,825026000.0,49541000.0,-33255000.0,-17682000.0,1007725000.0,,
HR,2014-03-31,False,Q1,2014,10-Q,91899000.0,,3852000.0,0.04,0.04,0.3,2721124000.0,,,10169000.0,1221794000.0,8293000.0,-16472000.0,9677000.0,1388241000.0,,15882000.0
HR,2014-06-30,False,Q2,2014,10-Q,92935000.0,,5971000.0,0.06,0.06,0.3,2750110000.0,,,17523000.0,1219350000.0,51212000.0,-50556000.0,8196000.0,1397027000.0,,36171000.0
HR,2015-03-31,False,Q1,2015,10-Q,96456000.0,,5382000.0,0.05,0.05,0.3,2788455000.0,,,10417000.0,1229185000.0,17104000.0,-52615000.0,42409000.0,1444555000.0,,11161000.0
HR,2010-12-31,False,FY,2010,10-K,258394000.0,,8200000.0,0.13,0.13,1.2,2357309000.0,,,113321000.0,842740000.0,80835000.0,-350430000.0,377065000.0,1407855000.0,,
HR,2016-03-31,False,Q1,2016,10-Q,100021000.0,,9156000.0,0.09,0.09,0.3,2841615000.0,,,2174000.0,1292999000.0,23587000.0,-56778000.0,31263000.0,1418347000.0,,10835000.0
HR,2015-09-30,False,Q3,2015,10-Q,96725000.0,,27480000.0,0.28,0.27,0.3,2741686000.0,,,8497000.0,1228698000.0,113310000.0,20429000.0,-128761000.0,1381285000.0,,35709000.0
HR,2015-06-30,False,Q2,2015,10-Q,96708000.0,,17916000.0,0.18,0.18,0.3,2740572000.0,,,8431000.0,1228429000.0,67792000.0,19844000.0,-82724000.0,1388797000.0,,25584000.0
HR,2014-09-30,False,Q3,2014,10-Q,94506000.0,,3991000.0,0.04,0.04,0.3,2741324000.0,,,1684000.0,1219507000.0,77650000.0,-81881000.0,-2756000.0,1403379000.0,,54899000.0
HR,2016-09-30,False,Q3,2016,10-Q,103659000.0,,11834000.0,0.1,0.1,0.3,2991721000.0,,,12649000.0,1634594000.0,102420000.0,-240990000.0,147117000.0,1239062000.0,,49794000.0
HR,2016-06-30,False,Q2,2016,10-Q,102642000.0,,12145000.0,0.12,0.12,0.3,2882064000.0,,,9026000.0,1350448000.0,59479000.0,-111431000.0,56876000.0,1414739000.0,,29286000.0
HR,2017-03-31,False,Q1,2017,10-Q,104569000.0,,31845000.0,0.28,0.28,0.3,3039236000.0,,,1478000.0,1653291000.0,29372000.0,43806000.0,-21303000.0,1278662000.0,,18997000.0
HR,2015-12-31,False,FY,2015,10-K,388471000.0,,69436000.0,0.7,0.7,1.2,2816726000.0,,,4102000.0,1242747000.0,160375000.0,-65782000.0,-94010000.0,1431494000.0,3487000.0,48769000.0
HR,2014-12-31,False,FY,2014,10-K,370855000.0,,31887000.0,0.33,0.33,1.2,2757510000.0,,,3519000.0,1221054000.0,125370000.0,-105588000.0,-24934000.0,1403692000.0,3487000.0,70670000.0
HR,2017-06-30,False,Q2,2017,10-Q,105245000.0,,25224000.0,0.22,0.22,0.3,2958498000.0,,,2033000.0,1646277000.0,83971000.0,17057000.0,-144351000.0,1203146000.0,,36329000.0
HR,2017-09-30,False,Q3,2017,10-Q,106953000.0,,2635000.0,0.02,0.02,0.3,3145704000.0,,,196981000.0,1864262000.0,129365000.0,-17552000.0,30661000.0,1166060000.0,,52305000.0
HR,2017-12-31,False,FY,2017,10-K,424499000.0,,20943000.0,0.18,0.18,1.2,3193585000.0,,,6215000.0,1789883000.0,179766000.0,-259448000.0,31390000.0,1283880000.0,3500000.0,80613000.0
HR,2018-03-31,False,Q1,2018,10-Q,112124000.0,,9180000.0,0.07,0.07,0.3,3183420000.0,,,3796000.0,1764548000.0,40820000.0,-26088000.0,-17151000.0,1306951000.0,,16764000.0
HR,2016-12-31,False,FY,2016,10-K,411630000.0,,85571000.0,0.79,0.78,1.2,3040647000.0,,,5409000.0,1653414000.0,151272000.0,-237824000.0,136957000.0,1264370000.0,3500000.0,71433000.0
HR,2018-06-30,False,Q2,2018,10-Q,111634000.0,,37729000.0,0.3,0.3,0.3,3214690000.0,,,7414000.0,1768056000.0,97228000.0,-61937000.0,-34092000.0,1335732000.0,,37592000.0
