symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HST,2012-03-23,False,Q1,2012,10-Q,985000000.0,,-2000000.0,-0.07,-0.07,0.06,13587000000.0,,,1312000000.0,6860000000.0,73000000.0,-92000000.0,505000000.0,6137000000.0,,62000000.0
HST,2010-09-10,False,Q3,2010,10-Q,1006000000.0,23000000.0,-58000000.0,-0.09,-0.09,0.0,12095000000.0,,,838000000.0,6129000000.0,328000000.0,-498000000.0,-634000000.0,5424000000.0,,99000000.0
HST,2011-09-09,False,Q3,2011,10-Q,1142000000.0,,-35000000.0,-0.05,-0.05,0.0,12805000000.0,,,524000000.0,6804000000.0,399000000.0,-34000000.0,505000000.0,5488000000.0,,182000000.0
HST,2018-12-31,False,FY,2018,10-K,5524000000.0,530000000.0,1087000000.0,1.47,1.47,0.85,12090000000.0,,,1542000000.0,7566000000.0,1300000000.0,100000000.0,-748000000.0,3837000000.0,,200000000.0
HST,2011-12-31,False,FY,2011,10-K,4998000000.0,,-15000000.0,-0.02,-0.02,0.14,13068000000.0,,,826000000.0,6713000000.0,661000000.0,-1576000000.0,628000000.0,5753000000.0,,327000000.0
HST,2010-12-31,False,FY,2010,10-K,4437000000.0,,-138000000.0,-0.21,-0.21,0.04,12411000000.0,,,1113000000.0,6332000000.0,520000000.0,-73000000.0,116000000.0,5477000000.0,,195000000.0
HST,2012-06-15,False,Q2,2012,10-Q,1368000000.0,,82000000.0,0.11,0.11,0.0,12736000000.0,,,465000000.0,6977000000.0,302000000.0,-269000000.0,-394000000.0,5226000000.0,,162000000.0
HST,2012-09-07,False,Q3,2012,10-Q,1204000000.0,,-34000000.0,-0.05,-0.05,0.0,13042000000.0,,,254000000.0,6934000000.0,425000000.0,-822000000.0,-175000000.0,5495000000.0,,211000000.0
HST,2011-06-17,False,Q2,2011,10-Q,1296000000.0,,-14000000.0,0.09,0.09,0.0,13103000000.0,,,634000000.0,6654000000.0,256000000.0,-23000000.0,595000000.0,5888000000.0,,119000000.0
HST,2011-03-25,False,Q1,2011,10-Q,903000000.0,,-116000000.0,-0.09,-0.09,0.02,12493000000.0,,,154000000.0,6383000000.0,52000000.0,-9000000.0,808000000.0,5538000000.0,,48000000.0
HST,2013-03-31,False,Q1,2013,10-Q,1255000000.0,,56000000.0,0.08,0.08,0.1,13337000000.0,,,1075000000.0,7110000000.0,177000000.0,147000000.0,334000000.0,5534000000.0,,36000000.0
HST,2013-06-30,False,Q2,2013,10-Q,1420000000.0,,119000000.0,0.16,0.16,0.0,12665000000.0,,,393000000.0,7214000000.0,460000000.0,-25000000.0,-454000000.0,4724000000.0,,69000000.0
HST,2013-09-30,False,Q3,2013,10-Q,1223000000.0,,19000000.0,0.03,0.03,0.0,12563000000.0,,,354000000.0,7262000000.0,697000000.0,-152000000.0,-606000000.0,4560000000.0,,100000000.0
HST,2013-12-31,False,FY,2013,10-K,5166000000.0,512000000.0,317000000.0,0.43,0.42,0.46,12814000000.0,,,861000000.0,7262000000.0,1019000000.0,-75000000.0,-493000000.0,4759000000.0,,25000000.0
HST,2012-12-31,False,FY,2012,10-K,5286000000.0,,61000000.0,0.08,0.08,0.3,12994000000.0,,,417000000.0,6859000000.0,782000000.0,-886000000.0,-305000000.0,5411000000.0,,272000000.0
HST,2010-03-26,False,Q1,2010,10-Q,823000000.0,-2000000.0,-86000000.0,-0.13,-0.13,0.0,12060000000.0,,,1245000000.0,6159000000.0,49000000.0,-39000000.0,-407000000.0,5383000000.0,,27000000.0
