symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HVT,2012-03-31,False,Q1,2012,10-Q,163569000.0,,2457000.0,0.11,0.11,0.0,387466000.0,180743000.0,71350000.0,56696000.0,266384000.0,11192000.0,-3896000.0,-185000.0,,,3707000.0
HVT,2011-12-31,False,FY,2011,10-K,620903000.0,,15463000.0,1.3900000000000001,1.37,0.12,385100000.0,177675000.0,72373000.0,49585000.0,262669000.0,19072000.0,-24222000.0,-3310000.0,,,17566000.0
HVT,2018-12-31,False,FY,2018,10-K,817733000.0,,30307000.0,2.84,2.8099999999999996,1.72,440179000.0,201850000.0,88226000.0,71537000.0,274629000.0,70392000.0,-18972000.0,-59217000.0,50803000.0,,21473000.0
HVT,2011-09-30,False,Q3,2011,10-Q,155379000.0,,118000.0,0.01,0.01,0.0,372781000.0,178944000.0,75505000.0,66485000.0,254425000.0,30110000.0,-21137000.0,-533000.0,,,14480000.0
HVT,2012-06-30,False,Q2,2012,10-Q,151519000.0,,2361000.0,0.21000000000000002,0.21000000000000002,0.04,392185000.0,181640000.0,75858000.0,55718000.0,268952000.0,20528000.0,-12585000.0,-1810000.0,,,12821000.0
HVT,2012-09-30,False,Q3,2012,10-Q,172677000.0,,3314000.0,0.29000000000000004,0.29000000000000004,0.04,406398000.0,191402000.0,87088000.0,75026000.0,272421000.0,48315000.0,-19922000.0,-2952000.0,,,20166000.0
HVT,2011-06-30,False,Q2,2011,10-Q,143094000.0,,-942000.0,-0.04,-0.04,0.0,365838000.0,178017000.0,67853000.0,62015000.0,253493000.0,15155000.0,-10784000.0,-401000.0,,,3994000.0
HVT,2013-03-31,False,Q1,2013,10-Q,186090000.0,,8260000.0,0.72,0.7,0.04,399914000.0,179983000.0,82636000.0,53869000.0,267788000.0,5389000.0,-3971000.0,-1099000.0,,,3972000.0
HVT,2013-06-30,False,Q2,2013,10-Q,171114000.0,,4830000.0,0.42000000000000004,0.41000000000000003,0.04,399137000.0,178277000.0,80546000.0,52260000.0,272092000.0,12977000.0,-10221000.0,-4046000.0,,,10225000.0
HVT,2013-09-30,False,Q3,2013,10-Q,192722000.0,,9494000.0,0.8200000000000001,0.8200000000000001,0.075,410548000.0,190146000.0,86167000.0,72078000.0,280924000.0,41037000.0,-16713000.0,-5796000.0,,,16720000.0
HVT,2012-12-31,False,FY,2012,10-K,670073000.0,,14911000.0,1.27,1.26,1.12,402096000.0,179894000.0,89889000.0,53550000.0,259428000.0,52168000.0,-24766000.0,-23437000.0,19354000.0,,25014000.0
HVT,2014-03-31,False,Q1,2014,10-Q,181737000.0,,6129000.0,0.53,0.53,0.075,421843000.0,205559000.0,76047000.0,84508000.0,303610000.0,8448000.0,-5109000.0,-2016000.0,,,4518000.0
HVT,2014-09-30,False,Q3,2014,10-Q,198541000.0,,7824000.0,0.6799999999999999,0.67,1.025,442468000.0,199702000.0,91589000.0,78659000.0,290028000.0,49052000.0,-22643000.0,-30935000.0,,,22049000.0
HVT,2014-06-30,False,Q2,2014,10-Q,175132000.0,,4829000.0,0.41000000000000003,0.41000000000000003,0.08,440292000.0,207671000.0,78945000.0,87843000.0,305922000.0,23067000.0,-12294000.0,-6115000.0,,,11699000.0
HVT,2013-12-31,False,FY,2013,10-K,746090000.0,,32265000.0,2.8200000000000003,2.76,0.225,417855000.0,200699000.0,78115000.0,83185000.0,298264000.0,55889000.0,-20120000.0,-6134000.0,17155000.0,,20202000.0
HVT,2014-12-31,False,FY,2014,10-K,768409000.0,,8589000.0,0.71,0.7,1.25,460987000.0,209461000.0,95875000.0,65481000.0,292083000.0,55454000.0,-41372000.0,-31786000.0,49065000.0,,30882000.0
HVT,2016-06-30,False,Q2,2016,10-Q,194774000.0,,5374000.0,0.49,0.47,0.1,456951000.0,193819000.0,91056000.0,48525000.0,287940000.0,10629000.0,-4725000.0,-28038000.0,0.0,,18523000.0
HVT,2015-03-31,False,Q1,2015,10-Q,191331000.0,,6119000.0,0.53,0.52,0.08,469626000.0,213481000.0,96747000.0,74146000.0,297461000.0,13564000.0,-5688000.0,789000.0,,,6711000.0
HVT,2015-09-30,False,Q3,2015,10-Q,209921000.0,,7655000.0,0.66,0.66,0.095,472481000.0,213768000.0,102218000.0,73287000.0,293613000.0,45831000.0,-19988000.0,-18037000.0,,,22523000.0
HVT,2016-03-31,False,Q1,2016,10-Q,194511000.0,,4669000.0,0.41000000000000003,0.41000000000000003,0.095,465673000.0,205268000.0,81734000.0,53733000.0,305037000.0,-4763000.0,-8975000.0,-3188000.0,0.0,,8979000.0
HVT,2017-09-30,False,Q3,2017,10-Q,207647000.0,,5983000.0,0.55,0.55,0.15,470199000.0,213245000.0,98155000.0,86903000.0,293972000.0,48748000.0,-14321000.0,-11005000.0,0.0,,15394000.0
HVT,2015-12-31,False,FY,2015,10-K,804870000.0,,27789000.0,2.42,2.3899999999999997,0.34,471251000.0,218711000.0,93962000.0,70659000.0,301739000.0,52232000.0,-28355000.0,-18699000.0,53125000.0,,27143000.0
HVT,2015-06-30,False,Q2,2015,10-Q,187732000.0,,4833000.0,0.41000000000000003,0.41000000000000003,0.08,472993000.0,215850000.0,96928000.0,66701000.0,299224000.0,18101000.0,-12238000.0,-4643000.0,,,14521000.0
HVT,2016-09-30,False,Q3,2016,10-Q,211690000.0,,7366000.0,0.6799999999999999,0.67,0.1125,468496000.0,202573000.0,96309000.0,75567000.0,293637000.0,47236000.0,-10983000.0,-31345000.0,0.0,,25292000.0
HVT,2017-06-30,False,Q2,2017,10-Q,196829000.0,,6185000.0,0.5700000000000001,0.56,0.12,454318000.0,195890000.0,86344000.0,65858000.0,290291000.0,20097000.0,-9420000.0,-8300000.0,0.0,,10457000.0
HVT,2018-06-30,False,Q2,2018,10-Q,198775000.0,,6214000.0,0.5800000000000001,0.5700000000000001,0.18,458865000.0,210655000.0,91860000.0,74643000.0,291778000.0,28857000.0,-13741000.0,-19900000.0,0.0,,14642000.0
HVT,2017-03-31,False,Q1,2017,10-Q,200427000.0,,5986000.0,0.55,0.55,0.1125,455620000.0,196728000.0,91889000.0,61495000.0,286467000.0,5759000.0,-4174000.0,-3571000.0,0.0,,5182000.0
HVT,2018-03-31,False,Q1,2018,10-Q,199442000.0,,6313000.0,0.5800000000000001,0.5700000000000001,0.18,455789000.0,206398000.0,84766000.0,72093000.0,294522000.0,8294000.0,-7073000.0,-8593000.0,0.0,,7128000.0
HVT,2018-09-30,False,Q3,2018,10-Q,210547000.0,,8352000.0,0.78,0.77,0.17,473584000.0,230775000.0,101118000.0,96269000.0,292423000.0,62494000.0,-15755000.0,-29850000.0,0.0,,18231000.0
HVT,2017-12-31,False,FY,2017,10-K,819866000.0,,21075000.0,1.95,1.92,0.54,461329000.0,210687000.0,89684000.0,79491000.0,294142000.0,52457000.0,-21608000.0,-14839000.0,54591000.0,,24465000.0
HVT,2016-12-31,False,FY,2016,10-K,821571000.0,,28356000.0,2.59,2.5700000000000003,1.44,454505000.0,194115000.0,95950000.0,63481000.0,281871000.0,60054000.0,-13187000.0,-54045000.0,55475000.0,,29838000.0
