symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HBHC,2010-09-30,False,Q3,2010,10-Q,120606000.0,,14853000.0,0.4,0.4,0.24,8239362000.0,,,175633000.0,865780000.0,123362000.0,348206000.0,-500649000.0,423000.0,61631000.0,18187000.0
HBHC,2011-03-31,False,Q1,2011,10-Q,116665000.0,,15328000.0,0.41,0.41,0.24,8311034000.0,,,163381000.0,1057699000.0,4037000.0,-135457000.0,155114000.0,365000.0,61631000.0,33197000.0
HBHC,2010-06-30,False,Q2,2010,10-Q,125034000.0,,6500000.0,0.17,0.17,0.24,8500018000.0,,,169320000.0,861282000.0,111569000.0,86550000.0,-233513000.0,488000.0,61631000.0,11416000.0
HBHC,2011-06-30,False,Q2,2011,10-Q,162156000.0,,12088000.0,0.22,0.22,0.24,19757545000.0,,,381333000.0,2386313000.0,288270000.0,5464000.0,-52088000.0,360102000.0,629688000.0,38544000.0
HWC,2018-12-31,False,FY,2018,10-K,1313408000.0,,323770000.0,3.72,3.72,1.02,28235907000.0,,,153939000.0,3081340000.0,449184000.0,-846902000.0,394142000.0,224993000.0,790972000.0,50664000.0
HBHC,2011-09-30,False,Q3,2011,10-Q,262646000.0,,30378000.0,0.36,0.36,0.24,19415689000.0,,,373693000.0,2426662000.0,276753000.0,170506000.0,-213253000.0,356363000.0,629688000.0,62010000.0
HBHC,2012-03-31,False,Q1,2012,10-Q,253222000.0,,18495000.0,0.22,0.21,0.24,19291097000.0,,,357814000.0,2375203000.0,78538000.0,329129000.0,-487800000.0,360272000.0,647216000.0,3756000.0
HBHC,2010-12-31,False,FY,2010,10-K,489507000.0,,52206000.0,1.41,1.4,0.96,8138327000.0,,,139687000.0,856548000.0,194798000.0,334375000.0,-594200000.0,376000.0,61631000.0,21899000.0
HBHC,2011-12-31,False,FY,2011,10-K,798540000.0,,76759000.0,1.16,1.15,0.96,19774096000.0,,,437947000.0,2367163000.0,273046000.0,-301023000.0,326237000.0,353890000.0,,72975000.0
HBHC,2013-03-31,False,Q1,2013,10-Q,245459000.0,,48576000.0,0.56,0.56,0.24,19064123000.0,,,301475000.0,2477100000.0,132356000.0,151283000.0,-430655000.0,393920000.0,625675000.0,11719000.0
HBHC,2012-09-30,False,Q3,2012,10-Q,252964000.0,,46984000.0,0.55,0.55,0.24,18524130000.0,,,414623000.0,2434488000.0,319750000.0,999644000.0,-1342718000.0,308327000.0,628877000.0,34815000.0
HBHC,2013-06-30,False,Q2,2013,10-Q,243546000.0,,46862000.0,0.55,0.55,0.24,18934301000.0,,,400562000.0,2345340000.0,272994000.0,245315000.0,-566238000.0,385122000.0,625675000.0,18601000.0
HBHC,2012-06-30,False,Q2,2012,10-Q,254041000.0,,39304000.0,0.46,0.46,0.24,18778707000.0,,,392601000.0,2399362000.0,194980000.0,788255000.0,-1028581000.0,360312000.0,628877000.0,20118000.0
HBHC,2012-12-31,False,FY,2012,10-K,1016296000.0,,151742000.0,1.77,1.75,0.96,19464485000.0,,,448491000.0,2453278000.0,443032000.0,-17733000.0,-414755000.0,396589000.0,628877000.0,42979000.0
HBHC,2014-03-31,False,Q1,2014,10-Q,231839000.0,,49115000.0,0.58,0.58,0.24,19004170000.0,,,415024000.0,2462534000.0,103125000.0,19917000.0,-56458000.0,380001000.0,625675000.0,6111000.0
HBHC,2014-06-30,False,Q2,2014,10-Q,230399000.0,,39962000.0,0.48,0.48,0.24,19349431000.0,,,424609000.0,2492582000.0,184086000.0,-348056000.0,240139000.0,374991000.0,621193000.0,10881000.0
HBHC,2013-09-30,False,Q3,2013,10-Q,244696000.0,,33202000.0,0.4,0.4,0.24,18801846000.0,,,425693000.0,2356442000.0,411187000.0,307029000.0,-741014000.0,376664000.0,625675000.0,25855000.0
HBHC,2014-09-30,False,Q3,2014,10-Q,230642000.0,,46553000.0,0.56,0.56,0.24,19985950000.0,,,332359000.0,2509342000.0,287637000.0,-1115076000.0,811358000.0,376452000.0,621193000.0,14370000.0
HBHC,2015-06-30,False,Q2,2015,10-Q,225794000.0,,34829000.0,0.44,0.44,0.24,21538405000.0,,,329608000.0,2430040000.0,130733000.0,-828226000.0,670646000.0,507341000.0,621193000.0,13896000.0
HBHC,2015-09-30,False,Q3,2015,10-Q,231540000.0,,41166000.0,0.52,0.52,0.24,21608150000.0,,,323743000.0,2453561000.0,222790000.0,-989390000.0,733888000.0,497177000.0,621193000.0,19529000.0
HBHC,2013-12-31,False,FY,2013,10-K,968353000.0,,163356000.0,1.93,1.93,0.96,19009251000.0,,,348440000.0,2425069000.0,473532000.0,-4497000.0,-569086000.0,385826000.0,625675000.0,32029000.0
