symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HZN,2016-09-30,False,Q3,2016,10-Q,151720000.0,6630000.0,370000.0,0.02,0.02,0.0,339870000.0,223320000.0,126860000.0,41420000.0,16000000.0,27510000.0,-9850000.0,200000.0,190630000.0,5360000.0,10090000.0
HZN,2016-12-31,False,FY,2016,10-K,649200000.0,6300000.0,-12360000.0,-0.66,-0.66,0.0,613370000.0,285990000.0,198130000.0,50240000.0,32060000.0,35410000.0,-108440000.0,100500000.0,358640000.0,120190000.0,14540000.0
HZN,2015-09-30,False,Q3,2015,10-Q,153340000.0,8610000.0,6350000.0,0.35,0.35,0.0,346820000.0,226900000.0,127260000.0,28130000.0,3450000.0,12790000.0,-4630000.0,15470000.0,203740000.0,4420000.0,6400000.0
HZN,2015-06-30,False,Q2,2015,10-Q,158540000.0,5360000.0,2200000.0,0.12,0.12,0.0,375700000.0,246910000.0,144150000.0,17050000.0,2000000.0,-6890000.0,-2670000.0,21510000.0,210370000.0,5630000.0,4140000.0
HZN,2016-03-31,False,Q1,2016,10-Q,146110000.0,7810000.0,2190000.0,0.12,0.12,0.0,347830000.0,227760000.0,116060000.0,18710000.0,6760000.0,-23580000.0,-3280000.0,21910000.0,211760000.0,4860000.0,3420000.0
HZN,2017-09-30,False,Q3,2017,10-Q,240120000.0,13290000.0,6890000.0,0.28,0.27,0.0,676810000.0,305690000.0,188950000.0,20470000.0,157630000.0,-2320000.0,-38990000.0,9580000.0,269710000.0,145910000.0,20270000.0
HZN,2015-12-31,False,FY,2015,10-K,575510000.0,19570000.0,8300000.0,0.46,0.46,0.0,331580000.0,211160000.0,128490000.0,23520000.0,2000000.0,26910000.0,-6810000.0,-910000.0,188740000.0,4410000.0,8320000.0
HZN,2018-09-30,False,Q3,2018,10-Q,227840000.0,-23940000.0,-32760000.0,-1.31,-1.31,0.0,536380000.0,322600000.0,179350000.0,27310000.0,-17830000.0,-66040000.0,-10660000.0,74400000.0,342260000.0,10410000.0,10820000.0
HZN,2016-06-30,False,Q2,2016,10-Q,167760000.0,11120000.0,7330000.0,0.4,0.4,0.0,352840000.0,234060000.0,133160000.0,31040000.0,13790000.0,7410000.0,-6430000.0,6620000.0,196770000.0,5440000.0,6670000.0
HZN,2017-03-31,False,Q1,2017,10-Q,203280000.0,-660000.0,-9860000.0,-0.41,-0.41,0.0,637280000.0,304400000.0,179270000.0,30160000.0,132260000.0,-40120000.0,-7400000.0,26760000.0,268750000.0,125950000.0,7510000.0
HZN,2017-06-30,False,Q2,2017,10-Q,253590000.0,24240000.0,20260000.0,0.8,0.79,0.0,675500000.0,331470000.0,196600000.0,39570000.0,150830000.0,-14590000.0,-12400000.0,15050000.0,269170000.0,134380000.0,13340000.0
HZN,2018-06-30,False,Q2,2018,10-Q,233340000.0,-64140000.0,-66930000.0,-2.68,-2.68,0.0,580540000.0,335610000.0,211180000.0,28890000.0,15080000.0,-35360000.0,-7650000.0,42410000.0,310720000.0,37710000.0,7790000.0
HZN,2017-12-31,False,FY,2017,10-K,892980000.0,34760000.0,-3550000.0,-0.14,-0.14,0.0,661030000.0,303790000.0,208510000.0,29570000.0,140400000.0,14160000.0,-40740000.0,3700000.0,258880000.0,138190000.0,27290000.0
HZN,2018-03-31,False,Q1,2018,10-Q,216810000.0,-53270000.0,-57510000.0,-2.3,-2.3,0.0,648500000.0,330010000.0,215140000.0,26240000.0,87850000.0,-30220000.0,-4100000.0,30290000.0,297840000.0,98030000.0,4190000.0
