symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ICBK,2015-06-30,False,Q2,2015,10-Q,9733000.0,,2088000.0,0.36,0.36,0.0,781117000.0,,,14103000.0,101024000.0,4643000.0,-6347000.0,5327000.0,,,157000.0
ICBK,2015-12-31,False,FY,2015,10-K,41452000.0,,10489000.0,1.85,1.82,0.16,884889000.0,,,14907000.0,107024000.0,7069000.0,-103743000.0,101101000.0,,,3167000.0
ICBK,2015-09-30,False,Q3,2015,10-Q,10487000.0,,3212000.0,0.56,0.55,0.04,844791000.0,,,13026000.0,104436000.0,-433000.0,-60142000.0,63121000.0,,,1623000.0
ICBK,2016-03-31,False,Q1,2016,10-Q,11055000.0,,2074000.0,0.36,0.35,0.05,909557000.0,,,19814000.0,109378000.0,7929000.0,-25081000.0,22059000.0,,,1188000.0
ICBK,2015-03-31,False,Q1,2015,10-Q,9856000.0,,2408000.0,0.44,0.43,0.0,781409000.0,,,29743000.0,99544000.0,-2095000.0,14966000.0,6392000.0,,,54000.0
ICBK,2016-06-30,False,Q2,2016,10-Q,13458000.0,,1865000.0,0.31,0.3,0.05,1160589000.0,,,21224000.0,125789000.0,10272000.0,-55950000.0,51995000.0,,5038000.0,1383000.0
ICBK,2018-09-30,False,Q3,2018,10-Q,18808000.0,,3411000.0,0.51,0.5,0.07,1514968000.0,,,49996000.0,147987000.0,8332000.0,-131857000.0,106750000.0,0.0,5038000.0,7277000.0
ICBK,2017-06-30,False,Q2,2017,10-Q,14808000.0,,1973000.0,0.3,0.29,0.06,1286634000.0,,,35939000.0,136254000.0,-978000.0,-46286000.0,40524000.0,,5038000.0,1911000.0
ICBK,2016-12-31,False,FY,2016,10-K,54296000.0,,10352000.0,1.65,1.61,0.2,1242670000.0,,,42679000.0,131288000.0,25602000.0,-124325000.0,126495000.0,,5038000.0,1777000.0
ICBK,2018-03-31,False,Q1,2018,10-Q,16733000.0,,3957000.0,0.59,0.58,0.07,1460257000.0,,,90676000.0,142814000.0,4775000.0,-41667000.0,60797000.0,0.0,5038000.0,5067000.0
ICBK,2017-09-30,False,Q3,2017,10-Q,15802000.0,,3513000.0,0.53,0.52,0.06,1359325000.0,,,71795000.0,139729000.0,11407000.0,-89883000.0,107592000.0,0.0,5038000.0,2428000.0
ICBK,2016-09-30,False,Q3,2016,10-Q,14817000.0,,3022000.0,0.46,0.46,0.05,1217149000.0,,,52876000.0,128794000.0,19172000.0,-84460000.0,103257000.0,,5038000.0,1516000.0
ICBK,2017-12-31,False,FY,2017,10-K,60705000.0,,10072000.0,1.52,1.49,0.24,1397045000.0,,,66771000.0,140986000.0,11331000.0,-131526000.0,144287000.0,,5038000.0,2758000.0
ICBK,2017-03-31,False,Q1,2017,10-Q,13852000.0,,2550000.0,0.39,0.38,0.06,1251414000.0,,,31185000.0,134074000.0,1820000.0,-18988000.0,5674000.0,,5038000.0,1252000.0
ICBK,2018-06-30,False,Q2,2018,10-Q,18079000.0,,3751000.0,0.56,0.55,0.07,1518877000.0,,,81044000.0,146082000.0,4158000.0,-104724000.0,114839000.0,0.0,5038000.0,5464000.0
