symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ICE,2018-12-31,False,FY,2018,10-K,6276000000.0,2583000000.0,1988000000.0,3.46,3.43,0.96,92791000000.0,66692000000.0,66108000000.0,1872000000.0,17231000000.0,2533000000.0,-1755000000.0,-463000000.0,7441000000.0,13085000000.0,134000000.0
ICE,2015-03-31,False,Q1,2015,10-Q,1156000000.0,462000000.0,315000000.0,2.81,2.8,0.65,66428000000.0,48486000000.0,48798000000.0,752000000.0,12325000000.0,465000000.0,-86000000.0,-268000000.0,2247000000.0,8504000000.0,39000000.0
ICE,2015-06-30,False,Q2,2015,10-Q,1073000000.0,430000000.0,283000000.0,2.55,2.54,0.75,63104000000.0,45133000000.0,45580000000.0,678000000.0,12443000000.0,770000000.0,899000000.0,-1635000000.0,2247000000.0,8532000000.0,92000000.0
ICE,2014-09-30,False,Q3,2014,10-Q,1006000000.0,330000000.0,206000000.0,1.81,1.8,0.65,67286000000.0,49378000000.0,49337000000.0,638000000.0,12643000000.0,922000000.0,489000000.0,-1618000000.0,2247000000.0,8471000000.0,105000000.0
ICE,2014-06-30,False,Q2,2014,10-Q,1011000000.0,327000000.0,226000000.0,1.96,1.95,0.65,68482000000.0,50191000000.0,49670000000.0,2057000000.0,13279000000.0,836000000.0,1651000000.0,-1285000000.0,2248000000.0,8583000000.0,58000000.0
ICE,2016-06-30,False,Q2,2016,10-Q,1504000000.0,551000000.0,357000000.0,3.0,,0.0,75224000000.0,50630000000.0,51438000000.0,390000000.0,15330000000.0,1103000000.0,-302000000.0,-1031000000.0,4719000000.0,12046000000.0,96000000.0
ICE,2013-03-31,False,Q1,2014,10-Q,352000000.0,200000000.0,135000000.0,1.86,1.85,0.0,,,,1391000000.0,,150000000.0,-116000000.0,-252000000.0,,,15000000.0
ICE,2015-12-31,False,FY,2015,10-K,4682000000.0,1750000000.0,1274000000.0,11.45,11.39,2.9,77987000000.0,53313000000.0,54743000000.0,627000000.0,14840000000.0,1311000000.0,-3298000000.0,1976000000.0,7308000000.0,12079000000.0,190000000.0
ICE,2013-12-31,False,FY,2012,10-K,1795000000.0,790000000.0,254000000.0,3.24,3.21,0.65,64818000000.0,44259000000.0,44342000000.0,961000000.0,12615000000.0,735000000.0,-2523000000.0,1119000000.0,5058000000.0,9501000000.0,136000000.0
ICE,2014-12-31,False,FY,2014,10-K,4221000000.0,1448000000.0,981000000.0,8.6,8.55,2.6,68279000000.0,50245000000.0,50539000000.0,652000000.0,12392000000.0,1463000000.0,36000000.0,-1673000000.0,2247000000.0,8535000000.0,172000000.0
ICE,2017-03-31,False,Q1,2017,10-Q,1469000000.0,582000000.0,502000000.0,0.84,0.84,0.2,79463000000.0,55073000000.0,56006000000.0,360000000.0,15787000000.0,611000000.0,-108000000.0,-551000000.0,3872000000.0,12302000000.0,32000000.0
ICE,2016-03-31,False,Q1,2016,10-Q,1554000000.0,584000000.0,369000000.0,3.1,,0.85,79160000000.0,54554000000.0,55636000000.0,468000000.0,15080000000.0,597000000.0,-59000000.0,-697000000.0,4718000000.0,12104000000.0,31000000.0
ICE,2016-12-31,False,FY,2016,10-K,5958000000.0,2167000000.0,1422000000.0,2.39,2.37,0.68,82003000000.0,57133000000.0,58617000000.0,407000000.0,15754000000.0,2149000000.0,-898000000.0,-1462000000.0,6364000000.0,12291000000.0,250000000.0
ICE,2017-06-30,False,Q2,2017,10-Q,1494000000.0,609000000.0,418000000.0,0.71,0.7,0.2,80324000000.0,56448000000.0,56819000000.0,398000000.0,15933000000.0,1098000000.0,209000000.0,-1321000000.0,3874000000.0,12001000000.0,81000000.0
ICE,2017-12-31,False,FY,2017,10-K,5834000000.0,2379000000.0,2514000000.0,4.27,4.23,0.8,78264000000.0,53562000000.0,54171000000.0,1568000000.0,16952000000.0,2085000000.0,92000000.0,-1971000000.0,6100000000.0,12216000000.0,220000000.0
ICE,2017-09-30,False,Q3,2017,10-Q,1432000000.0,596000000.0,369000000.0,0.63,0.62,0.2,79118000000.0,55239000000.0,54600000000.0,419000000.0,16019000000.0,1410000000.0,127000000.0,-1534000000.0,4865000000.0,12016000000.0,136000000.0
ICE,2016-09-30,False,Q3,2016,10-Q,1416000000.0,474000000.0,344000000.0,2.88,2.86,0.85,76296000000.0,51844000000.0,52354000000.0,458000000.0,15544000000.0,1508000000.0,-306000000.0,-1366000000.0,4720000000.0,12009000000.0,166000000.0
