symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
IGC,2018-12-31,False,Q3,2019,10-Q,1285000.0,-1578000.0,-1148000.0,-0.03,-0.03,0.0,37159000.0,28160000.0,534000.0,27033000.0,36561000.0,-2182000.0,-49000.0,27605000.0,1500000.0,,7000.0
IGC,2012-03-31,False,FY,2012,10-K,4199551.0,-7511581.0,-7751925.0,-0.27,-0.27,0.0,25260078.0,5220263.0,4496020.0,562948.0,15816183.0,-5022362.0,4668578.0,-625763.0,,965738.0,5480.0
IGC,2012-06-30,False,Q1,2013,10-Q,1267680.0,-194133.0,-528316.0,-0.01,-0.01,0.0,24826488.0,5214283.0,4744535.0,719437.0,15385551.0,-80504.0,248500.0,8808.0,,938568.0,0.0
IGC,2013-03-31,False,FY,2013,10-K,8030016.0,-2483564.0,-2252347.0,-0.32,-0.32,0.0,19252593.0,4268645.0,1824975.0,1064421.0,14974230.0,178199.0,-74704.0,414337.0,,592274.0,326078.0
IGC,2013-06-30,False,Q1,2014,10-Q,1123904.0,-260754.0,-633487.0,-0.09,-0.09,0.0,18575174.0,3722077.0,1654854.0,651465.0,14463452.0,-243564.0,0.0,109.0,,606639.0,
IGC,2013-09-30,False,Q2,2014,10-Q,1133585.0,-432709.0,-615187.0,-0.09,-0.09,0.0,18541672.0,3857366.0,3427932.0,726768.0,14465020.0,-415842.0,201998.0,-101999.0,,609896.0,
IGC,2013-12-31,False,Q3,2014,10-Q,17529.0,-294016.0,-310476.0,-0.04,-0.04,0.0,18187952.0,3800232.0,3251094.0,440626.0,14280567.0,-866889.0,638912.0,-142684.0,,592274.0,
IGC,2013-03-31,True,FY,2013,10-K,8030016.0,-2483564.0,-2252347.0,-0.32,-0.32,0.0,19252593.0,4268645.0,1824975.0,1064421.0,14974230.0,564845.0,-74704.0,27691.0,,0.0,326078.0
IGC,2014-03-31,False,FY,2014,10-K,2273155.0,-2527702.0,-3022593.0,-0.37,-0.37,0.0,17734352.0,3758455.0,1030677.0,1026565.0,14145296.0,-1742054.0,3083.0,1736297.0,,468091.0,8485.0
IGC,2012-09-30,False,Q2,2013,10-Q,1351466.0,-343799.0,-142708.0,0.0,0.0,0.0,24219810.0,5086024.0,4118255.0,611297.0,15177270.0,-235607.0,312535.0,-25137.0,,4495807.0,0.0
IGC,2012-12-31,False,Q3,2013,10-Q,3933906.0,455382.0,310892.0,0.01,0.01,0.0,21439363.0,5606841.0,3865877.0,2108326.0,15660305.0,1259615.0,372996.0,-5350.0,,299274.0,0.0
IGC,2014-09-30,False,Q2,2015,10-Q,2117816.0,-765279.0,-887399.0,-0.07,-0.07,0.0,21190998.0,5603827.0,2453275.0,1345803.0,15926976.0,-1952070.0,-704087.0,2860535.0,1217893.0,982782.0,869427.0
IGC,2014-06-30,False,Q1,2015,10-Q,763864.0,-1149999.0,-1201429.0,-0.12,-0.12,0.0,21610230.0,6425004.0,1956981.0,2952739.0,16822436.0,-567355.0,-124830.0,2597859.0,1401472.0,982782.0,291495.0
IGC,2014-12-31,False,Q3,2015,10-Q,2542192.0,-499146.0,-590114.0,-0.05,-0.05,0.0,21255029.0,4932001.0,2154962.0,1118015.0,16291757.0,-2127597.0,-716857.0,2822032.0,1542864.0,982782.0,882351.0
IGC,2015-03-31,False,FY,2015,10-K,7680257.0,-4342291.0,-4614183.0,-0.31,-0.31,0.0,20331459.0,4477732.0,2447884.0,824492.0,14749782.0,-2583642.0,-518088.0,2899714.0,,982782.0,76527.0
IGC,2011-06-30,False,Q1,2011,10-Q,1060247.0,-698447.0,-869203.0,-0.04,-0.04,0.0,17487481.0,6530978.0,6363112.0,1177452.0,7249282.0,-425339.0,20191.0,,,403498.0,
IGC,2011-12-31,False,Q3,2012,10-Q,986799.0,-1049268.0,-1901375.0,-0.09,-0.09,0.0,35098619.0,14563434.0,12952846.0,4444972.0,14079469.0,-1198618.0,4229538.0,8201.0,,952836.0,
IGC,2015-09-30,False,Q2,2016,10-Q,2055585.0,-508221.0,-623373.0,-0.04,-0.04,0.0,18824848.0,3547437.0,1285258.0,637923.0,14093713.0,7336.0,46582.0,-249109.0,805559.0,982782.0,-47388.0
IGC,2016-06-30,False,Q1,2017,10-Q,288493.0,-318805.0,-383566.0,-0.02,-0.02,0.0,18495641.0,3505553.0,3397957.0,1325550.0,13591519.0,202908.0,-117812.0,-250804.0,,1180951.0,3106.0
IGC,2016-03-31,False,FY,2016,10-K,6366550.0,-2905710.0,-2808244.0,-0.17,-0.17,0.0,18859182.0,3841949.0,3199061.0,1490693.0,13948071.0,-157702.0,-183422.0,1011227.0,,1180951.0,122185.0
IGC,2016-12-31,False,Q3,2017,10-Q,250000.0,-386000.0,-111000.0,0.0,0.0,0.0,11170000.0,1837000.0,761000.0,744000.0,7540000.0,-483000.0,-271000.0,-121000.0,,198000.0,129000.0
IGC,2011-09-30,False,Q2,2011,10-Q,912121.0,-719398.0,-789253.0,-0.04,-0.04,0.0,16093740.0,5779851.0,5984797.0,766829.0,6295963.0,-813813.0,38349.0,,,334723.0,
IGC,2015-06-30,False,Q1,2016,10-Q,1858809.0,-257337.0,-382699.0,-0.03,-0.03,0.0,20579762.0,4864637.0,2593849.0,659597.0,14522199.0,-548446.0,-26396.0,410075.0,1586014.0,982782.0,562.0
IGC,2015-12-31,False,Q3,2016,10-Q,1084651.0,-374869.0,-402684.0,-0.02,-0.02,0.0,18402880.0,3441530.0,1280772.0,607636.0,13659232.0,3253.0,35271.0,-267060.0,817161.0,982782.0,806.0
IGC,2017-09-30,False,Q2,2018,10-Q,235648.0,-263012.0,-303804.0,-0.01,-0.01,0.0,9992352.0,2024213.0,1220444.0,597026.0,6221388.0,-627513.0,-148112.0,844931.0,,198169.0,927.0
IGC,2018-09-30,False,Q2,2019,10-Q,811000.0,-855000.0,-858000.0,-0.03,-0.03,0.0,16550000.0,7741000.0,2504000.0,6408000.0,13807000.0,-851000.0,-16000.0,5683000.0,107500.0,,3000.0
IGC,2017-06-30,False,Q1,2018,10-Q,52926.0,-396269.0,-432141.0,-0.02,-0.02,0.0,9436441.0,1601232.0,977248.0,345610.0,6094726.0,-521933.0,-3851.0,333206.0,,198169.0,252.0
IGC,2018-06-30,False,Q1,2019,10-Q,1477540.0,-511703.0,-512296.0,-0.02,-0.02,0.0,11516338.0,4159108.0,3698735.0,1020859.0,7577059.0,-534785.0,-7807.0,-67327.0,107500.0,,2986.0
IGC,2017-03-31,False,FY,2017,10-K,580372.0,-2054385.0,-1867260.0,-0.07,-0.07,0.0,11284302.0,3581363.0,1289711.0,538029.0,7350285.0,-1391077.0,-241354.0,707564.0,,198169.0,145677.0
IGC,2017-12-31,False,Q3,2018,10-Q,762009.0,-473374.0,-532581.0,-0.02,-0.02,0.0,11336145.0,3225806.0,1324183.0,1690792.0,7474865.0,-973336.0,-301497.0,2418016.0,,198169.0,11224.0
IGC,2016-09-30,False,Q2,2017,10-Q,162163.0,-549633.0,-583871.0,-0.02,-0.02,0.0,18860149.0,2924317.0,2864081.0,939285.0,14824895.0,-676728.0,-155347.0,319245.0,,198170.0,4504.0
IGC,2018-03-31,False,FY,2018,10-K,2192590.0,-1788953.0,-1786274.0,-0.06,-0.06,0.0,10853096.0,3204947.0,2345954.0,1658496.0,8064746.0,-1931078.0,-657113.0,3714912.0,,0.0,135731.0
