symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
IMAX,2011-09-30,False,Q3,2011,10-Q,67488000000.0,14428000000.0,8392000000.0,0.13,0.12,0.0,374378000.0,,,18843000000.0,181267000.0,-6409000000.0,-32420000000.0,27421000000.0,39583000000.0,39027000000.0,4409000000.0
IMAX,2018-12-31,False,FY,2018,10-K,374401000.0,45176000.0,22844000.0,0.36,0.36,0.0,873600000.0,,,141590000.0,592918000.0,109972000.0,-56874000.0,-70862000.0,37753000.0,39027000.0,13368000.0
IMAX,2011-03-31,False,Q1,2011,10-Q,45160000000.0,-465000000.0,-1003000000.0,-0.02,-0.02,0.0,336574000.0,,,17379000000.0,161892000.0,-9566000000.0,-4206000000.0,831000000.0,17500000000.0,39027000000.0,838000000.0
IMAX,2012-03-31,False,Q1,2012,10-Q,55596000000.0,4542000000.0,2588000000.0,0.04,0.04,0.0,414142000.0,,,21588000000.0,202357000.0,10426000000.0,-10411000000.0,3405000000.0,55000000000.0,39027000000.0,374000000.0
IMAX,2011-06-30,False,Q2,2011,10-Q,57232000.0,4448000.0,1825000.0,0.03,0.03,0.0,372132000.0,,,23232000.0,170786000.0,-10440000.0,-18377000.0,21919000.0,34583000.0,39027000.0,2227000.0
IMAX,2012-06-30,False,Q2,2012,10-Q,70210000000.0,15566000000.0,11080000000.0,0.17,0.16,0.0,425476000.0,,,23580000000.0,219247000.0,19842000000.0,-19403000000.0,4956000000.0,55000000000.0,39027000000.0,1775000000.0
IMAX,2012-09-30,False,Q3,2012,10-Q,80711000.0,22489000.0,14990000.0,0.23,0.22,0.0,427035000.0,,,29450000.0,238581000.0,53910000.0,-23200000.0,-19252000.0,30000000.0,39027000.0,2599000.0
IMAX,2013-03-31,False,Q1,2013,10-Q,49869000.0,4565000.0,2861000.0,0.04,0.04,0.0,432338000.0,,,15158000.0,260484000.0,-989000.0,-12810000.0,7604000.0,18000000.0,39027000.0,3315000.0
IMAX,2011-12-31,False,FY,2011,10-K,236556000.0,28492000000.0,15543000000.0,0.24,0.23,0.0,406236000.0,,,18138000000.0,192907000.0,6247000000.0,-63507000000.0,45141000000.0,55083000000.0,39027000000.0,5528000000.0
IMAX,2012-12-31,False,FY,2012,10-K,284290000.0,58382000.0,41337000.0,0.63,0.61,0.0,421872000.0,,,21336000.0,253079000.0,73630000.0,-35519000.0,-34849000.0,11000000.0,39027000.0,6055000.0
