symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
INST,2016-06-30,False,Q2,2016,10-Q,25890000.0,-14516000.0,-14590000.0,-0.53,-0.53,0.0,125581000.0,108920000.0,87885000.0,62027000.0,25749000.0,-28392000.0,-3363000.0,3311000.0,,989000.0,3410000.0
INST,2017-03-31,False,Q1,2017,10-Q,33979000.0,-12791000.0,-12731000.0,-0.44,-0.44,0.0,83850000.0,62925000.0,70600000.0,28266000.0,1612000.0,-27749000.0,10480000.0,996000.0,,989000.0,3145000.0
INST,2016-12-31,False,FY,2016,10-K,110880000.0,-53375000.0,-53568000.0,-1.92,-1.92,0.0,111336000.0,92876000.0,89799000.0,44539000.0,9964000.0,-21608000.0,-31306000.0,6982000.0,0.0,989000.0,7021000.0
INST,2018-12-31,False,FY,2018,10-K,466000000.0,-44773000.0,-43465000.0,-1.27,-1.27,0.0,273997000.0,212627000.0,132017000.0,94320000.0,128438000.0,98000.0,-63304000.0,121833000.0,,12354000.0,11132000.0
INST,2016-03-31,False,Q1,2016,10-Q,23299000.0,-13754000.0,-13739000.0,-0.5,-0.5,0.0,98568000.0,82129000.0,52053000.0,69658000.0,34490000.0,-18850000.0,-2086000.0,123000.0,,989000.0,2268000.0
INST,2017-09-30,False,Q3,2017,10-Q,42948000.0,-12562000.0,-12373000.0,-0.42,-0.42,0.0,135481000.0,110123000.0,134094000.0,58716000.0,-10863000.0,3922000.0,4731000.0,5524000.0,,989000.0,10830000.0
INST,2017-06-30,False,Q2,2017,10-Q,38044000.0,-12941000.0,-12996000.0,-0.45,-0.45,0.0,130054000.0,107321000.0,122003000.0,25744000.0,-4118000.0,-39646000.0,16682000.0,4169000.0,,989000.0,6955000.0
INST,2016-09-30,False,Q3,2016,10-Q,30145000.0,-12267000.0,-12317000.0,-0.44,-0.44,0.0,128354000.0,111440000.0,99121000.0,58975000.0,17408000.0,-6742000.0,-29248000.0,4494000.0,,989000.0,4922000.0
INST,2017-12-31,False,FY,2017,10-K,158806000.0,-50776000.0,-49822000.0,-1.69,-1.69,0.0,135410000.0,86098000.0,116616000.0,35693000.0,4357000.0,-21129000.0,2231000.0,10052000.0,0.0,12354000.0,15750000.0
INST,2018-03-31,False,Q1,2018,10-Q,47991000.0,-12133000.0,-11868000.0,-0.37,-0.37,0.0,242756000.0,180351000.0,97597000.0,136733000.0,132425000.0,-12347000.0,879000.0,112508000.0,,12354000.0,4847000.0
INST,2018-09-30,False,Q3,2018,10-Q,470000000.0,-11956000.0,-11472000.0,-0.33,-0.33,0.0,302181000.0,239974000.0,163285000.0,111031000.0,125945000.0,20270000.0,-63130000.0,118198000.0,,12354000.0,8888000.0
INST,2018-06-30,False,Q2,2018,10-Q,448000000.0,-12425000.0,-12538000.0,-0.36,-0.36,0.0,293041000.0,230539000.0,149588000.0,67951000.0,130124000.0,-34428000.0,-50079000.0,116765000.0,,12354000.0,7390000.0
