symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
IPHI,2013-09-30,False,Q3,2013,10-Q,26611000.0,-3077000.0,-2760000.0,-0.09,-0.09,0.0,175232000.0,140716000.0,13577000.0,27845000.0,156444000.0,11235000.0,-16314000.0,2763000.0,,5875000.0,12521000.0
IPHI,2014-06-30,False,Q2,2014,10-Q,33922000.0,-1699000.0,2634000.0,0.08,0.08,0.0,191987000.0,151171000.0,16018000.0,33325000.0,171292000.0,8263000.0,-6878000.0,273000.0,,5875000.0,8431000.0
IPHI,2012-06-30,False,Q2,2012,10-Q,23308000.0,-1434000.0,-1570000.0,-0.06,-0.06,0.0,182169000.0,146862000.0,16295000.0,33763000.0,162368000.0,8089000.0,-4974000.0,952000.0,,5875000.0,4330000.0
IPHI,2012-09-30,False,Q3,2012,10-Q,24762000.0,-814000.0,-1055000.0,-0.04,-0.04,0.0,184252000.0,147864000.0,12352000.0,31651000.0,168271000.0,5904000.0,-8456000.0,4507000.0,,5875000.0,6691000.0
IPHI,2012-03-31,False,Q1,2012,10-Q,20201000.0,-3020000.0,-1512000.0,-0.05,-0.05,0.0,178030000.0,144341000.0,13398000.0,29366000.0,161991000.0,97000.0,-2768000.0,2341000.0,,5875000.0,1784000.0
IPHI,2013-06-30,False,Q2,2013,10-Q,24339000.0,-3898000.0,-1474000.0,-0.05,-0.05,0.0,169398000.0,139154000.0,11905000.0,29177000.0,152692000.0,7210000.0,-8956000.0,762000.0,,5875000.0,9659000.0
IPHI,2014-03-31,False,Q1,2014,10-Q,31189000.0,-628000.0,-995000.0,-0.03,-0.03,0.0,185875000.0,147105000.0,16952000.0,27834000.0,162887000.0,-2128000.0,-1638000.0,-67000.0,,5875000.0,3156000.0
IPHI,2018-12-31,False,FY,2018,10-K,294490000.0,-74161000.0,-95751000.0,-2.19,-2.19,0.0,889873000.0,511280000.0,64443000.0,172018000.0,366694000.0,78159000.0,-56961000.0,-12630000.0,,104502000.0,31713000.0
IPHI,2014-09-30,False,Q3,2014,10-Q,36278000.0,-2019000.0,-6857000.0,-0.22,-0.22,0.0,201291000.0,155186000.0,22973000.0,79612000.0,172194000.0,9032000.0,36788000.0,2125000.0,,5875000.0,12987000.0
IPHI,2015-09-30,False,Q3,2015,10-Q,62395000.0,-153000.0,-1102000.0,-0.03,-0.03,0.0,288707000.0,161337000.0,29784000.0,64772000.0,250722000.0,45503000.0,-12591000.0,1494000.0,,9405000.0,12198000.0
IPHI,2011-06-30,False,Q2,2011,10-Q,24001000.0,2736000.0,2443000.0,0.09,0.08,0.0,176969000.0,147300000.0,12671000.0,32562000.0,160945000.0,2407000.0,-89590000.0,9574000.0,,5875000.0,2649000.0
IPHI,2011-12-31,False,FY,2011,10-K,79297000.0,204000.0,1931000.0,0.07,0.07,0.0,172628000.0,140085000.0,10690000.0,29696000.0,158404000.0,9603000.0,-95674000.0,5596000.0,,5875000.0,5197000.0
IPHI,2013-12-31,False,FY,2013,10-K,102664000.0,-12302000.0,-13178000.0,-0.45,-0.45,0.0,182342000.0,146097000.0,17084000.0,31667000.0,159393000.0,18658000.0,-20098000.0,2946000.0,,5875000.0,16578000.0
IPHI,2012-12-31,False,FY,2012,10-K,91206000.0,-7932000.0,-20691000.0,-0.73,-0.73,0.0,170074000.0,144397000.0,13087000.0,30161000.0,152965000.0,6468000.0,-10509000.0,4506000.0,,5875000.0,8383000.0
IPHI,2015-06-30,False,Q2,2015,10-Q,60672000.0,-1925000.0,-2020000.0,,,0.0,283997000.0,152917000.0,33538000.0,49641000.0,242294000.0,25739000.0,-5704000.0,-760000.0,,9405000.0,6638000.0
IPHI,2011-09-30,False,Q3,2011,10-Q,16482000.0,-3498000.0,-2631000.0,-0.1,-0.1,0.0,172671000.0,141261000.0,10435000.0,28388000.0,157782000.0,5020000.0,-93682000.0,6879000.0,,5875000.0,4456000.0
IPHI,2015-03-31,False,Q1,2015,10-Q,59160000.0,-5481000.0,-9708000.0,-0.26,-0.26,0.0,277822000.0,143044000.0,32309000.0,39542000.0,236057000.0,12254000.0,-3211000.0,133000.0,,9405000.0,3438000.0
IPHI,2013-03-31,False,Q1,2013,10-Q,22584000.0,-4408000.0,-7671000.0,-0.27,-0.27,0.0,172782000.0,142439000.0,15825000.0,29736000.0,152148000.0,1097000.0,-4362000.0,2840000.0,,5875000.0,3745000.0
IPHI,2015-12-31,False,FY,2015,10-K,246616000.0,-5007000.0,-13551000.0,-0.35,-0.35,0.0,505046000.0,378875000.0,33978000.0,283044000.0,290670000.0,68238000.0,-23871000.0,208311000.0,175974000.0,9154000.0,16557000.0
IPHI,2016-03-31,False,Q1,2016,10-Q,66531000.0,2546000.0,220000.0,0.01,0.01,0.0,512369000.0,384596000.0,33198000.0,138939000.0,302015000.0,13078000.0,-155230000.0,-1953000.0,,9154000.0,7033000.0
IPHI,2016-06-30,False,Q2,2016,10-Q,60524000.0,3999000.0,531000.0,0.01,0.01,0.0,515714000.0,395238000.0,31840000.0,146914000.0,304209000.0,24700000.0,-151959000.0,-8871000.0,,8440000.0,11755000.0
IPHI,2017-09-30,False,Q3,2017,10-Q,84511000.0,-52462000.0,-48766000.0,-1.15,-1.15,0.0,933607000.0,523199000.0,72657000.0,165868000.0,405583000.0,48245000.0,-13827000.0,-13417000.0,,104564000.0,30914000.0
IPHI,2018-06-30,False,Q2,2018,10-Q,69814000.0,-21919000.0,-28464000.0,-0.65,-0.65,0.0,903858000.0,485663000.0,65469000.0,155142000.0,382452000.0,26112000.0,-26239000.0,-8181000.0,,104502000.0,17718000.0
IPHI,2016-12-31,False,FY,2016,10-K,266277000.0,24948000.0,99456000.0,2.45,2.25,0.0,990595000.0,499520000.0,66270000.0,144867000.0,462524000.0,63073000.0,-448213000.0,246963000.0,,105077000.0,22348000.0
IPHI,2018-09-30,False,Q3,2018,10-Q,78009000.0,-16049000.0,-22665000.0,-0.52,-0.52,0.0,885380000.0,485947000.0,52422000.0,172420000.0,377267000.0,48402000.0,-31957000.0,-7475000.0,,104502000.0,23876000.0
IPHI,2017-06-30,False,Q2,2017,10-Q,84423000.0,-7939000.0,-14967000.0,-0.36,-0.36,0.0,974964000.0,502711000.0,69811000.0,162290000.0,440650000.0,29634000.0,2508000.0,-14719000.0,,104441000.0,18309000.0
IPHI,2016-09-30,False,Q3,2016,10-Q,70750000.0,10244000.0,79572000.0,1.95,1.8,0.0,875067000.0,768316000.0,41386000.0,448039000.0,439535000.0,50343000.0,-136683000.0,251335000.0,216775000.0,8440000.0,16285000.0
IPHI,2017-03-31,False,Q1,2017,10-Q,93584000.0,-4511000.0,-11273000.0,-0.27,-0.27,0.0,980107000.0,498929000.0,59036000.0,167559000.0,457421000.0,18508000.0,5941000.0,-1757000.0,,105077000.0,11419000.0
IPHI,2018-03-31,False,Q1,2018,10-Q,60136000.0,-27952000.0,-22991000.0,-0.53,-0.53,0.0,903771000.0,487770000.0,55690000.0,144100000.0,404760000.0,17194000.0,-38575000.0,2031000.0,,104502000.0,14527000.0
IPHI,2017-12-31,False,FY,2017,10-K,348201000.0,-70199000.0,-74904000.0,-1.78,-1.78,0.0,917506000.0,517109000.0,60047000.0,163450000.0,411401000.0,77308000.0,-38341000.0,-20384000.0,,104502000.0,37437000.0
