symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
Q,2013-03-31,False,Q1,2013,10-Q,1228841000.0,115165000.0,48309000.0,0.42,0.41,0.0,2426705000.0,1439497000.0,1221988000.0,454293000.0,-1322295000.0,-21458000.0,-36194000.0,-33959000.0,,297569000.0,31459000.0
Q,2013-06-30,False,Q2,2013,10-Q,1295680000.0,94897000.0,38517000.0,0.31,0.3,0.0,2648167000.0,1673860000.0,1238727000.0,585722000.0,-797888000.0,5384000.0,-67399000.0,105778000.0,,295260000.0,64276000.0
Q,2014-06-30,False,Q2,2014,10-Q,1341030000.0,141000000.0,85120000.0,0.66,0.64,0.0,2978637000.0,1864707000.0,1353060000.0,636468000.0,-621610000.0,38697000.0,-33008000.0,-154086000.0,,410333000.0,35832000.0
Q,2013-09-30,False,Q3,2013,10-Q,1195839000.0,125259000.0,66769000.0,0.52,0.5,0.0,2842021000.0,1717186000.0,1334383000.0,609710000.0,-711972000.0,181910000.0,-227991000.0,104262000.0,,412459000.0,77939000.0
Q,2014-03-31,False,Q1,2014,10-Q,1307846000.0,141316000.0,90183000.0,0.69,0.68,0.0,3061892000.0,1947820000.0,1376476000.0,741381000.0,-559525000.0,-28437000.0,-13979000.0,3007000.0,,409519000.0,17706000.0
Q,2015-03-31,False,Q1,2015,10-Q,1347593000.0,143217000.0,86398000.0,0.69,0.68,0.0,3236651000.0,2098823000.0,1320697000.0,779068000.0,-612307000.0,-64332000.0,-18308000.0,26342000.0,,462991000.0,16432000.0
Q,2014-09-30,False,Q3,2014,10-Q,1400034000.0,149142000.0,92654000.0,0.73,0.71,0.0,3106715000.0,1938603000.0,1426780000.0,645034000.0,-536232000.0,175797000.0,-145927000.0,-144377000.0,,468620000.0,57782000.0
Q,2015-06-30,False,Q2,2015,10-Q,1443527000.0,158389000.0,84951000.0,0.69,0.67,0.0,3341784000.0,2219842000.0,1353808000.0,803615000.0,-701678000.0,-13570000.0,-45466000.0,16465000.0,2525000000.0,463610000.0,31924000.0
IQV,2018-12-31,False,FY,2018,10-K,18600000000.0,741000000.0,259000000.0,1.27,1.24,0.0,22549000000.0,3874000000.0,3534000000.0,891000000.0,6954000000.0,1254000000.0,-810000000.0,-452000000.0,5253000000.0,11800000000.0,459000000.0
Q,2016-06-30,False,Q2,2016,10-Q,1552673000.0,150743000.0,86759000.0,0.73,0.71,0.0,3962798000.0,2436598000.0,1600288000.0,955684000.0,-228701000.0,152732000.0,-59556000.0,-102540000.0,,716640000.0,57373000.0
