symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
IRM,2018-12-31,False,FY,2018,10-K,4229251000.0,755508000.0,363351000.0,1.27,1.27,2.3753,11852247000.0,1208114000.0,1462678000.0,165485000.0,1885589000.0,935549000.0,-2221878000.0,550678000.0,619800000.0,4441030000.0,460062000.0
IRM,2011-12-31,False,FY,2011,10-K,3014703000.0,571199000.0,395538000.0,2.03,2.02,0.9375,6041258000.0,914450000.0,849030000.0,179845000.0,1254256000.0,615438000.0,78508000.0,-763808000.0,3353588000.0,2254268000.0,209155000.0
IRM,2011-03-31,False,Q1,2011,10-Q,798954000.0,131693000.0,73460000.0,0.37,0.37,0.1875,6470102000.0,1018602000.0,807947000.0,189817000.0,2027986000.0,119337000.0,-98991000.0,-90511000.0,,2379264000.0,61507000.0
IRM,2010-03-31,False,Q1,2010,10-Q,776506000.0,132691000.0,25566000.0,0.13,0.12,0.0625,6738679000.0,1090323000.0,725909000.0,325422000.0,2151940000.0,131167000.0,-233544000.0,-17155000.0,,2592797000.0,81948000.0
IRM,2012-03-31,False,Q1,2012,10-Q,746498000.0,141813000.0,55350000.0,0.32,0.32,0.25,6086622000.0,931999000.0,778140000.0,178293000.0,1268803000.0,74884000.0,-67032000.0,-14096000.0,3453676000.0,2282621000.0,55916000.0
IRM,2011-09-30,False,Q3,2011,10-Q,772082000.0,116797000.0,37338000.0,0.19,0.19,0.25,6391443000.0,1259943000.0,754689000.0,480879000.0,1713701000.0,410958000.0,134768000.0,-320634000.0,3320406000.0,2259087000.0,148335000.0
IRM,2010-12-31,False,FY,2010,10-K,3127549000.0,323553000.0,-53900000.0,-0.27,-0.27,0.0,6395799000.0,1055178000.0,854934000.0,258693000.0,1963262000.0,625140000.0,-432670000.0,-381234000.0,,2323964000.0,277627000.0
IRM,2010-09-30,False,Q3,2010,10-Q,782574000.0,-83975000.0,-153776000.0,-0.76,-0.76,0.0625,6350918000.0,994610000.0,747166000.0,184173000.0,1967212000.0,445036000.0,-352556000.0,-355044000.0,3009729000.0,2333341000.0,201829000.0
IRM,2010-06-30,False,Q2,2010,10-Q,779791000.0,150434000.0,41292000.0,0.2,0.2,0.0625,6647096000.0,1125234000.0,731650000.0,340479000.0,2116055000.0,268098000.0,-290568000.0,-79187000.0,3166815000.0,2544474000.0,138008000.0
IRM,2013-03-31,False,Q1,2013,10-Q,747031000.0,122842000.0,19386000.0,0.1,0.1,0.27,6298180000.0,1001136000.0,844578000.0,229999000.0,1128077000.0,106605000.0,-100508000.0,-14088000.0,3849706000.0,2308720000.0,95418000.0
IRM,2011-06-30,False,Q2,2011,10-Q,762889000.0,147371000.0,252684000.0,1.25,1.24,0.25,6410699000.0,1069646000.0,798392000.0,271424000.0,2062109000.0,243057000.0,190487000.0,-423495000.0,2933119000.0,2358129000.0,99396000.0
IRM,2013-06-30,False,Q2,2013,10-Q,754721000.0,131869000.0,26564000.0,0.14,0.14,0.27,6334819000.0,1045982000.0,1072925000.0,258866000.0,1093539000.0,213901000.0,-216413000.0,26918000.0,3938700000.0,2317157000.0,158240000.0
IRM,2013-09-30,False,Q3,2013,10-Q,755639000.0,140283000.0,4047000.0,0.02,0.02,0.27,6380779000.0,942478000.0,828500000.0,172031000.0,1072166000.0,334582000.0,-346662000.0,-49805000.0,4025332000.0,2376081000.0,204872000.0
IRM,2012-06-30,False,Q2,2012,10-Q,752165000.0,158687000.0,38055000.0,0.22,0.22,0.27,6087212000.0,891154000.0,780726000.0,170230000.0,1250324000.0,212190000.0,-228571000.0,7083000.0,3492994000.0,2321810000.0,107361000.0
IRM,2012-09-30,False,Q3,2012,10-Q,748125000.0,153966000.0,52809000.0,0.31,0.31,0.27,6327575000.0,1065984000.0,772615000.0,334583000.0,1299125000.0,300737000.0,-293297000.0,143700000.0,3739427000.0,2336099000.0,165462000.0
IRM,2012-12-31,False,FY,2012,10-K,3005255000.0,557027000.0,171708000.0,0.99,0.98,5.12,6358339000.0,1024092000.0,904953000.0,243415000.0,1162448000.0,432736000.0,-400200000.0,28230000.0,3825003000.0,2334759000.0,240683000.0
IRM,2013-12-31,False,FY,2013,10-K,3025923000.0,492394000.0,97262000.0,0.51,0.51,1.08,6653005000.0,933607000.0,959101000.0,120526000.0,1057834000.0,507546000.0,-637687000.0,18564000.0,4171722000.0,2463352000.0,287295000.0
