symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
IRT,2013-09-30,False,Q3,2013,10-Q,4787000.0,1208000.0,255000.0,0.03,0.03,0.16,172025000.0,,,16526000.0,76215000.0,3726000.0,-14076000.0,24343000.0,54209000.0,,1130000.0
IRT,2012-09-30,False,Q3,2012,10-Q,4041000.0,795000.0,-28000.0,-0.09,-0.09,0.0,132611000.0,,,3618000.0,48052000.0,2841000.0,-992000.0,662000.0,,,870000.0
IRT,2012-06-30,False,Q2,2012,10-Q,4086000.0,1038000.0,-14000.0,-0.04,-0.04,0.0,133022000.0,,,3940000.0,48869000.0,1875000.0,-503000.0,1461000.0,,,592000.0
IRT,2014-03-31,False,Q1,2014,10-Q,8135000.0,1348000.0,2935000.0,0.19,0.19,0.0,336570000.0,,,24635000.0,137672000.0,2652000.0,-60250000.0,78899000.0,150828000.0,,381000.0
IRT,2013-12-31,False,FY,2013,10-K,19943000.0,4933000.0,615000.0,0.12,0.12,0.63,181871000.0,,,3334000.0,74908000.0,6018000.0,-38239000.0,33022000.0,103303000.0,,1445000.0
IRT,2014-06-30,False,Q2,2014,10-Q,11649000.0,1801000.0,-128000.0,-0.01,-0.01,0.0,359647000.0,,,8054000.0,136242000.0,5884000.0,-100451000.0,99287000.0,163260000.0,,1283000.0
IRT,2015-03-31,False,Q1,2015,10-Q,21700000.0,3780000.0,-233000.0,-0.01,-0.01,0.0,694032000.0,,,19084000.0,256855000.0,8503000.0,-2015000.0,-2167000.0,383313000.0,,993000.0
IRT,2014-09-30,False,Q3,2014,10-Q,13057000.0,2216000.0,-56000.0,0.0,0.0,0.0,469023000.0,,,34786000.0,204981000.0,10497000.0,-184107000.0,205062000.0,208922000.0,,2522000.0
IRT,2015-06-30,False,Q2,2015,10-Q,22812000.0,4630000.0,337000.0,0.01,0.01,0.0,723159000.0,,,21568000.0,251130000.0,13316000.0,-28963000.0,22452000.0,403360000.0,,3088000.0
IRT,2018-12-31,False,FY,2018,10-K,191232000.0,51822000.0,26288000.0,0.3,0.3,0.0,1659336000.0,,,9316000.0,630045000.0,68530000.0,-229457000.0,162353000.0,985488000.0,,599000.0
IRT,2014-12-31,False,FY,2014,10-K,49203000.0,8541000.0,2940000.0,0.14,0.14,0.05333,694150000.0,,,14763000.0,263034000.0,15724000.0,-307337000.0,303042000.0,417369000.0,,4158000.0
IRT,2015-09-30,False,Q3,2015,10-Q,25492000.0,-5792000.0,24015000.0,0.71,0.71,0.0,1413255000.0,,,16939000.0,394455000.0,4967000.0,-169605000.0,166814000.0,100000000.0,,5641000.0
IRT,2016-03-31,False,Q1,2016,10-Q,38666000.0,7387000.0,-75000.0,-0.7500000000000001,,0.0,1344650000.0,,,21924000.0,380972000.0,7457000.0,5900000.0,-29734000.0,,,2273000.0
IRT,2015-12-31,False,FY,2015,10-K,109576000.0,10182000.0,28242000.0,0.78,0.78,0.06,1392414000.0,,,38301000.0,390030000.0,18725000.0,-153466000.0,158279000.0,,,8941000.0
IRT,2016-09-30,False,Q3,2016,10-Q,38364000.0,10589000.0,2267000.0,0.05,0.05,0.0,1306242000.0,,,29247000.0,396038000.0,33330000.0,29036000.0,-71420000.0,880581000.0,,8039000.0
IRT,2017-03-31,False,Q1,2017,10-Q,39142000.0,11783000.0,4077000.0,0.06,0.06,0.0,1306986000.0,,,10065000.0,520344000.0,12421000.0,-31116000.0,7868000.0,765695000.0,,2359000.0
IRT,2016-06-30,False,Q2,2016,10-Q,38327000.0,11045000.0,28987000.0,0.61,0.61,0.0,1307871000.0,,,28051000.0,401948000.0,18847000.0,32987000.0,-62084000.0,880288000.0,,5429000.0
IRT,2017-06-30,False,Q2,2017,10-Q,39561000.0,11217000.0,18739000.0,0.27,0.27,0.0,1317177000.0,,,6271000.0,528321000.0,28033000.0,-55706000.0,13052000.0,764521000.0,,5728000.0
IRT,2017-12-31,False,FY,2017,10-K,161216000.0,45425000.0,30206000.0,0.41,0.41,0.0,1450624000.0,,,9985000.0,646119000.0,54324000.0,-190825000.0,125594000.0,778442000.0,,14370000.0
IRT,2016-12-31,False,FY,2016,10-K,153388000.0,39662000.0,-9801000.0,-0.19,-0.19,0.0,1294237000.0,,,20892000.0,528691000.0,-7533000.0,27779000.0,-37655000.0,743817000.0,,10663000.0
IRT,2018-03-31,False,Q1,2018,10-Q,45755000.0,11696000.0,3412000.0,0.04,0.04,0.0,1577879000.0,,,10399000.0,636990000.0,15838000.0,-94251000.0,79838000.0,903286000.0,,241000.0
IRT,2018-09-30,False,Q3,2018,10-Q,48779000.0,13965000.0,4787000.0,0.05,0.05,0.0,1648108000.0,,,7645000.0,636043000.0,57315000.0,-182430000.0,126406000.0,963238000.0,,395000.0
IRT,2017-09-30,False,Q3,2017,10-Q,40066000.0,10980000.0,1097000.0,0.02,0.02,0.0,1405212000.0,,,10128000.0,641978000.0,45056000.0,-145884000.0,90064000.0,731625000.0,,10100000.0
IRT,2018-06-30,False,Q2,2018,10-Q,46889000.0,12139000.0,3509000.0,0.04,0.04,0.0,1583117000.0,,,10896000.0,627307000.0,35697000.0,-104803000.0,72434000.0,911772000.0,,266000.0
