symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ITI,2014-09-30,False,Q2,2015,10-Q,18550000.0,-320000.0,-187000.0,-0.01,-0.01,0.0,70899000.0,44294000.0,12901000.0,22386000.0,56888000.0,2798000.0,-245000.0,-581000.0,,17318000.0,343000.0
ITI,2014-12-31,False,Q3,2015,10-Q,17540000.0,-593000.0,-98000.0,0.0,0.0,0.0,70309000.0,43049000.0,12336000.0,21076000.0,56867000.0,2350000.0,-759000.0,-929000.0,,17318000.0,858000.0
ITI,2013-09-30,False,Q2,2014,10-Q,17027000.0,1002000.0,661000.0,0.02,0.02,0.0,69043000.0,42524000.0,11407000.0,21831000.0,56981000.0,3710000.0,-422000.0,-594000.0,,17318000.0,251000.0
ITI,2013-06-30,False,Q1,2014,10-Q,17030000.0,669000.0,460000.0,0.01,0.01,0.0,69004000.0,41938000.0,12062000.0,19092000.0,56134000.0,479000.0,-249000.0,-275000.0,,17318000.0,145000.0
ITI,2014-06-30,False,Q1,2015,10-Q,18116000.0,-95000.0,-19000.0,0.0,0.0,0.0,70200000.0,43605000.0,11999000.0,21537000.0,57220000.0,1490000.0,-17000.0,-350000.0,,17318000.0,115000.0
ITI,2013-12-31,False,Q3,2014,10-Q,16548000.0,309000.0,238000.0,0.01,0.01,0.0,68975000.0,42722000.0,11473000.0,20511000.0,57308000.0,2875000.0,-657000.0,-844000.0,,17318000.0,356000.0
ITI,2013-03-31,False,FY,2013,10-K,61685000.0,1634000.0,2379000.0,0.07,0.07,0.0,69511000.0,42109000.0,12722000.0,19137000.0,55881000.0,3652000.0,367000.0,-3583000.0,,17318000.0,815000.0
ITI,2018-12-31,False,Q3,2019,10-Q,23140000.0,-2506000.0,-2464000.0,-0.07,-0.07,0.0,57823000.0,35380000.0,21215000.0,7173000.0,35894000.0,-4148000.0,759000.0,410000.0,,15150000.0,611000.0
ITI,2014-03-31,False,FY,2014,10-K,68228000.0,2024000.0,1409000.0,0.04,0.04,0.0,70607000.0,43826000.0,12918000.0,20414000.0,57490000.0,3274000.0,-779000.0,-759000.0,,17318000.0,452000.0
ITI,2015-03-31,False,FY,2015,10-K,72251000.0,-2079000.0,-1070000.0,-0.03,-0.03,0.0,70632000.0,44513000.0,13655000.0,21961000.0,55968000.0,3577000.0,-844000.0,-1186000.0,0.0,17318000.0,986000.0
ITI,2015-12-31,False,Q3,2016,10-Q,19014000.0,-1134000.0,-10442000.0,-0.33,-0.33,0.0,59460000.0,39230000.0,13194000.0,18381000.0,44509000.0,-2332000.0,-389000.0,-859000.0,0.0,17318000.0,673000.0
ITI,2015-06-30,False,Q1,2016,10-Q,18365000.0,-446000.0,-192000.0,-0.01,-0.01,0.0,68642000.0,42326000.0,12523000.0,18896000.0,55124000.0,-2007000.0,-323000.0,-735000.0,0.0,17318000.0,323000.0
ITI,2015-09-30,False,Q2,2016,10-Q,20573000.0,-569000.0,-395000.0,-0.01,-0.01,0.0,69715000.0,43495000.0,14124000.0,19137000.0,54614000.0,-1470000.0,-391000.0,-963000.0,0.0,17318000.0,485000.0
ITI,2016-03-31,False,FY,2016,10-K,77748000.0,-3470000.0,-12321000.0,-0.39,-0.39,0.0,60020000.0,39178000.0,14927000.0,16029000.0,43462000.0,-4110000.0,-978000.0,-844000.0,0.0,17318000.0,856000.0
ITI,2011-06-30,False,Q1,2012,10-Q,15967000.0,204000.0,97000.0,0.0,0.0,0.0,70686000.0,34257000.0,14417000.0,11440000.0,53484000.0,391000.0,-202000.0,-567000.0,182000.0,21270000.0,65000.0
ITI,2011-12-31,False,Q3,2012,10-Q,14881000.0,365000.0,747000.0,0.02,0.02,0.0,71101000.0,41912000.0,13907000.0,21519000.0,55354000.0,1844000.0,10174000.0,-2317000.0,,17318000.0,295000.0
ITI,2011-09-30,False,Q2,2012,10-Q,14393000.0,994000.0,1310000.0,0.04,0.04,0.0,70541000.0,42711000.0,13214000.0,22843000.0,54791000.0,1003000.0,11136000.0,-1114000.0,,16522000.0,173000.0
ITI,2012-06-30,False,Q1,2013,10-Q,16304000.0,903000.0,676000.0,0.02,0.02,0.0,68666000.0,40424000.0,11842000.0,18546000.0,55898000.0,963000.0,-167000.0,-951000.0,,17318000.0,113000.0
ITI,2012-03-31,False,FY,2012,10-K,58406000.0,2017000.0,2514000.0,0.04,0.04,0.0,69740000.0,40925000.0,12560000.0,18701000.0,55472000.0,668000.0,10002000.0,-3787000.0,,17318000.0,337000.0
ITI,2012-12-31,False,Q3,2013,10-Q,13994000.0,-427000.0,1097000.0,-0.01,-0.01,0.0,69486000.0,42207000.0,11531000.0,19714000.0,56898000.0,2309000.0,455000.0,-1751000.0,,17318000.0,478000.0
