symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JCI,2018-12-31,False,Q1,2019,10-Q,5464000000.0,,355000000.0,0.39,0.38,0.26,48016000000.0,11955000000.0,11653000000.0,292000000.0,21407000000.0,-79000000.0,-136000000.0,256000000.0,,18291000000.0,153000000.0
TYC,2009-12-25,False,Q1,2010,10-Q,4246000000.0,414000000.0,302000000.0,0.64,0.63,0.0,25601000000.0,7973000000.0,4047000000.0,2473000000.0,13202000000.0,379000000.0,-417000000.0,159000000.0,,8786000000.0,165000000.0
TYC,2011-09-30,False,FY,2011,10-K,17355000000.0,2119000000.0,1733000000.0,3.66,3.62,0.0,26777000000.0,6433000000.0,4330000000.0,1390000000.0,14187000000.0,2437000000.0,-1325000000.0,-1481000000.0,4148000000.0,9999000000.0,788000000.0
TYC,2010-06-25,False,Q3,2010,10-Q,4274000000.0,375000000.0,254000000.0,0.52,0.51,0.0,26908000000.0,7329000000.0,4959000000.0,1823000000.0,14141000000.0,1667000000.0,-1444000000.0,-741000000.0,4168000000.0,9388000000.0,512000000.0
TYC,2011-03-25,False,Q2,2011,10-Q,3992000000.0,437000000.0,315000000.0,0.67,0.66,0.0,26554000000.0,6761000000.0,4467000000.0,1840000000.0,13894000000.0,913000000.0,85000000.0,-937000000.0,4131000000.0,9721000000.0,361000000.0
TYC,2010-12-24,False,Q1,2011,10-Q,4379000000.0,706000000.0,659000000.0,1.35,1.34,0.0,26382000000.0,6820000000.0,4511000000.0,2062000000.0,14196000000.0,246000000.0,389000000.0,-345000000.0,4153000000.0,9593000000.0,179000000.0
TYC,2011-12-30,False,Q1,2012,10-Q,4208000000.0,472000000.0,333000000.0,0.72,0.71,0.0,26498000000.0,6137000000.0,3985000000.0,1013000000.0,14284000000.0,338000000.0,-441000000.0,-271000000.0,4174000000.0,9991000000.0,207000000.0
TYC,2011-06-24,False,Q3,2011,10-Q,4293000000.0,475000000.0,359000000.0,0.77,0.76,0.0,26977000000.0,6818000000.0,4618000000.0,1629000000.0,14182000000.0,1621000000.0,-515000000.0,-1269000000.0,4187000000.0,9895000000.0,548000000.0
TYC,2010-09-24,False,FY,2010,10-K,17016000000.0,1598000000.0,1132000000.0,2.33,2.32,0.0,27128000000.0,7353000000.0,5268000000.0,1775000000.0,14101000000.0,2630000000.0,-1775000000.0,-1441000000.0,4188000000.0,9577000000.0,718000000.0
TYC,2012-03-30,False,Q2,2012,10-Q,4354000000.0,484000000.0,327000000.0,0.71,0.7,0.0,27062000000.0,6463000000.0,4286000000.0,1086000000.0,14579000000.0,1054000000.0,-909000000.0,-464000000.0,4140000000.0,10130000000.0,431000000.0
TYC,2010-03-26,False,Q2,2010,10-Q,4169000000.0,427000000.0,310000000.0,0.65,0.65,0.0,25472000000.0,7997000000.0,4755000000.0,2733000000.0,12923000000.0,1011000000.0,-695000000.0,62000000.0,,8665000000.0,335000000.0
TYC,2012-06-29,False,Q3,2012,10-Q,4460000000.0,367000000.0,242000000.0,0.52,0.51,0.0,27068000000.0,6646000000.0,4335000000.0,1118000000.0,14416000000.0,1830000000.0,-1359000000.0,-732000000.0,4165000000.0,10029000000.0,694000000.0
TYC,2013-03-29,False,Q2,2013,10-Q,2608000000.0,123000000.0,72000000.0,0.16,0.16,0.0,11958000000.0,3958000000.0,2969000000.0,430000000.0,4730000000.0,207000000.0,-324000000.0,-294000000.0,1492000000.0,4345000000.0,192000000.0
TYC,2012-09-28,False,FY,2012,10-K,10403000000.0,685000000.0,472000000.0,1.02,1.02,0.0,12365000000.0,4334000000.0,3097000000.0,844000000.0,5010000000.0,701000000.0,-582000000.0,-508000000.0,1491000000.0,4377000000.0,406000000.0
TYC,2012-12-28,False,Q1,2013,10-Q,2600000000.0,235000000.0,163000000.0,0.35,0.34,0.0,12125000000.0,4081000000.0,2735000000.0,501000000.0,5144000000.0,-39000000.0,-188000000.0,-119000000.0,1491000000.0,4406000000.0,90000000.0
TYC,2013-06-28,False,Q3,2013,10-Q,2678000000.0,189000000.0,135000000.0,0.29,0.28,0.0,11870000000.0,3967000000.0,3140000000.0,455000000.0,4722000000.0,472000000.0,-445000000.0,-400000000.0,1481000000.0,4322000000.0,284000000.0
TYC,2009-06-26,False,Q3,2009,10-Q,4240000000.0,339000000.0,287000000.0,0.61,0.6,0.0,25263000000.0,7790000000.0,4651000000.0,1779000000.0,12595000000.0,1444000000.0,-862000000.0,-272000000.0,,8621000000.0,500000000.0
TYC,2009-09-25,False,FY,2009,10-K,17237000000.0,-1487000000.0,-1798000000.0,-3.8,-3.8,0.0,25553000000.0,7967000000.0,4716000000.0,2354000000.0,12941000000.0,2429000000.0,-1269000000.0,-315000000.0,,8791000000.0,709000000.0
TYC,2014-06-27,False,Q3,2014,10-Q,2662000000.0,296000000.0,1450000000.0,3.17,3.11,0.0,12776000000.0,5719000000.0,3259000000.0,1912000000.0,6028000000.0,520000000.0,-83000000.0,920000000.0,1463000000.0,4212000000.0,210000000.0
TYC,2013-12-27,False,Q1,2014,10-Q,2647000000.0,374000000.0,270000000.0,0.58,0.57,0.0,12013000000.0,4007000000.0,3163000000.0,479000000.0,5154000000.0,123000000.0,-67000000.0,-133000000.0,1623000000.0,4528000000.0,92000000.0
TYC,2015-03-27,False,Q2,2015,10-Q,2430000000.0,221000000.0,167000000.0,0.4,0.39,0.0,11695000000.0,4078000000.0,3479000000.0,432000000.0,4230000000.0,262000000.0,-703000000.0,-3000000.0,2010000000.0,4265000000.0,123000000.0
TYC,2015-12-25,False,Q1,2016,10-Q,2376000000.0,293000000.0,76000000.0,0.18,0.18,0.0,11431000000.0,3665000000.0,3211000000.0,301000000.0,4046000000.0,189000000.0,-211000000.0,-1069000000.0,2298000000.0,4365000000.0,68000000.0
TYC,2014-12-26,False,Q1,2015,10-Q,2479000000.0,198000000.0,162000000.0,0.39,0.38,0.0,11198000000.0,4066000000.0,3475000000.0,473000000.0,4284000000.0,96000000.0,7000000.0,-512000000.0,1462000000.0,4148000000.0,66000000.0
TYC,2015-06-26,False,Q3,2015,10-Q,2489000000.0,253000000.0,156000000.0,0.37,0.37,0.0,11720000000.0,4133000000.0,3426000000.0,531000000.0,4339000000.0,511000000.0,-752000000.0,-102000000.0,2021000000.0,4291000000.0,183000000.0
TYC,2015-09-25,False,FY,2015,10-K,9902000000.0,884000000.0,551000000.0,1.31,1.29,0.0,12321000000.0,4653000000.0,3845000000.0,1401000000.0,4076000000.0,542000000.0,-862000000.0,862000000.0,3146000000.0,4236000000.0,246000000.0
TYC,2014-03-28,False,Q2,2014,10-Q,2487000000.0,248000000.0,207000000.0,0.45,0.44,0.0,11935000000.0,4773000000.0,3406000000.0,495000000.0,5056000000.0,355000000.0,-92000000.0,-315000000.0,1462000000.0,4176000000.0,135000000.0
JCI,2017-03-31,False,Q2,2017,10-Q,7267000000.0,,-148000000.0,-0.16,-0.16,0.25,49607000000.0,13229000000.0,10742000000.0,412000000.0,20201000000.0,-1536000000.0,-472000000.0,1761000000.0,,19644000000.0,634000000.0
TYC,2013-09-27,False,FY,2013,10-K,10647000000.0,809000000.0,536000000.0,1.15,1.14,0.0,12176000000.0,4067000000.0,3231000000.0,563000000.0,5121000000.0,841000000.0,-655000000.0,-456000000.0,1463000000.0,4519000000.0,377000000.0
JCI,2016-09-30,False,FY,2016,10-K,37674000000.0,,-868000000.0,-1.3,-1.3,1.16,63253000000.0,17109000000.0,16293000000.0,684000000.0,25090000000.0,1895000000.0,-887000000.0,-933000000.0,4000000000.0,23409000000.0,1249000000.0
JCI,2018-03-31,False,Q2,2018,10-Q,7475000000.0,,438000000.0,0.47,0.47,0.26,49952000000.0,12271000000.0,10992000000.0,268000000.0,21880000000.0,533000000.0,1598000000.0,-2254000000.0,1700000000.0,19806000000.0,497000000.0
