symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JCP,2018-11-03,False,Q3,2018,10-Q,2653000000.0,-100000000.0,-151000000.0,-0.48,-0.48,0.0,8415000000.0,3615000000.0,2294000000.0,168000000.0,1074000000.0,-311000000.0,-185000000.0,206000000.0,,,321000000.0
JCP,2011-04-30,False,Q1,2011,10-Q,3943000000.0,161000000.0,64000000.0,0.28,0.28,0.0,12374000000.0,5633000000.0,2670000000.0,1767000000.0,4751000000.0,52000000.0,-117000000.0,-790000000.0,3100000000.0,,117000000.0
JCP,2011-07-30,False,Q2,2011,10-Q,3906000000.0,81000000.0,14000000.0,0.07,0.07,0.0,12429000000.0,5651000000.0,2767000000.0,1551000000.0,4703000000.0,172000000.0,-295000000.0,-948000000.0,3100000000.0,,295000000.0
JCP,2010-10-30,False,Q3,2010,10-Q,4189000000.0,124000000.0,44000000.0,0.19,0.19,0.0,12952000000.0,6619000000.0,3225000000.0,1666000000.0,4941000000.0,-518000000.0,-376000000.0,-451000000.0,3100000000.0,,380000000.0
JCP,2011-10-29,False,Q3,2011,10-Q,3986000000.0,-171000000.0,-143000000.0,-0.67,-0.67,0.0,12751000000.0,6110000000.0,3466000000.0,1085000000.0,4522000000.0,-133000000.0,-415000000.0,-989000000.0,3100000000.0,,469000000.0
JCP,2012-07-28,False,Q2,2012,10-Q,3022000000.0,-183000000.0,-147000000.0,-0.67,-0.67,0.0,10812000000.0,4736000000.0,2484000000.0,888000000.0,-1277000000.0,-32000000.0,116000000.0,-35000000.0,3151000000.0,,239000000.0
JCP,2011-01-29,False,FY,2010,10-K,17759000000.0,832000000.0,389000000.0,1.64,1.63,0.8,13042000000.0,6370000000.0,2647000000.0,2622000000.0,5460000000.0,592000000.0,-485000000.0,-496000000.0,3099000000.0,,499000000.0
JCP,2012-10-27,False,Q3,2012,10-Q,2927000000.0,-156000000.0,-123000000.0,-0.56,-0.56,0.0,10890000000.0,4630000000.0,2774000000.0,525000000.0,3502000000.0,-48000000.0,-62000000.0,-253000000.0,2868000000.0,,580000000.0
JCP,2012-04-28,False,Q1,2012,10-Q,3152000000.0,-226000000.0,-163000000.0,-0.75,-0.75,0.0,11039000000.0,4682000000.0,2437000000.0,839000000.0,3936000000.0,-577000000.0,-116000000.0,25000000.0,3102000000.0,,107000000.0
JCP,2013-05-04,False,Q1,2013,10-Q,2635000000.0,-486000000.0,-348000000.0,-1.58,-1.58,0.0,10372000000.0,3932000000.0,3648000000.0,821000000.0,2866000000.0,-752000000.0,-196000000.0,839000000.0,2868000000.0,,214000000.0
JCP,2014-05-03,False,Q1,2014,10-Q,2801000000.0,-247000000.0,-352000000.0,-1.15,-1.15,0.0,11292000000.0,4395000000.0,2711000000.0,1170000000.0,2753000000.0,-271000000.0,-63000000.0,-11000000.0,4857000000.0,,80000000.0
JCP,2013-08-03,False,Q2,2013,10-Q,2663000000.0,-395000000.0,-586000000.0,-2.66,-2.66,0.0,11654000000.0,5014000000.0,3526000000.0,1535000000.0,2320000000.0,-708000000.0,-383000000.0,1805000000.0,4873000000.0,,653000000.0
JCP,2013-11-02,False,Q3,2013,10-Q,2779000000.0,-401000000.0,-489000000.0,-1.94,-1.94,0.0,11875000000.0,5342000000.0,3378000000.0,1227000000.0,2647000000.0,-737000000.0,-128000000.0,557000000.0,4868000000.0,,814000000.0
JCP,2012-01-28,False,FY,2011,10-K,17260000000.0,-2000000.0,-152000000.0,-0.7,-0.7,0.8,11424000000.0,5081000000.0,2756000000.0,1507000000.0,4010000000.0,820000000.0,-870000000.0,-1065000000.0,3102000000.0,,634000000.0
JCP,2014-02-01,False,FY,2013,10-K,11859000000.0,-1420000000.0,-1388000000.0,-5.57,-5.57,0.0,11801000000.0,4833000000.0,2846000000.0,1515000000.0,3087000000.0,-1814000000.0,-789000000.0,3188000000.0,4862000000.0,,951000000.0
JCP,2013-02-02,False,FY,2012,10-K,12985000000.0,-1310000000.0,-985000000.0,-4.49,-4.49,0.2,9781000000.0,3683000000.0,2583000000.0,930000000.0,3171000000.0,-10000000.0,-293000000.0,-274000000.0,2868000000.0,,810000000.0
JCP,2009-08-01,False,Q2,2010,10-Q,3943000000.0,67000000.0,-1000000.0,0.0,0.0,0.0,12169000000.0,6272000000.0,3173000000.0,2312000000.0,4536000000.0,503000000.0,-304000000.0,-235000000.0,,,304000000.0
JCP,2010-05-01,False,Q1,2010,10-Q,3929000000.0,155000000.0,60000000.0,0.25,0.25,0.0,12081000000.0,6148000000.0,2653000000.0,2378000000.0,4870000000.0,-85000000.0,-112000000.0,-436000000.0,,,116000000.0
JCP,2010-01-30,False,FY,2009,10-K,17556000000.0,663000000.0,251000000.0,1.08,1.08,0.8,12581000000.0,6652000000.0,3249000000.0,3011000000.0,4778000000.0,1576000000.0,-587000000.0,-327000000.0,,,600000000.0
