symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LUK,2010-03-31,False,Q1,2010,10-Q,374442000.0,43013000.0,191479000.0,0.79,0.78,0.0,6988062000.0,662024000.0,638671000.0,218983000.0,4579524000.0,-72047000.0,127091000.0,9811000.0,,,6519000.0
LUK,2011-09-30,False,Q3,2011,10-Q,236058000.0,,-291022000.0,-1.19,-1.19,0.0,8215054000.0,1419413000.0,659299000.0,306270000.0,6028403000.0,22954000.0,-112751000.0,-45273000.0,,9204000.0,30889000.0
LUK,2010-06-30,False,Q2,2010,10-Q,412477000.0,80801000.0,-235144000.0,-0.97,-0.97,0.0,6430701000.0,764516000.0,729732000.0,248237000.0,3984874000.0,-57642000.0,118074000.0,33677000.0,,9316000.0,12583000.0
LUK,2010-09-30,False,Q3,2010,10-Q,185865000.0,,287755000.0,1.18,1.17,0.0,7307335000.0,683777000.0,820498000.0,323284000.0,4789499000.0,45900000.0,-44903000.0,180050000.0,1608376000.0,8151000.0,20108000.0
LUK,2011-06-30,False,Q2,2011,10-Q,753441000.0,,186309000.0,0.76,0.75,0.0,9192181000.0,1487852000.0,826372000.0,539092000.0,6805479000.0,1924000.0,-22484000.0,118312000.0,,9204000.0,21264000.0
LUK,2011-03-31,False,Q1,2011,10-Q,284034000.0,,10507000.0,0.04,0.04,0.0,9224385000.0,767672000.0,720350000.0,313932000.0,6908111000.0,-17775000.0,-179521000.0,69888000.0,,8151000.0,4052000.0
LUK,2010-12-31,False,FY,2010,10-K,1320004000.0,,1939312000.0,7.97,7.85,0.25,9350298000.0,985590000.0,747840000.0,441340000.0,6963381000.0,431266000.0,-208718000.0,64664000.0,1691128000.0,8151000.0,44344000.0
LUK,2011-12-31,False,FY,2011,10-K,1570768000.0,,25231000.0,0.1,0.1,0.25,9263189000.0,1253479000.0,877132000.0,168490000.0,6178261000.0,9084000.0,-175297000.0,-106637000.0,1905704000.0,18119000.0,38586000.0
LUK,2012-03-31,False,Q1,2012,10-Q,2424288000.0,,490877000.0,2.01,1.97,0.0,8986637000.0,1125430000.0,802167000.0,205291000.0,6430196000.0,-42687000.0,539658000.0,-460170000.0,,19029000.0,18575000.0
LUK,2013-06-30,False,Q2,2013,10-Q,2914740000.0,,51015000.0,0.14,0.14,0.0,46179276000.0,,,3553645000.0,10033067000.0,447516000.0,3757354000.0,-792827000.0,7559476000.0,1722548000.0,54332000.0
LUK,2012-06-30,False,Q2,2012,10-Q,2141645000.0,,-197251000.0,-0.81,-0.81,0.0,8603278000.0,1285641000.0,794381000.0,186665000.0,6095139000.0,63169000.0,508415000.0,-553409000.0,,18805000.0,32821000.0
LUK,2012-09-30,False,Q3,2012,10-Q,2187495000.0,,106674000.0,0.44,0.43,0.0,8740184000.0,2139481000.0,1302723000.0,772144000.0,6193108000.0,263113000.0,929924000.0,-589383000.0,,18805000.0,51161000.0
LUK,2009-12-31,False,FY,2009,10-K,1119002000.0,-250973000.0,550280000.0,2.28,2.25,0.0,6762364000.0,551474000.0,624981000.0,154128000.0,4374497000.0,-133424000.0,71971000.0,-21948000.0,,,23566000.0
LUK,2013-03-31,False,Q1,2013,10-Q,2144036000.0,,303111000.0,1.1,1.08,0.0625,47349294000.0,,,3140421000.0,10397955000.0,-163258000.0,3110680000.0,47039000.0,7753948000.0,1738744000.0,20777000.0
LUK,2012-12-31,False,FY,2012,10-K,9193689000.0,,854466000.0,3.49,3.44,0.25,9349118000.0,2521266000.0,1280479000.0,145960000.0,6767635000.0,221857000.0,407321000.0,-651708000.0,1358695000.0,24195000.0,71325000.0
LUK,2009-06-30,False,Q2,2009,10-Q,284323000.0,-130529000.0,411023000.0,1.7,1.67,0.0,6053609000.0,745386000.0,567760000.0,156164000.0,3704132000.0,-62303000.0,21491000.0,-40576000.0,,,13351000.0
LUK,2009-09-30,False,Q3,2009,10-Q,280801000.0,-32062000.0,370199000.0,1.52,1.5,0.0,6621425000.0,817246000.0,572607000.0,232652000.0,4266813000.0,-121571000.0,132504000.0,-15841000.0,,,20000000.0
LUK,2013-12-31,False,FY,2013,10-K,11002752000.0,,364321000.0,1.07,1.06,0.25,47866781000.0,,,3907595000.0,10173053000.0,702340000.0,3323622000.0,-270507000.0,8180865000.0,1748099000.0,137130000.0
LUK,2013-09-30,False,Q3,2013,10-Q,2742065000.0,,2879000.0,0.01,0.01,0.0,45541073000.0,,,4410093000.0,10127616000.0,938733000.0,4395597000.0,-1066691000.0,7350559000.0,1747862000.0,89387000.0
LUK,2014-09-30,False,Q3,2014,10-Q,3213664000.0,,53415000.0,0.14,0.14,0.0,52727801000.0,,,4247878000.0,10449018000.0,-1264274000.0,502442000.0,1099752000.0,8619197000.0,1749372000.0,2112000.0
LUK,2014-03-31,False,Q1,2014,10-Q,3139867000.0,,91919000.0,0.25,0.25,0.0625,51130014000.0,,,3590527000.0,10191262000.0,-1034479000.0,567487000.0,145918000.0,8331266000.0,1750636000.0,74130000.0
LUK,2014-12-31,False,FY,2014,10-K,12334907000.0,,199545000.0,0.54,0.54,0.25,52623908000.0,,,4276775000.0,10370022000.0,-987160000.0,449083000.0,917782000.0,8527929000.0,1742389000.0,2178000.0
LUK,2015-09-30,False,Q3,2015,10-Q,2566023000.0,,-173173000.0,-0.47,-0.47,0.0,50513738000.0,,,3559301000.0,10426052000.0,-1180268000.0,943834000.0,-478538000.0,7856749000.0,1740231000.0,
LUK,2015-12-31,True,FY,2015,10-K,492818000.0,,279587000.0,0.74,0.74,0.0,19768321000.0,,,353000.0,10401211000.0,-601438000.0,-666529000.0,1268239000.0,988610000.0,,
