symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JLL,2018-12-31,False,FY,2018,10-K,16318400000.0,706900000.0,484100000.0,10.64,10.54,0.82,10025500000.0,5206000000.0,4761800000.0,480900000.0,3734500000.0,604100000.0,-280400000.0,-141300000.0,,2697800000.0,47100000.0
JLL,2010-06-30,False,Q2,2010,10-Q,680319000.0,57341000.0,31757000.0,0.76,0.72,0.0,2967138000.0,894709000.0,902382000.0,54994000.0,1376312000.0,-80363000.0,-58359000.0,124453000.0,,1399668000.0,13658000.0
JLL,2010-12-31,False,FY,2010,10-K,2925613000.0,260658000.0,153524000.0,3.63,3.48,0.2,3349861000.0,1194841000.0,1296312000.0,251897000.0,1571935000.0,384270000.0,-90876000.0,-110760000.0,,1444708000.0,47609000.0
JLL,2010-09-30,False,Q3,2010,10-Q,708379000.0,61850000.0,37125000.0,0.87,0.84,0.0,3064064000.0,927553000.0,1052566000.0,71717000.0,1479458000.0,108072000.0,-160782000.0,55164000.0,,1438038000.0,22797000.0
JLL,2011-03-31,False,Q1,2011,10-Q,687864000.0,12066000.0,1490000.0,0.03,0.03,0.0,3347630000.0,1135028000.0,1165355000.0,100951000.0,1615027000.0,-197179000.0,-31587000.0,77820000.0,,1479418000.0,17170000.0
JLL,2011-06-30,False,Q2,2011,10-Q,845295000.0,65567000.0,43860000.0,1.02,0.99,0.0,3684949000.0,1122233000.0,1161420000.0,95615000.0,1676843000.0,-136312000.0,-257927000.0,237957000.0,,1775713000.0,36195000.0
JLL,2011-09-30,False,Q3,2011,10-Q,903210000.0,54354000.0,33880000.0,0.78,0.76,0.0,3759438000.0,1191973000.0,1142191000.0,85671000.0,1641754000.0,-41175000.0,-336163000.0,211112000.0,,1752094000.0,55902000.0
JLL,2012-03-31,False,Q1,2012,10-Q,813294000.0,14571000.0,14024000.0,0.32,0.31,0.0,3828927000.0,1131580000.0,993573000.0,101846000.0,1754718000.0,-196122000.0,-16149000.0,129663000.0,,1784275000.0,
JLL,2013-09-30,False,Q3,2013,10-Q,1106802000.0,87098000.0,62857000.0,1.42,1.39,0.0,4325945000.0,1420974000.0,1287325000.0,119704000.0,2033430000.0,-99873000.0,-112159000.0,179577000.0,275000000.0,1889848000.0,
JLL,2012-06-30,False,Q2,2012,10-Q,921341000.0,58082000.0,37188000.0,0.85,0.83,0.0,3794071000.0,1155466000.0,991252000.0,115499000.0,1754711000.0,-122618000.0,-25898000.0,79561000.0,,1766978000.0,
JLL,2012-09-30,False,Q3,2012,10-Q,949491000.0,65852000.0,49513000.0,1.12,1.1,0.0,4054010000.0,1269090000.0,1313380000.0,125730000.0,1858851000.0,34288000.0,-135557000.0,42545000.0,,1816944000.0,
JLL,2013-06-30,False,Q2,2013,10-Q,989383000.0,65822000.0,46290000.0,1.05,1.03,0.0,4174703000.0,1356471000.0,1237200000.0,121851000.0,1933303000.0,-244558000.0,-62761000.0,277011000.0,275000000.0,1836981000.0,
JLL,2013-03-31,False,Q1,2013,10-Q,855988000.0,20100000.0,13156000.0,0.3,0.29,0.0,4235247000.0,1419561000.0,1279228000.0,133470000.0,1930510000.0,-301456000.0,-20777000.0,303544000.0,275000000.0,1836933000.0,
JLL,2012-12-31,False,FY,2012,10-K,3932830000.0,289403000.0,207556000.0,4.73,4.63,0.4,4351499000.0,1515529000.0,1661971000.0,152159000.0,1959256000.0,327698000.0,-151252000.0,-208741000.0,,1853761000.0,95491000.0
JLL,2011-12-31,False,FY,2011,10-K,3584544000.0,251205000.0,163997000.0,3.8,3.7,0.3,3932636000.0,1300884000.0,1348617000.0,184454000.0,1694380000.0,211338000.0,-389316000.0,110535000.0,,1751207000.0,92168000.0
JLL,2014-03-31,False,Q1,2014,10-Q,1037442000.0,-15266000.0,15902000.0,0.36,0.35,0.0,4555642000.0,1665077000.0,1281072000.0,140148000.0,2224313000.0,-263428000.0,-39297000.0,290147000.0,275000000.0,1903409000.0,
JLL,2014-09-30,False,Q3,2014,10-Q,1365975000.0,127458000.0,104284000.0,2.33,2.3,0.0,4934786000.0,1994247000.0,1760276000.0,162568000.0,2343219000.0,38576000.0,-111503000.0,82769000.0,275000000.0,1910990000.0,
JLL,2014-06-30,False,Q2,2014,10-Q,1277204000.0,91656000.0,71766000.0,1.61,1.58,0.0,4776256000.0,1833938000.0,1449515000.0,150708000.0,2326952000.0,-146405000.0,-83865000.0,228252000.0,275000000.0,1946414000.0,
JLL,2015-03-31,False,Q1,2015,10-Q,1203511000.0,52658000.0,41894000.0,0.93,0.92,0.0,4996418000.0,2061137000.0,1695600000.0,198491000.0,2347691000.0,-335770000.0,-21054000.0,313381000.0,275000000.0,1870534000.0,
JLL,2013-12-31,False,FY,2013,10-K,4461591000.0,368819000.0,269456000.0,6.09,5.98,0.44,4597353000.0,1724228000.0,1658424000.0,152726000.0,2190809000.0,293167000.0,-164212000.0,-128388000.0,275000000.0,1900080000.0,110801000.0
JLL,2014-12-31,False,FY,2014,10-K,5429603000.0,465664000.0,385749000.0,8.63,8.52,0.48,5075336000.0,2118176000.0,2047011000.0,250413000.0,2409120000.0,498861000.0,-187938000.0,-203029000.0,275000000.0,1907924000.0,156900000.0
JLL,2015-09-30,False,Q3,2015,10-Q,1501267000.0,120317000.0,110409000.0,2.45,2.43,0.0,5235026000.0,2094397000.0,1861771000.0,193499000.0,2525783000.0,-18245000.0,-184464000.0,160243000.0,275000000.0,1999623000.0,
JLL,2015-06-30,False,Q2,2015,10-Q,1373475000.0,102963000.0,90148000.0,2.01,1.98,0.0,5043301000.0,1984948000.0,1623060000.0,191034000.0,2484955000.0,-214851000.0,-92307000.0,255620000.0,275000000.0,1933280000.0,
JLL,2015-12-31,False,FY,2015,10-K,5965700000.0,529798000.0,438358000.0,9.75,9.65,0.56,6205200000.0,2650807000.0,2505193000.0,216583000.0,2718299000.0,375769000.0,-584615000.0,191567000.0,275000000.0,2141471000.0,149100000.0
JLL,2016-09-30,False,Q3,2016,10-Q,1705200000.0,71000000.0,48000000.0,1.06,1.05,0.0,7116600000.0,2818300000.0,2296800000.0,228400000.0,2847500000.0,-151900000.0,-617400000.0,779300000.0,272600000.0,2546800000.0,63700000.0
