symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JNJ,2011-07-03,False,Q2,2011,10-Q,16597000000.0,3538000000.0,2776000000.0,1.01,1.0,0.57,112114000000.0,52673000000.0,20985000000.0,14974000000.0,62132000000.0,6225000000.0,-9260000000.0,-1464000000.0,,16243000000.0,1054000000.0
JNJ,2009-09-27,False,Q3,2009,10-Q,15081000000.0,,3345000000.0,1.21,1.2,0.49,91558000000.0,35602000000.0,19245000000.0,11856000000.0,50384000000.0,11284000000.0,-5234000000.0,-5170000000.0,,15017000000.0,1521000000.0
JNJ,2010-07-04,False,Q2,2010,10-Q,15330000000.0,,3449000000.0,1.25,1.23,0.54,92300000000.0,39023000000.0,17164000000.0,12713000000.0,52851000000.0,7527000000.0,-4575000000.0,-5887000000.0,,14628000000.0,897000000.0
JNJ,2010-04-04,False,Q1,2010,10-Q,15631000000.0,,4526000000.0,1.64,1.62,0.49,93441000000.0,38861000000.0,18499000000.0,13743000000.0,52914000000.0,3690000000.0,-1882000000.0,-3822000000.0,,14977000000.0,397000000.0
JNJ,2011-04-03,False,Q1,2011,10-Q,16173000000.0,,3476000000.0,1.27,1.25,0.54,108150000000.0,49221000000.0,24011000000.0,22356000000.0,59863000000.0,2316000000.0,1440000000.0,-825000000.0,,16126000000.0,436000000.0
JNJ,2010-01-03,False,FY,2009,10-K,61897000000.0,,12266000000.0,4.45,4.4,1.93,94682000000.0,39541000000.0,21731000000.0,15810000000.0,50588000000.0,16571000000.0,-7598000000.0,-4092000000.0,,14862000000.0,2365000000.0
JNJ,2010-10-03,False,Q3,2010,10-Q,14982000000.0,,3417000000.0,1.24,1.23,0.54,98247000000.0,42717000000.0,17414000000.0,14338000000.0,57291000000.0,12561000000.0,-6450000000.0,-7586000000.0,,15375000000.0,1425000000.0
JNJ,2018-12-30,False,FY,2018,10-K,81581000000.0,,15297000000.0,5.7,5.61,3.54,152954000000.0,46033000000.0,31230000000.0,18107000000.0,59752000000.0,22201000000.0,-3167000000.0,-18510000000.0,500000000.0,30453000000.0,3670000000.0
JNJ,2011-10-02,False,Q3,2011,10-Q,16005000000.0,4649000000.0,3202000000.0,1.17,1.15,0.57,111821000000.0,53443000000.0,21686000000.0,15617000000.0,61527000000.0,10847000000.0,-10850000000.0,-3696000000.0,,16049000000.0,1765000000.0
JNJ,2011-01-02,False,FY,2010,10-K,61587000000.0,,13334000000.0,4.85,4.78,2.11,102908000000.0,47307000000.0,23072000000.0,19355000000.0,56579000000.0,16385000000.0,-7854000000.0,-4980000000.0,9169000000.0,15294000000.0,2384000000.0
JNJ,2013-03-31,False,Q1,2013,10-Q,17505000000.0,4482000000.0,3497000000.0,1.25,1.22,0.61,121536000000.0,47228000000.0,22524000000.0,14855000000.0,66855000000.0,2277000000.0,-1403000000.0,-777000000.0,,22349000000.0,586000000.0
JNJ,2012-09-30,False,Q3,2012,10-Q,17052000000.0,3825000000.0,2968000000.0,1.08,1.05,0.61,118951000000.0,44791000000.0,23935000000.0,15486000000.0,63761000000.0,12020000000.0,-2007000000.0,-19091000000.0,,21777000000.0,1782000000.0
JNJ,2012-07-01,False,Q2,2012,10-Q,16475000000.0,2657000000.0,1408000000.0,0.51,0.5,0.61,115750000000.0,41615000000.0,23848000000.0,14042000000.0,60434000000.0,7523000000.0,-13405000000.0,-4586000000.0,,21412000000.0,1100000000.0
JNJ,2012-12-30,False,FY,2012,10-K,67224000000.0,14955000000.0,10853000000.0,3.94,3.86,2.4,121347000000.0,46116000000.0,24262000000.0,14911000000.0,64826000000.0,15396000000.0,-4510000000.0,-20562000000.0,13001000000.0,22424000000.0,2934000000.0
JNJ,2012-04-01,False,Q1,2012,10-Q,16139000000.0,5130000000.0,3910000000.0,1.43,1.41,0.57,116194000000.0,57007000000.0,21198000000.0,30267000000.0,61366000000.0,2795000000.0,4056000000.0,-1183000000.0,,16339000000.0,502000000.0
JNJ,2012-01-01,False,FY,2011,10-K,65030000000.0,13765000000.0,9672000000.0,3.54,3.49,2.25,113644000000.0,54316000000.0,22811000000.0,24542000000.0,57080000000.0,14298000000.0,-4612000000.0,-4452000000.0,13585000000.0,16138000000.0,2893000000.0
JNJ,2009-06-28,False,Q2,2009,10-Q,15239000000.0,,3208000000.0,1.16,1.15,0.49,87438000000.0,35494000000.0,19886000000.0,11686000000.0,46247000000.0,6190000000.0,-3379000000.0,-1928000000.0,,14152000000.0,1002000000.0
JNJ,2014-03-30,False,Q1,2014,10-Q,18115000000.0,5651000000.0,4727000000.0,1.67,1.64,0.66,133330000000.0,57369000000.0,23840000000.0,19722000000.0,76582000000.0,3923000000.0,-2026000000.0,-3057000000.0,,22178000000.0,630000000.0
JNJ,2013-12-29,False,FY,2013,10-K,71312000000.0,16412000000.0,13831000000.0,4.92,4.81,2.59,132683000000.0,56407000000.0,25675000000.0,20927000000.0,74053000000.0,17414000000.0,-5103000000.0,-6091000000.0,15097000000.0,22798000000.0,3595000000.0
JNJ,2014-09-28,False,Q3,2014,10-Q,18467000000.0,7053000000.0,4749000000.0,1.69,1.66,0.7,132097000000.0,59973000000.0,22982000000.0,13818000000.0,76591000000.0,14106000000.0,-9383000000.0,-11641000000.0,,21636000000.0,2218000000.0
JNJ,2013-06-30,False,Q2,2013,10-Q,17877000000.0,5020000000.0,3833000000.0,1.36,1.33,0.66,124325000000.0,51273000000.0,23767000000.0,17307000000.0,69665000000.0,7328000000.0,-1972000000.0,-2754000000.0,,22337000000.0,1357000000.0
JNJ,2015-09-27,False,Q3,2015,10-Q,17102000000.0,,3358000000.0,1.21,1.2,0.75,133266000000.0,63494000000.0,25260000000.0,13639000000.0,71554000000.0,14197000000.0,-6344000000.0,-7555000000.0,,21279000000.0,2097000000.0
JNJ,2013-09-29,False,Q3,2013,10-Q,17575000000.0,3872000000.0,2982000000.0,1.06,1.04,0.66,126933000000.0,52176000000.0,25835000000.0,17204000000.0,69804000000.0,13275000000.0,-3525000000.0,-7273000000.0,,22852000000.0,2166000000.0
JNJ,2014-06-29,False,Q2,2014,10-Q,19495000000.0,5875000000.0,4326000000.0,1.53,1.51,0.7,135200000000.0,60119000000.0,24359000000.0,14236000000.0,78048000000.0,9452000000.0,-10118000000.0,-5925000000.0,,21989000000.0,1467000000.0
JNJ,2014-12-28,False,FY,2014,10-K,74331000000.0,21590000000.0,16323000000.0,5.8,5.7,2.76,131119000000.0,59311000000.0,25085000000.0,14523000000.0,69752000000.0,18471000000.0,-12305000000.0,-12260000000.0,15129000000.0,21832000000.0,3714000000.0
JNJ,2015-06-28,False,Q2,2015,10-Q,17787000000.0,,4516000000.0,1.63,1.61,0.75,132036000000.0,61001000000.0,24512000000.0,10639000000.0,71131000000.0,8072000000.0,-5343000000.0,-5730000000.0,,21493000000.0,1308000000.0
JNJ,2016-04-03,False,Q1,2016,10-Q,17482000000.0,,4292000000.0,1.56,1.54,0.75,136231000000.0,62738000000.0,22134000000.0,13861000000.0,72647000000.0,1763000000.0,-1537000000.0,-178000000.0,,21848000000.0,639000000.0
JNJ,2016-10-02,False,Q3,2016,10-Q,17820000000.0,,4272000000.0,1.56,1.53,0.8,140369000000.0,63319000000.0,23230000000.0,18205000000.0,72769000000.0,12114000000.0,-2587000000.0,-5087000000.0,,23171000000.0,2133000000.0
JNJ,2015-03-29,False,Q1,2015,10-Q,17374000000.0,5827000000.0,4320000000.0,1.55,1.53,0.7,128590000000.0,58192000000.0,23836000000.0,11988000000.0,67878000000.0,2872000000.0,-1789000000.0,-3227000000.0,,21345000000.0,543000000.0
JNJ,2017-07-02,False,Q2,2017,10-Q,18839000000.0,,3827000000.0,1.42,1.4,0.84,152807000000.0,38789000000.0,28872000000.0,12598000000.0,71922000000.0,8685000000.0,-13183000000.0,-2067000000.0,500000000.0,31234000000.0,1249000000.0
JNJ,2016-07-03,False,Q2,2016,10-Q,18482000000.0,,3997000000.0,1.46,1.43,0.8,139814000000.0,66291000000.0,21536000000.0,18640000000.0,72473000000.0,6753000000.0,-215000000.0,-1642000000.0,,22104000000.0,1396000000.0
JNJ,2017-04-02,False,Q1,2017,10-Q,17766000000.0,,4422000000.0,1.63,1.61,0.8,144918000000.0,63347000000.0,25119000000.0,20909000000.0,70341000000.0,2913000000.0,-936000000.0,-150000000.0,,24844000000.0,560000000.0
JNJ,2018-04-01,False,Q1,2018,10-Q,20009000000.0,,4367000000.0,1.63,1.6,0.84,156625000000.0,42768000000.0,27081000000.0,14639000000.0,63255000000.0,3606000000.0,-925000000.0,-5970000000.0,,31149000000.0,658000000.0
JNJ,2016-01-03,False,FY,2015,10-K,70074000000.0,,15409000000.0,5.56,5.48,2.95,133411000000.0,60210000000.0,27747000000.0,13732000000.0,71150000000.0,19279000000.0,-7735000000.0,-10846000000.0,14961000000.0,21629000000.0,3463000000.0
