symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JVA,2018-10-31,False,FY,2018,10-K,90655294.0,2401163.0,1059276.0,0.19,0.19,0.0,38834077.0,30758854.0,11187368.0,4611384.0,25989818.0,8693403.0,-3060851.0,-3346818.0,6260014.0,2157661.0,383516.0
JVA,2013-01-31,False,Q1,2013,10-Q,31318804.0,1787419.0,937537.0,0.15,0.14,0.06,33363712.0,30122023.0,8223815.0,8271965.0,24428923.0,536013.0,163675.0,3694.0,953571.0,440000.0,68394.0
JVA,2011-10-31,False,FY,2011,10-K,146755165.0,1199736.0,811930.0,0.15,0.14,0.12,38778691.0,35680576.0,16067181.0,4244335.0,21989982.0,-4052560.0,-526518.0,7150492.0,1820109.0,440000.0,526518.0
JVA,2012-10-31,False,FY,2012,10-K,173656215.0,4399664.0,2485677.0,0.39,0.37,0.12,38247752.0,33124723.0,13720118.0,7568583.0,23799624.0,8026512.0,-2669899.0,-2032365.0,562500.0,440000.0,569899.0
JVA,2012-07-31,False,Q3,2012,10-Q,44484453.0,2018941.0,1231196.0,0.19,0.19,0.03,32308634.0,26985746.0,7709159.0,1373344.0,23915602.0,767773.0,-2617033.0,-1021731.0,1379445.0,440000.0,517033.0
JVA,2012-04-30,False,Q2,2012,10-Q,37085559.0,-520457.0,-370247.0,-0.06,-0.06,0.03,30224429.0,25184611.0,6658947.0,2432001.0,22854197.0,2446293.0,-2188640.0,-2069987.0,137500.0,440000.0,188640.0
JVA,2014-04-30,False,Q2,2014,10-Q,25398751.0,2094526.0,1261220.0,0.2,0.19,0.0,32043935.0,28652095.0,6494945.0,6421815.0,24702486.0,3834179.0,-166851.0,-1281182.0,0.0,440000.0,166851.0
JVA,2012-01-31,False,Q1,2012,10-Q,56601684.0,2620252.0,1578345.0,0.25,0.24,0.03,41386758.0,38133614.0,17283452.0,7362778.0,23381658.0,3590833.0,-254590.0,-217800.0,1795998.0,440000.0,54590.0
JVA,2013-10-31,False,FY,2013,10-K,133980759.0,-1552829.0,-1480235.0,-0.23,-0.23,0.06,32399022.0,28878246.0,9458044.0,4035669.0,22084362.0,-3276259.0,-535960.0,279305.0,1229182.0,440000.0,768029.0
JVA,2014-07-31,False,Q3,2014,10-Q,26628571.0,1238587.0,758947.0,0.12,0.11,0.0,35225747.0,31743210.0,9533230.0,3389412.0,24825081.0,-1805450.0,-398847.0,1558040.0,3500000.0,440000.0,398847.0
JVA,2014-01-31,False,Q1,2014,10-Q,27346347.0,2248913.0,1371740.0,0.22,0.21,0.0,29582128.0,26085895.0,5240619.0,4532936.0,23489963.0,1850323.0,-123874.0,-1229182.0,0.0,440000.0,123874.0
JVA,2013-07-31,False,Q3,2013,10-Q,32370692.0,-3038970.0,-2108911.0,-0.33,-0.33,0.0,32167177.0,28668838.0,9405736.0,3483229.0,21994378.0,-6078667.0,-356810.0,2350123.0,3300000.0,440000.0,588879.0
JVA,2013-04-30,False,Q2,2013,10-Q,36686047.0,-510076.0,-395512.0,-0.06,-0.06,0.0,32814943.0,29299806.0,8090734.0,7615141.0,24034060.0,1234210.0,-237775.0,-949877.0,,440000.0,469844.0
JVA,2011-07-31,False,Q3,2011,10-Q,35764866.0,340436.0,168236.0,0.03,0.03,0.03,35315661.0,32073528.0,19120312.0,3772322.0,15447370.0,-1385757.0,-419212.0,3904370.0,6712086.0,440000.0,-419212.0
JVA,2015-01-31,False,Q1,2015,10-Q,38405979.0,102352.0,71801.0,0.01,0.01,0.0,43169593.0,39820172.0,16240398.0,3519981.0,26063241.0,-3144185.0,-38473.0,2920000.0,5498458.0,440000.0,38473.0
JVA,2015-04-30,False,Q2,2015,10-Q,30263054.0,-3147597.0,-2052560.0,-0.33,-0.33,0.0,36121197.0,32574959.0,11248495.0,3614411.0,24014396.0,-3019469.0,-341337.0,3192578.0,5771036.0,440000.0,341337.0
JVA,2016-07-31,False,Q3,2016,10-Q,17354533.0,1282967.0,755518.0,0.12,0.12,0.0,36400130.0,32163863.0,9798348.0,1830441.0,25805149.0,-1269207.0,-1518495.0,764327.0,7258375.0,1017905.0,661591.0
JVA,2015-07-31,False,Q3,2015,10-Q,27039857.0,161483.0,139162.0,0.02,0.02,0.0,35309458.0,31936636.0,10345134.0,3315177.0,24153148.0,-1806268.0,-351194.0,1690000.0,4268458.0,440000.0,351194.0
JVA,2015-10-31,False,FY,2015,10-K,118153541.0,-1937319.0,-1413228.0,-0.23,-0.23,0.0,35274642.0,31993822.0,10059345.0,3853816.0,24418373.0,-2285840.0,-391796.0,2748813.0,5554121.0,440000.0,391796.0
JVA,2014-10-31,False,FY,2014,10-K,108863097.0,8001527.0,4967535.0,0.78,0.78,0.0,38952632.0,35484335.0,12007533.0,3782639.0,26054753.0,30066.0,-504644.0,221548.0,2498458.0,440000.0,504644.0
JVA,2016-04-30,False,Q2,2016,10-Q,21406939.0,1356114.0,830801.0,0.14,0.14,0.0,31921265.0,28657964.0,5926037.0,3198097.0,25257771.0,3000821.0,-270221.0,-3386319.0,2654121.0,440000.0,270221.0
JVA,2016-01-31,False,Q1,2016,10-Q,22805397.0,810239.0,439569.0,0.07,0.07,0.0,35394126.0,32064486.0,9815259.0,5927324.0,24795801.0,3788438.0,-214930.0,-1500000.0,4154121.0,440000.0,214930.0
JVA,2017-04-30,False,Q2,2017,10-Q,17787103.0,97924.0,1737.0,0.0,0.0,0.0,37929546.0,31790443.0,11411580.0,3466636.0,25372225.0,3099225.0,-3279941.0,419371.0,300000.0,2377407.0,386666.0
JVA,2017-10-31,False,FY,2017,10-K,77127595.0,1222717.0,467262.0,0.08,0.08,0.0,40000410.0,33655761.0,13050361.0,2325650.0,25591461.0,1476633.0,-3573196.0,1194232.0,8407626.0,1794265.0,679921.0
JVA,2017-07-31,False,Q3,2017,10-Q,17979068.0,179831.0,32800.0,0.01,0.01,0.0,37338701.0,31248155.0,10722101.0,2687724.0,25665742.0,2506995.0,-3479373.0,432121.0,7406325.0,2377407.0,586098.0
JVA,2018-01-31,False,Q1,2018,10-Q,22083219.0,888626.0,431387.0,0.07,0.07,0.0,40273629.0,33988223.0,13300085.0,3321793.0,25907119.0,406423.0,-145452.0,735172.0,9407627.0,1548969.0,145452.0
JVA,2018-07-31,False,Q3,2018,10-Q,23439903.0,268675.0,15690.0,0.0,0.0,0.0,38196580.0,29902276.0,10566142.0,5080021.0,26007501.0,7947275.0,-3039771.0,-2153133.0,7148762.0,2794265.0,299554.0
JVA,2016-10-31,False,FY,2016,10-K,78948228.0,3863068.0,2212288.0,0.36,0.36,0.0,37023893.0,32691440.0,11021998.0,3227981.0,24913537.0,1607788.0,-1782999.0,-450624.0,6958375.0,1017905.0,963435.0
JVA,2017-01-31,False,Q1,2017,10-Q,19632367.0,612410.0,375782.0,0.06,0.06,0.0,34473929.0,30060325.0,8063282.0,2836101.0,25310841.0,2063146.0,-255126.0,-2199900.0,2921475.0,1017905.0,255126.0
JVA,2018-04-30,False,Q2,2018,10-Q,22193898.0,863486.0,510849.0,0.09,0.09,0.0,42722773.0,35061555.0,15275426.0,3232113.0,26326399.0,565398.0,-3020345.0,3361410.0,12207727.0,2548969.0,280128.0
