symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KEY,2010-12-31,False,FY,2010,10-K,4491000000.0,,390000000.0,0.45,0.44,0.04,91843000000.0,,,278000000.0,11374000000.0,2724000000.0,1974000000.0,-4891000000.0,10592000000.0,917000000.0,156000000.0
KEY,2011-09-30,False,Q3,2011,10-Q,1038000000.0,,212000000.0,0.22,0.22,0.03,89262000000.0,,,828000000.0,9918000000.0,1875000000.0,1363000000.0,-2688000000.0,10717000000.0,917000000.0,102000000.0
KEY,2011-03-31,False,Q1,2011,10-Q,1061000000.0,,173000000.0,0.2,0.19,0.01,90438000000.0,,,540000000.0,9697000000.0,412000000.0,1392000000.0,-1542000000.0,11048000000.0,917000000.0,30000000.0
KEY,2010-06-30,False,Q2,2010,10-Q,1353000000.0,,29000000.0,0.03,0.03,0.01,94167000000.0,,,591000000.0,11072000000.0,1553000000.0,1298000000.0,-2731000000.0,10451000000.0,917000000.0,54000000.0
KEY,2010-03-31,False,Q1,2010,10-Q,1342000000.0,,-96000000.0,-0.11,-0.11,0.01,95303000000.0,,,619000000.0,10922000000.0,843000000.0,-200000000.0,-495000000.0,11177000000.0,917000000.0,21000000.0
KEY,2010-09-30,False,Q3,2010,10-Q,1330000000.0,,178000000.0,0.2,0.2,0.01,94043000000.0,,,823000000.0,11388000000.0,1969000000.0,1553000000.0,-3170000000.0,11443000000.0,917000000.0,102000000.0
KEY,2011-06-30,False,Q2,2011,10-Q,1024000000.0,,234000000.0,0.25,0.25,0.03,88782000000.0,,,853000000.0,9737000000.0,1454000000.0,2064000000.0,-2943000000.0,10997000000.0,917000000.0,74000000.0
KEY,2012-03-31,False,Q1,2012,10-Q,1031000000.0,,194000000.0,0.2,0.2,0.03,87431000000.0,,,416000000.0,10116000000.0,63000000.0,606000000.0,-947000000.0,8898000000.0,917000000.0,26000000.0
KEY,2011-12-31,False,FY,2011,10-K,4100000000.0,,813000000.0,0.87,0.87,0.1,88785000000.0,,,694000000.0,9922000000.0,1890000000.0,1642000000.0,-3116000000.0,9520000000.0,917000000.0,158000000.0
KEY,2012-06-30,False,Q2,2012,10-Q,1029000000.0,,231000000.0,0.24,0.24,0.05,86523000000.0,,,717000000.0,10176000000.0,235000000.0,1730000000.0,-1942000000.0,7521000000.0,917000000.0,53000000.0
KEY,2012-09-30,False,Q3,2012,10-Q,1122000000.0,,214000000.0,0.23,0.23,0.05,86950000000.0,,,974000000.0,10279000000.0,656000000.0,3015000000.0,-3391000000.0,6119000000.0,979000000.0,93000000.0
KEY,2013-06-30,False,Q2,2013,10-Q,1015000000.0,,198000000.0,0.22,0.22,0.055,90639000000.0,,,696000000.0,10261000000.0,946000000.0,-1626000000.0,792000000.0,6666000000.0,979000000.0,34000000.0
KEY,2012-12-31,False,FY,2012,10-K,4255000000.0,,836000000.0,0.89,0.89,0.18,89236000000.0,,,585000000.0,10309000000.0,1355000000.0,-242000000.0,-1222000000.0,6847000000.0,979000000.0,152000000.0
KEY,2013-03-31,False,Q1,2013,10-Q,1014000000.0,,199000000.0,0.22,0.21,0.05,89198000000.0,,,621000000.0,10379000000.0,-1073000000.0,1148000000.0,-38000000.0,7785000000.0,979000000.0,10000000.0
KEY,2009-12-31,False,FY,2009,10-K,5830000000.0,,-1629000000.0,-2.34,-2.34,0.0925,93287000000.0,,,471000000.0,10933000000.0,2320000000.0,6609000000.0,-9703000000.0,11558000000.0,917000000.0,229000000.0
KEY,2009-06-30,False,Q2,2009,10-Q,1709000000.0,,-390000000.0,-0.68,-0.68,0.01,97792000000.0,,,723000000.0,11060000000.0,588000000.0,3065000000.0,-4187000000.0,13462000000.0,917000000.0,73000000.0
KEY,2009-09-30,False,Q3,2009,10-Q,1322000000.0,,-438000000.0,-0.52,-0.52,0.01,96989000000.0,,,725000000.0,11188000000.0,1467000000.0,4064000000.0,-6051000000.0,12865000000.0,917000000.0,128000000.0
KEY,2013-09-30,False,Q3,2013,10-Q,1043000000.0,,266000000.0,0.29,0.29,0.055,90708000000.0,,,748000000.0,10236000000.0,1020000000.0,-1446000000.0,590000000.0,6154000000.0,979000000.0,60000000.0
