symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KFS,2012-09-30,False,Q3,2012,10-Q,34803000.0,,-18869000.0,-1.52,-1.52,0.0,341509000.0,,,60871000.0,77294000.0,-40690000.0,20017000.0,-3942000.0,13987000.0,510000.0,62000.0
KFS,2013-03-31,False,Q1,2013,10-Q,33630000.0,-3180000.0,-17431000.0,-1.32,-1.32,0.0,370248000.0,,,90821000.0,47719000.0,-11259000.0,21850000.0,-583000.0,69572000.0,9105000.0,183000.0
KFS,2012-03-31,False,Q1,2012,10-Q,36651000.0,,-11008000.0,-0.24,-0.24,0.0,367505000.0,,,72646000.0,105742000.0,-16807000.0,3835000.0,132000.0,10789000.0,39631000.0,348000.0
KFS,2012-06-30,False,Q2,2012,10-Q,39740000.0,,-6017000.0,-0.59,-0.59,0.0,349909000.0,,,63101000.0,96596000.0,-30937000.0,8420000.0,132000.0,11778000.0,510000.0,502000.0
KFS,2018-09-30,False,Q3,2018,10-Q,12299000.0,858000.0,-4321000.0,-0.2,-0.2,0.0,471780000.0,,,23591000.0,26844000.0,-16527000.0,16895000.0,-2951000.0,229543000.0,73928000.0,
KFS,2012-12-31,False,FY,2012,10-K,150371000.0,,-52083000.0,-4.05,-4.05,0.0,372800000.0,,,80813000.0,65414000.0,-46696000.0,45965000.0,-3942000.0,13655000.0,8421000.0,170000.0
KFS,2013-09-30,False,Q3,2013,10-Q,45451000.0,-5771000.0,1879000.0,0.12,0.12,0.0,345366000.0,,,86037000.0,49088000.0,-38675000.0,32369000.0,11530000.0,63432000.0,9484000.0,455000.0
KFS,2013-06-30,False,Q2,2013,10-Q,43909000.0,-5415000.0,-10286000.0,-0.74,-0.74,0.0,353076000.0,,,71351000.0,40917000.0,-25592000.0,16713000.0,-583000.0,67234000.0,9484000.0,269000.0
KFS,2014-03-31,False,Q1,2014,10-Q,49167000.0,1914000.0,-1712000.0,-0.1,-0.1,0.0,300625000.0,,,72080000.0,44149000.0,-8940000.0,-9615000.0,-7954000.0,42762000.0,10588000.0,288000.0
KFS,2014-12-31,False,FY,2014,10-K,188018000.0,4809000.0,-13120000.0,-0.75,-0.75,0.0,301722000.0,,,74026000.0,41866000.0,-14624000.0,-16716000.0,6777000.0,54277000.0,10588000.0,-4656000.0
KFS,2014-06-30,False,Q2,2014,10-Q,50580000.0,1181000.0,-4998000.0,-0.3,-0.3,0.0,297069000.0,,,67520000.0,38123000.0,-16270000.0,-6786000.0,-8013000.0,50560000.0,10588000.0,304000.0
KFS,2014-09-30,False,Q3,2014,10-Q,45533000.0,761000.0,-6956000.0,-0.41,-0.41,0.0,306380000.0,,,87273000.0,46318000.0,-14414000.0,-3636000.0,6734000.0,53524000.0,10588000.0,384000.0
KFS,2013-12-31,False,FY,2013,10-K,172278000.0,-15170000.0,-36861000.0,-2.56,-2.56,0.0,324639000.0,,,98589000.0,36920000.0,-41814000.0,60027000.0,-437000.0,57681000.0,10588000.0,1126000.0
KFS,2015-03-31,False,Q1,2015,10-Q,43696000.0,-186000.0,703000.0,0.11,0.1,0.0,310532000.0,,,63566000.0,45206000.0,187000.0,-7855000.0,0.0,54016000.0,10078000.0,39000.0
KFS,2016-03-31,False,Q1,2016,10-Q,36880000.0,-395000.0,-1538000.0,-0.08,-0.08,0.0,241544000.0,,,40984000.0,42156000.0,-4095000.0,-6622000.0,,39352000.0,10078000.0,11000.0
KFS,2015-03-31,False,Q2,2015,10-Q,,,,,,0.0,,,,,,,,,,,
KFS,2015-09-30,False,Q3,2015,10-Q,38558000.0,-401000.0,-891000.0,-0.05,-0.05,0.0,268868000.0,,,75785000.0,45542000.0,-10538000.0,28009000.0,-12920000.0,39865000.0,10078000.0,175000.0
KFS,2016-09-30,False,Q3,2016,10-Q,45825000.0,1153000.0,1429000.0,0.07,0.06,0.0,438802000.0,,,30705000.0,42572000.0,-11126000.0,-9138000.0,-732000.0,229705000.0,10078000.0,641000.0
KFS,2015-12-31,False,FY,2015,10-K,159966000.0,-1775000.0,778000.0,0.04,0.04,0.0,241022000.0,,,51701000.0,43703000.0,-32805000.0,26192000.0,-12920000.0,39898000.0,10078000.0,203000.0
KFS,2016-06-30,False,Q2,2016,10-Q,41137000.0,-599000.0,-1720000.0,-0.03,-0.03,0.0,241137000.0,,,39887000.0,42425000.0,-5312000.0,-6377000.0,-125000.0,36627000.0,10078000.0,622000.0
KFS,2017-03-31,False,Q1,2017,10-Q,46741000.0,762000.0,-1710000.0,-0.08,-0.08,0.0,497707000.0,,,33687000.0,54751000.0,-7832000.0,5663000.0,-619000.0,232432000.0,71061000.0,43000.0
KFS,2016-12-31,False,FY,2016,10-K,176630000.0,-7069000.0,405000.0,0.02,0.02,0.0,501021000.0,,,36475000.0,56835000.0,-15589000.0,-8769000.0,9132000.0,233693000.0,71061000.0,645000.0
KFS,2018-03-31,False,Q1,2018,10-Q,45708000.0,2153000.0,-2291000.0,-0.11,-0.11,0.0,493000000.0,,,47197000.0,41179000.0,-1602000.0,5465000.0,-952000.0,223906000.0,80112000.0,52000.0
KFS,2017-09-30,False,Q3,2017,10-Q,52002000.0,-1069000.0,-1553000.0,-0.07,-0.07,0.0,479330000.0,,,30614000.0,44017000.0,-13524000.0,9614000.0,-1951000.0,234222000.0,71061000.0,136000.0
KFS,2017-06-30,False,Q2,2017,10-Q,44915000.0,1140000.0,-8882000.0,-0.37,-0.37,0.0,489044000.0,,,33776000.0,46664000.0,-8313000.0,6878000.0,-1264000.0,234551000.0,71061000.0,61000.0
KFS,2017-12-31,False,FY,2017,10-K,193194000.0,-13550000.0,-15819000.0,-0.73,-0.73,0.0,484600000.0,,,44286000.0,43849000.0,-18977000.0,24563000.0,2225000.0,225446000.0,80112000.0,
KFS,2018-06-30,False,Q2,2018,10-Q,13670000.0,2277000.0,-8644000.0,-0.4,-0.4,0.0,482539000.0,,,24713000.0,33417000.0,-6387000.0,7260000.0,-1929000.0,220044000.0,80112000.0,80000.0
