symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KN,2014-03-31,False,Q1,2014,10-Q,273384000.0,11162000.0,7643000.0,0.09,0.09,0.0,2082340000.0,422242000.0,197592000.0,51379000.0,1404375000.0,43153000.0,-28346000.0,-68755000.0,400000000.0,964345000.0,23899000.0
KN,2014-09-30,False,Q3,2014,10-Q,300836000.0,-16406000.0,-14609000.0,-0.17,-0.17,0.0,2011530000.0,435158000.0,268103000.0,34295000.0,1271382000.0,89166000.0,-90565000.0,-69252000.0,400000000.0,932384000.0,68039000.0
KNW,2014-06-30,False,Q2,2014,10-Q,281033000.0,-44187000.0,-78903000.0,-0.93,-0.93,0.0,2072988000.0,431735000.0,267948000.0,44610000.0,1318706000.0,64787000.0,-57086000.0,-68612000.0,400000000.0,958151000.0,41144000.0
KN,2015-06-30,False,Q2,2015,10-Q,240900000.0,-12900000.0,-16100000.0,-0.19,-0.19,0.0,1893900000.0,434000000.0,261600000.0,37000000.0,1166900000.0,24300000.0,-39700000.0,-2500000.0,398500000.0,886900000.0,38700000.0
KN,2015-03-31,False,Q1,2015,10-Q,238600000.0,-11800000.0,-15800000.0,-0.19,-0.19,0.0,1894300000.0,438100000.0,263400000.0,38600000.0,1171000000.0,6800000.0,-18300000.0,-4600000.0,396300000.0,880000000.0,17700000.0
KN,2015-09-30,False,Q3,2015,10-Q,294600000.0,-12400000.0,-14900000.0,-0.17,-0.17,0.0,1980800000.0,471600000.0,245200000.0,57900000.0,1200300000.0,12400000.0,-80600000.0,71700000.0,474800000.0,934100000.0,48500000.0
KN,2014-12-31,False,FY,2014,10-K,1141300000.0,-53100000.0,-87000000.0,-1.02,-1.02,0.0,1998500000.0,474000000.0,288600000.0,55200000.0,1236200000.0,,-93100000.0,-71400000.0,400000000.0,914700000.0,83900000.0
KN,2016-09-30,False,Q3,2016,10-Q,243100000.0,26500000.0,-7600000.0,-0.08,-0.08,0.0,1581800000.0,348900000.0,141300000.0,60000000.0,1026700000.0,37800000.0,13600000.0,-54500000.0,351600000.0,917100000.0,31000000.0
KN,2016-03-31,False,Q1,2016,10-Q,185300000.0,-5900000.0,-29400000.0,-0.33,-0.33,0.0,1636800000.0,313900000.0,169900000.0,44200000.0,997500000.0,19800000.0,-9100000.0,-29800000.0,401200000.0,933900000.0,9800000.0
KN,2016-06-30,False,Q2,2016,10-Q,190300000.0,-1800000.0,-24600000.0,-0.28,-0.28,0.0,1627700000.0,324000000.0,139800000.0,47200000.0,1002600000.0,10200000.0,-17500000.0,-8600000.0,394800000.0,913300000.0,20200000.0
KN,2015-12-31,False,FY,2015,10-K,1084600000.0,-235100000.0,-233800000.0,-2.69,-2.69,0.0,1697700000.0,419300000.0,226900000.0,63300000.0,1006800000.0,,-95200000.0,26100000.0,285000000.0,925800000.0,63100000.0
KN,2017-09-30,False,Q3,2017,10-Q,221700000.0,20900000.0,15700000.0,0.18,0.17,0.0,1553900000.0,371100000.0,155400000.0,57700000.0,1036900000.0,31100000.0,-45400000.0,5000000.0,311200000.0,907700000.0,43400000.0
KN,2017-06-30,False,Q2,2017,10-Q,190200000.0,-16400000.0,-29700000.0,-0.33,-0.33,0.0,1516500000.0,334800000.0,156800000.0,48600000.0,1009900000.0,21400000.0,-33800000.0,-5700000.0,298100000.0,907800000.0,31400000.0
KN,2017-03-31,False,Q1,2017,10-Q,193700000.0,2600000.0,-3200000.0,-0.04,-0.04,0.0,1530300000.0,324300000.0,147600000.0,63300000.0,1027400000.0,17900000.0,-20200000.0,-1000000.0,299800000.0,906100000.0,17700000.0
KN,2018-03-31,False,Q1,2018,10-Q,178500000.0,4300000.0,-300000.0,0.0,0.0,0.0,1546300000.0,356200000.0,139200000.0,62700000.0,1140800000.0,-5500000.0,-40400000.0,-3600000.0,194300000.0,887800000.0,23500000.0
KN,2018-06-30,False,Q2,2018,10-Q,188400000.0,10200000.0,4600000.0,0.05,0.05,0.0,1552700000.0,364800000.0,142400000.0,50800000.0,1142600000.0,9300000.0,-65500000.0,-4900000.0,196100000.0,887900000.0,48000000.0
KN,2016-12-31,False,FY,2016,10-K,859300000.0,47100000.0,-42300000.0,-0.48,-0.47,0.0,1515100000.0,330100000.0,149000000.0,66200000.0,1008500000.0,,5900000.0,-109900000.0,298200000.0,894600000.0,38700000.0
KN,2017-12-31,False,FY,2017,10-K,744200000.0,40500000.0,68300000.0,0.76,0.75,0.0,1549800000.0,394900000.0,151600000.0,111700000.0,1132100000.0,,69500000.0,-117900000.0,192600000.0,884900000.0,51600000.0
