symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KNL,2012-03-31,False,Q1,2012,10-Q,196662000.0,15452000.0,7257000.0,0.16,0.15,0.1,676256000.0,245207000.0,150293000.0,11748000.0,170369000.0,-13520000.0,-9167000.0,5738000.0,,82172000.0,175000.0
KNL,2011-06-30,False,Q2,2011,10-Q,238650000.0,23325000.0,12975000.0,0.28,0.28,0.1,678356000.0,251915000.0,164050000.0,13481000.0,155915000.0,12774000.0,-7120000.0,-21761000.0,,76383000.0,7120000.0
KNL,2018-12-31,False,FY,2018,10-K,12413000.0,115193000.0,73248000.0,1.51,1.49,0.6,1226949000.0,331615000.0,272778000.0,1560000.0,386510000.0,108208000.0,-348272000.0,239804000.0,,320759000.0,40289000.0
KNL,2011-12-31,False,FY,2011,10-K,922200000.0,97071000.0,58011000.0,1.25,1.24,0.36,688091000.0,264893000.0,183128000.0,28263000.0,165423000.0,66921000.0,-16332000.0,-49913000.0,212000000.0,76571000.0,325000.0
KNL,2012-06-30,False,Q2,2012,10-Q,221018000.0,20803000.0,13055000.0,0.28,0.28,0.1,664812000.0,235059000.0,142461000.0,11473000.0,176082000.0,6482000.0,-12616000.0,-9064000.0,,80340000.0,175000.0
KNL,2011-09-30,False,Q3,2011,10-Q,239543000.0,25015000.0,18389000.0,0.4,0.39,0.1,677438000.0,256050000.0,174017000.0,10738000.0,162971000.0,31124000.0,-9733000.0,-39696000.0,,75664000.0,150000.0
KNL,2012-09-30,False,Q3,2012,10-Q,219794000.0,23522000.0,12197000.0,0.26,0.26,0.12,668784000.0,237676000.0,148159000.0,10690000.0,189072000.0,29055000.0,-16544000.0,-29224000.0,,80667000.0,488000.0
KNL,2013-06-30,False,Q2,2013,10-Q,214312000.0,12408000.0,7888000.0,0.17,0.17,0.12,679591000.0,236158000.0,157931000.0,11063000.0,190663000.0,16011000.0,-17414000.0,-16428000.0,,80026000.0,275000.0
KNL,2012-12-31,False,FY,2012,10-K,887499000.0,87901000.0,50001000.0,1.07,1.06,0.44,695053000.0,258522000.0,175945000.0,29956000.0,188100000.0,70568000.0,-23001000.0,-45791000.0,193000000.0,80332000.0,488000.0
KNL,2013-03-31,False,Q1,2013,10-Q,200586000.0,10294000.0,6074000.0,0.13,0.13,0.12,664656000.0,225856000.0,143170000.0,12701000.0,189661000.0,-4133000.0,-6901000.0,-5643000.0,,80355000.0,275000.0
KNL,2013-09-30,False,Q3,2013,10-Q,216898000.0,17051000.0,8550000.0,0.18,0.18,0.12,673370000.0,228541000.0,145438000.0,13513000.0,200657000.0,31349000.0,-20761000.0,-27150000.0,,80250000.0,275000.0
KNL,2013-12-31,False,FY,2013,10-K,862668000.0,41060000.0,23146000.0,0.49,0.49,0.48,677334000.0,236199000.0,168303000.0,12026000.0,228442000.0,54614000.0,-29379000.0,-43508000.0,173000000.0,79951000.0,315000.0
KNL,2014-03-31,False,Q1,2014,10-Q,229331000.0,11825000.0,8186000.0,0.17,0.17,120.0,804430000.0,263147000.0,177879000.0,9134000.0,224197000.0,12871000.0,-101478000.0,85666000.0,,125822000.0,315000.0
KNL,2014-06-30,False,Q2,2014,10-Q,265797000.0,22195000.0,10839000.0,0.23,0.23,0.12,829058000.0,280117000.0,201700000.0,8473000.0,235153000.0,31277000.0,-111405000.0,76296000.0,,129875000.0,315000.0
