symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KWR,2017-03-31,False,Q1,2017,10-Q,194909000.0,13758000.0,6937000.0,0.53,0.52,0.345,709006000.0,394876000.0,139188000.0,90593000.0,421975000.0,8322000.0,-2276000.0,-5834000.0,47900000.0,81683000.0,2531000.0
KWR,2017-06-30,False,Q2,2017,10-Q,201183000.0,17903000.0,11824000.0,0.9,0.89,0.355,730260000.0,409698000.0,134388000.0,98821000.0,439594000.0,20832000.0,-10116000.0,-3728000.0,56100000.0,84762000.0,5242000.0
KWR,2016-03-31,False,Q1,2016,10-Q,178077000.0,19234000.0,12833000.0,0.98,0.98,0.32,694566000.0,381349000.0,115385000.0,94374000.0,391526000.0,10874000.0,-3251000.0,4277000.0,79100000.0,80003000.0,2172000.0
KWR,2016-09-30,False,Q3,2016,10-Q,190428000.0,21339000.0,15878000.0,1.21,1.21,0.345,697471000.0,394113000.0,124761000.0,99024000.0,413698000.0,52977000.0,-8692000.0,-25522000.0,57500000.0,79324000.0,6311000.0
KWR,2015-06-30,True,Q2,2015,10-Q,183726000.0,21445000.0,14907000.0,1.13,1.13,0.32,648064000.0,350854000.0,113940000.0,65784000.0,378526000.0,27318000.0,-3346000.0,-21408000.0,42863000.0,76017000.0,4277000.0
KWR,2015-12-31,False,FY,2015,10-K,737555000.0,71260000.0,50737000.0,3.84,3.84,1.26,685513000.0,365853000.0,124555000.0,81053000.0,381243000.0,73432000.0,-34196000.0,-16897000.0,82101000.0,79111000.0,11033000.0
KWR,2016-12-31,False,FY,2016,10-K,746665000.0,83051000.0,60888000.0,4.64,4.63,1.355,692028000.0,376468000.0,127411000.0,88818000.0,412606000.0,73753000.0,-23769000.0,-38130000.0,66476000.0,80804000.0,9954000.0
KWR,2017-09-30,False,Q3,2017,10-Q,212918000.0,14009000.0,11066000.0,0.84,0.83,0.355,764527000.0,441855000.0,156121000.0,109088000.0,452059000.0,40801000.0,-12786000.0,-12503000.0,54700000.0,85816000.0,8032000.0
KWR,2018-03-31,False,Q1,2018,10-Q,212055000.0,20231000.0,12670000.0,0.96,0.95,0.355,744465000.0,429300000.0,157437000.0,92581000.0,422763000.0,2746000.0,-3901000.0,1545000.0,57200000.0,86708000.0,3449000.0
KWR,2016-06-30,False,Q2,2016,10-Q,186915000.0,22093000.0,14885000.0,1.13,1.13,0.345,692296000.0,382725000.0,119313000.0,96245000.0,400233000.0,36026000.0,-6999000.0,-12848000.0,65300000.0,79324000.0,4377000.0
KWR,2018-09-30,False,Q3,2018,10-Q,222022000.0,24919000.0,19613000.0,1.48,1.47,0.37,729289000.0,427917000.0,157310000.0,99810000.0,432636000.0,50896000.0,-8410000.0,-26964000.0,34800000.0,83695000.0,8815000.0
KWR,2018-06-30,False,Q2,2018,10-Q,221962000.0,22563000.0,19163000.0,1.44,1.44,0.37,723625000.0,421923000.0,151708000.0,90220000.0,422677000.0,19733000.0,-5407000.0,-11070000.0,46200000.0,84230000.0,5622000.0
KWR,2015-09-30,False,Q3,2015,10-Q,189224000.0,18728000.0,14250000.0,1.08,1.08,0.32,703743000.0,390017000.0,122546000.0,96155000.0,376151000.0,50819000.0,-29426000.0,14465000.0,87261000.0,78412000.0,6115000.0
KWR,2017-12-31,False,FY,2017,10-K,820082000.0,62744000.0,20141000.0,1.53,1.52,1.41,722126000.0,406586000.0,154743000.0,89879000.0,409618000.0,64762000.0,-13896000.0,-55209000.0,66804000.0,86034000.0,10872000.0
KWR,2018-12-31,False,FY,2018,10-K,867520000.0,87781000.0,59220000.0,4.46,4.45,1.465,709665000.0,418510000.0,151470000.0,104147000.0,436369000.0,78779000.0,-12358000.0,-46905000.0,36604000.0,83333000.0,12886000.0
KWR,2011-06-30,False,FY,2011,10-Q,167792000.0,14941000000.0,10555000000.0,0.8,0.79,0.24,490819000.0,253674000.0,111135000.0,23541000000.0,261705000.0,167000000.0,-6273000000.0,2636000000.0,,55282000000.0,6641000000.0
KWR,2011-09-30,False,FY,2011,10-Q,182313000.0,17504000000.0,13805000000.0,1.04,1.03,0.24,499833000.0,262605000.0,111681000.0,20579000000.0,259230000.0,4530000000.0,-18432000000.0,9635000000.0,,57764000000.0,8914000000.0
KWR,2012-06-30,False,FY,2012,10-Q,176797000.0,16983000000.0,10439000000.0,0.81,0.81,0.245,519353000.0,277363000.0,108186000.0,25252000000.0,273425000.0,21941000000.0,-5531000000.0,-7502000000.0,,57033000000.0,6423000000.0
KWR,2012-03-31,False,Q1,2012,10-Q,177638000.0,16702000000.0,12693000000.0,0.92,0.91,0.24,522405000.0,274040000.0,109659000.0,18964000000.0,270664000.0,6732000000.0,-2631000000.0,-2686000000.0,,59064000000.0,3178000000.0
KWR,2012-12-31,False,FY,2012,10-K,708226000.0,63224000.0,46879000.0,3.64,3.63,0.975,536634000.0,277810000.0,107792000.0,32547000.0,289676000.0,62893000.0,-16734000.0,-30541000.0,31468000.0,59169000.0,12735000.0
KWR,2011-12-31,False,FY,2011,10-K,683231000.0,57912000000.0,45900000000.0,3.52,3.47,0.95,505521000.0,259549000.0,106649000.0,16909000000.0,255726000.0,19666000000.0,-35361000000.0,9153000000.0,,58152000000.0,12117000000.0
KWR,2013-06-30,False,Q2,2013,10-Q,184846000.0,19793000.0,15944000.0,1.22,1.22,0.25,549493000.0,292396000.0,116159000.0,38546000.0,312357000.0,27495000.0,-6951000.0,-13455000.0,,58334000.0,5202000.0
KWR,2013-09-30,False,Q3,2013,10-Q,184059000.0,18807000.0,12442000.0,0.95,0.95,0.25,569987000.0,314069000.0,127147000.0,53945000.0,324843000.0,51952000.0,-8686000.0,-21735000.0,,58511000.0,7330000.0
KWR,2013-03-31,False,Q1,2013,10-Q,176193000.0,17411000.0,13508000.0,1.04,1.04,0.245,540587000.0,284147000.0,113008000.0,35256000.0,301973000.0,11306000.0,-3357000.0,-4742000.0,,59248000.0,2723000.0
KWR,2012-09-30,False,FY,2012,10-Q,180923000.0,15863000.0,10387000.0,0.8,0.8,0.245,530741000.0,281060000.0,112055000.0,30172000.0,285225000.0,41770000.0,-10125000.0,-17776000.0,,59461000.0,8757000.0
KWR,2014-03-31,False,Q1,2014,10-Q,181674000.0,19373000.0,12618000.0,0.96,0.96,0.25,589707000.0,340144000.0,127963000.0,60450000.0,358008000.0,-1797000.0,-2662000.0,-3498000.0,,58633000.0,3057000.0
KWR,2014-12-31,False,FY,2014,10-K,765860000.0,77356000.0,55989000.0,4.27,4.26,1.15,665526000.0,351518000.0,124901000.0,64731000.0,365135000.0,54690000.0,-84471000.0,30161000.0,75731000.0,77933000.0,13052000.0
KWR,2014-06-30,False,Q2,2014,10-Q,191286000.0,20945000.0,15293000.0,1.17,1.16,0.3,596637000.0,345960000.0,120703000.0,60232000.0,364710000.0,8254000.0,-4413000.0,-12019000.0,,58921000.0,5521000.0
KWR,2014-09-30,False,Q3,2014,10-Q,198867000.0,20553000.0,15556000.0,1.18,1.18,0.3,644210000.0,353555000.0,130879000.0,64221000.0,367011000.0,38040000.0,-58931000.0,19613000.0,,70053000.0,8376000.0
KWR,2015-03-31,False,Q1,2015,10-Q,181330000.0,17864000.0,10282000.0,0.78,0.78,0.3,640277000.0,340198000.0,108784000.0,64338000.0,365129000.0,8086000.0,-1691000.0,-5080000.0,55893000.0,75169000.0,2414000.0
KWR,2013-12-31,False,FY,2013,10-K,729395000.0,71243000.0,55858000.0,4.28,4.27,0.995,584146000.0,328847000.0,130856000.0,68492000.0,345031000.0,73801000.0,-12416000.0,-26206000.0,18716000.0,58151000.0,11439000.0
