symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LAD,2012-03-31,False,Q1,2012,10-Q,758894000.0,31967000.0,16796000.0,0.65,0.63,0.0,1198727000.0,694266000.0,508507000.0,8965000.0,381679000.0,-40987000.0,-6492000.0,35593000.0,,18727000.0,8459000.0
LAD,2012-06-30,False,Q2,2012,10-Q,847123000.0,37761000.0,20491000.0,0.8,0.78,0.1,1283575000.0,766126000.0,623805000.0,16247000.0,384993000.0,-152042000.0,-29518000.0,176956000.0,,22608000.0,22693000.0
LAD,2012-09-30,False,Q3,2012,10-Q,888373000.0,43463000.0,23243000.0,0.91,0.9,0.1,1366537000.0,837496000.0,642491000.0,19757000.0,409484000.0,-176335000.0,-59245000.0,234486000.0,,25838000.0,34966000.0
LAD,2011-06-30,False,Q2,2011,10-Q,689068000.0,29988000.0,14826000.0,0.56,0.55,0.0,1101201000.0,607175000.0,444708000.0,11738000.0,343836000.0,-17236000.0,-50316000.0,69984000.0,,18288000.0,7855000.0
LAD,2018-12-31,False,FY,2018,10-K,11821400000.0,447000000.0,265700000.0,10.91,10.86,1.14,5384000000.0,2991400000.0,2493500000.0,31600000.0,1197200000.0,519700000.0,-557100000.0,11700000.0,926500000.0,434900000.0,158000000.0
LAD,2011-09-30,False,Q3,2011,10-Q,737901000.0,31875000.0,16563000.0,0.63,0.62,0.0,1115215000.0,604164000.0,436483000.0,15936000.0,348383000.0,3427000.0,-64485000.0,67688000.0,,18191000.0,22996000.0
LAD,2011-12-31,False,FY,2011,10-K,2699360000.0,111991000.0,58860000.0,2.24,2.21,0.0,1146133000.0,648191000.0,456584000.0,20851000.0,367121000.0,-766000.0,-39422000.0,51733000.0,,18958000.0,31673000.0
LAD,2013-03-31,False,Q1,2013,10-Q,903080000.0,40586000.0,22055000.0,0.86,0.85,0.0,1459703000.0,891040000.0,728797000.0,15006000.0,447803000.0,49757000.0,-8467000.0,-69123000.0,,32047000.0,6585000.0
LAD,2012-12-31,False,FY,2012,10-K,3316487000.0,148369000.0,80362000.0,3.13,3.07,0.0,1492702000.0,933209000.0,721304000.0,42839000.0,428101000.0,-212476000.0,-98997000.0,333461000.0,876642000.0,32047000.0,64584000.0
LAD,2013-09-30,False,Q3,2013,10-Q,1069290000.0,51720000.0,31018000.0,1.2,1.18,0.13,1539178000.0,935198000.0,746040000.0,16093000.0,507129000.0,112674000.0,-67535000.0,-71885000.0,,40313000.0,33803000.0
LAD,2013-06-30,False,Q2,2013,10-Q,1008505000.0,45651000.0,25555000.0,0.99,0.98,0.13,1572516000.0,971343000.0,734677000.0,20257000.0,476151000.0,24449000.0,-55978000.0,8947000.0,,40313000.0,22107000.0
LAD,2013-12-31,False,FY,2013,10-K,4005749000.0,183518000.0,106000000.0,4.11,4.05,0.0,1725121000.0,1081549000.0,872511000.0,23686000.0,534722000.0,32059000.0,-130322000.0,79110000.0,966409000.0,49511000.0,50025000.0
LAD,2014-03-31,False,Q1,2014,10-Q,1078106000.0,44725000.0,24734000.0,0.95,0.94,0.13,1844276000.0,1167550000.0,940428000.0,22340000.0,556837000.0,-22387000.0,-47822000.0,68863000.0,,56787000.0,12630000.0
LAD,2014-09-30,False,Q3,2014,10-Q,1297111000.0,60146000.0,34537000.0,1.32,1.31,0.16,1904903000.0,1165785000.0,929770000.0,21666000.0,623913000.0,87702000.0,-122350000.0,32628000.0,,65745000.0,54149000.0
LAD,2016-06-30,False,Q2,2016,10-Q,2133339000.0,90509000.0,51428000.0,2.02,2.01,0.25,3322070000.0,1940803000.0,1663706000.0,15044000.0,817461000.0,66410000.0,-66710000.0,-29664000.0,,214444000.0,43247000.0
LAD,2014-06-30,False,Q2,2014,10-Q,1221802000.0,61012000.0,38309000.0,1.47,1.45,0.16,1940127000.0,1212904000.0,1003986000.0,28203000.0,591851000.0,-4194000.0,-107446000.0,116157000.0,,65004000.0,35230000.0
LAD,2016-03-31,False,Q1,2016,10-Q,1982861000.0,72915000.0,40270000.0,1.56,1.55,0.2,3267618000.0,1899409000.0,1643703000.0,21559000.0,814677000.0,34593000.0,-29234000.0,-28808000.0,,213934000.0,15900000.0
LAD,2014-12-31,False,FY,2014,10-K,5390326000.0,231899000.0,138720000.0,5.31,5.26,0.0,2880932000.0,1615509000.0,1442600000.0,29898000.0,673105000.0,30319000.0,-736332000.0,712225000.0,1819657000.0,199375000.0,85983000.0
LAD,2015-06-30,False,Q2,2015,10-Q,1996947000.0,85622000.0,51223000.0,1.95,1.93,0.2,3004855000.0,1710547000.0,1493102000.0,23394000.0,752302000.0,29330000.0,-50206000.0,14372000.0,,199129000.0,48008000.0
LAD,2015-03-31,False,Q1,2015,10-Q,1789178000.0,67901000.0,40653000.0,1.55,1.53,0.16,2924385000.0,1634799000.0,1433241000.0,21023000.0,707837000.0,38229000.0,-30938000.0,-16166000.0,,199286000.0,24917000.0
LAD,2017-03-31,False,Q1,2017,10-Q,2236101000.0,86141000.0,50727000.0,2.01,2.01,0.25,3801964000.0,2233496000.0,1939866000.0,31440000.0,950166000.0,126674000.0,-22503000.0,-123013000.0,,259399000.0,16039000.0
LAD,2015-09-30,False,Q3,2015,10-Q,2084845000.0,72797000.0,43391000.0,1.65,1.64,0.2,3059829000.0,1738037000.0,1502269000.0,32707000.0,787713000.0,106922000.0,-104577000.0,464000.0,,210627000.0,62159000.0
LAD,2018-03-31,False,Q1,2018,10-Q,2659679000.0,93763000.0,52061000.0,2.08,2.07,0.27,5086983000.0,2971440000.0,2503925000.0,68985000.0,1127105000.0,48873000.0,-373502000.0,336361000.0,,256283000.0,42004000.0
LAD,2016-09-30,True,Q3,2016,10-Q,2269967000.0,93423000.0,54041000.0,2.15,2.14,0.25,3563606000.0,2032698000.0,1735179000.0,24116000.0,866090000.0,189791000.0,-289484000.0,78801000.0,,219021000.0,81363000.0
LAD,2015-12-31,False,FY,2015,10-K,7864252000.0,302735000.0,182999000.0,6.96,6.91,0.0,3227299000.0,1878865000.0,1590825000.0,45008000.0,828164000.0,74209000.0,-169733000.0,110634000.0,1959309000.0,213220000.0,83244000.0
LAD,2016-12-31,False,FY,2016,10-K,8678157000.0,338364000.0,197058000.0,7.76,7.72,0.95,3844150000.0,2287194000.0,1921994000.0,50282000.0,910776000.0,86516000.0,-351693000.0,270451000.0,2392378000.0,259399000.0,100761000.0
LAD,2017-06-30,False,Q2,2017,10-Q,2467036000.0,103950000.0,53200000.0,2.12,2.12,0.27,3976495000.0,2323768000.0,1957652000.0,31177000.0,987827000.0,178555000.0,-125219000.0,-72441000.0,,259399000.0,32266000.0
LAD,2017-12-31,False,FY,2017,10-K,10086510000.0,408986000.0,245217000.0,9.78,9.75,1.06,4683066000.0,2782782000.0,2300981000.0,57253000.0,1083218000.0,148856000.0,-538198000.0,396313000.0,782480000.0,256320000.0,105378000.0
