symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LDL,2011-06-30,False,Q2,2011,10-Q,98831000.0,4985000.0,7727000.0,0.46,0.46,0.0,252239000.0,140860000.0,54332000.0,38280000.0,172979000.0,5767000.0,7016000.0,-666000.0,,18564000.0,3338000.0
LDL,2011-09-30,False,Q3,2011,10-Q,93741000.0,2272000.0,1131000.0,0.07,0.07,0.0,242609000.0,136614000.0,52448000.0,22107000.0,166711000.0,2074000.0,-4032000.0,-999000.0,,18188000.0,5945000.0
LDL,2011-12-31,False,FY,2011,10-K,383588000.0,16188000.0,13779000.0,0.82,0.82,0.0,235185000.0,130820000.0,44799000.0,30905000.0,160852000.0,14657000.0,-6309000.0,-1621000.0,,18059000.0,8884000.0
LDL,2018-12-31,False,FY,2018,10-K,888355000.0,49188000.0,34944000.0,2.03,2.02,0.0,872686000.0,317078000.0,121346000.0,49237000.0,369275000.0,44739000.0,-300965000.0,247476000.0,324813000.0,196963000.0,31291000.0
LDL,2012-09-30,False,Q3,2012,10-Q,94167000.0,5200000.0,3875000.0,0.23,0.23,0.0,251085000.0,150117000.0,50515000.0,51511000.0,173234000.0,19211000.0,5070000.0,-3551000.0,,18142000.0,7945000.0
LDL,2013-03-31,False,Q1,2013,10-Q,99029000.0,6517000.0,4492000.0,0.27,0.26,0.0,258869000.0,161141000.0,49651000.0,57467000.0,177964000.0,-3217000.0,-2463000.0,196000.0,,18191000.0,2463000.0
LDL,2012-03-31,False,Q1,2012,10-Q,96754000.0,5402000.0,3912000.0,0.23,0.23,0.0,247906000.0,143063000.0,51372000.0,40766000.0,167263000.0,613000.0,9053000.0,-358000.0,,18219000.0,2962000.0
LDL,2012-06-30,False,Q2,2012,10-Q,97535000.0,8743000.0,6592000.0,0.39,0.39,0.0,247030000.0,145001000.0,50145000.0,46055000.0,168315000.0,12527000.0,6230000.0,-3082000.0,,18018000.0,5785000.0
LDL,2012-12-31,False,FY,2012,10-K,378924000.0,21378000.0,16806000.0,1.01,0.99,0.0,251916000.0,151801000.0,46350000.0,63623000.0,174496000.0,34405000.0,1611000.0,-3871000.0,1646000.0,18282000.0,11404000.0
LDL,2013-06-30,False,Q2,2013,10-Q,101051000.0,9521000.0,5955000.0,0.36,0.35,0.0,261393000.0,163360000.0,49095000.0,58542000.0,179651000.0,6480000.0,-5673000.0,-5511000.0,,18272000.0,5515000.0
LDL,2014-03-31,False,Q1,2014,10-Q,125226000.0,7626000.0,3716000.0,0.22,0.22,0.0,366640000.0,217150000.0,72339000.0,51128000.0,204263000.0,-2860000.0,-81964000.0,60014000.0,60881000.0,22290000.0,2807000.0
LDL,2013-09-30,False,Q3,2013,10-Q,97995000.0,7386000.0,4575000.0,0.28,0.27,0.0,272785000.0,172540000.0,50531000.0,59996000.0,187904000.0,10908000.0,-9660000.0,-5546000.0,,18491000.0,9502000.0
LDL,2015-03-31,False,Q1,2015,10-Q,127306000.0,10078000.0,18937000.0,1.12,1.11,0.0,366556000.0,228626000.0,78201000.0,72103000.0,214991000.0,-1097000.0,20974000.0,-6495000.0,40696000.0,16796000.0,7396000.0
