symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
LII,2012-03-31,False,Q1,2012,10-Q,684200000.0,3900000.0,-6100000.0,-0.01,-0.01,0.18,1790000000.0,998300000.0,596400000.0,54700000.0,477800000.0,-34300000.0,-6800000.0,48200000.0,523500000.0,310600000.0,6800000.0
LII,2011-03-31,False,Q1,2011,10-Q,687800000.0,-7000000.0,-7200000.0,-0.13,-0.13,0.18,1900400000.0,1047000000.0,676600000.0,55200000.0,566400000.0,-148300000.0,-150100000.0,191800000.0,,321300000.0,8200000.0
LII,2011-06-30,False,Q2,2011,10-Q,937000000.0,72500000.0,45000000.0,0.85,0.83,0.18,2019000000.0,1165400000.0,678500000.0,76500000.0,601000000.0,-142400000.0,-153100000.0,207300000.0,577900000.0,325900000.0,18600000.0
LII,2010-09-30,False,Q3,2010,10-Q,818200000.0,66600000.0,41800000.0,0.78,0.76,0.15,1697300000.0,982900000.0,627500000.0,92400000.0,556600000.0,43600000.0,-45500000.0,-33100000.0,,267600000.0,30000000.0
LII,2010-12-31,False,FY,2010,10-K,3096400000.0,190400000.0,116200000.0,2.13,2.08,0.6,1692000000.0,946900000.0,615600000.0,160000000.0,589700000.0,185800000.0,-61400000.0,-93500000.0,,271800000.0,45800000.0
LII,2012-06-30,False,Q2,2012,10-Q,933800000.0,77800000.0,44700000.0,0.88,0.87,0.18,1888200000.0,1112700000.0,678500000.0,69100000.0,492500000.0,-10600000.0,-9500000.0,44300000.0,528900000.0,302200000.0,16800000.0
LII,2018-12-31,False,FY,2018,10-K,3883900000.0,509500000.0,359000000.0,8.84,8.74,2.43,1817200000.0,1089400000.0,1008500000.0,46300000.0,-149600000.0,495500000.0,30500000.0,-537800000.0,1041300000.0,186600000.0,95200000.0
LII,2013-09-30,False,Q3,2013,10-Q,868000000.0,103800000.0,64300000.0,1.29,1.27,0.24,1755700000.0,1037300000.0,795800000.0,37800000.0,482200000.0,65000000.0,-32900000.0,-42200000.0,434900000.0,218800000.0,41000000.0
LII,2011-12-31,False,FY,2011,10-K,3303600000.0,147700000.0,88300000.0,1.68,1.65,0.72,1705700000.0,903200000.0,572900000.0,45000000.0,467800000.0,76200000.0,-177800000.0,-11900000.0,465100000.0,305600000.0,43200000.0
LII,2012-12-31,False,FY,2012,10-K,2949400000.0,219100000.0,90000000.0,1.77,1.75,0.76,1691900000.0,987100000.0,639600000.0,51800000.0,496800000.0,221400000.0,-40400000.0,-180100000.0,386600000.0,223800000.0,50200000.0
LII,2010-06-30,False,Q2,2010,10-Q,872100000.0,79300000.0,48300000.0,0.88,0.86,0.15,1667200000.0,969500000.0,643800000.0,61900000.0,522600000.0,-26000000.0,-47300000.0,10800000.0,,253800000.0,19700000.0
LII,2013-03-31,False,Q1,2013,10-Q,668400000.0,27900000.0,8000000.0,0.16,0.16,0.2,1714100000.0,1004100000.0,562400000.0,34900000.0,452000000.0,-137300000.0,-6900000.0,128600000.0,516400000.0,223400000.0,12100000.0
LII,2013-06-30,False,Q2,2013,10-Q,913100000.0,102400000.0,64300000.0,1.28,1.26,0.24,1849600000.0,1129900000.0,779700000.0,45300000.0,447200000.0,-88300000.0,-18700000.0,106600000.0,537100000.0,217600000.0,23400000.0
LII,2012-09-30,False,Q3,2012,10-Q,809700000.0,80900000.0,29400000.0,0.58,0.57,0.2,1793500000.0,1111600000.0,638400000.0,48800000.0,509400000.0,64400000.0,-18100000.0,-48500000.0,481000000.0,223700000.0,28000000.0
LII,2011-09-30,False,Q3,2011,10-Q,923000000.0,54500000.0,33800000.0,0.65,0.64,0.18,1834300000.0,1028800000.0,672800000.0,57900000.0,498700000.0,-2200000.0,-161700000.0,65200000.0,499600000.0,307000000.0,27100000.0
LII,2013-12-31,False,FY,2013,10-K,3199100000.0,289000000.0,171800000.0,3.45,3.39,0.92,1626700000.0,902400000.0,714000000.0,38000000.0,485700000.0,210300000.0,-67300000.0,-150200000.0,400400000.0,216800000.0,78300000.0
LII,2014-03-31,False,Q1,2014,10-Q,695400000.0,33900000.0,19900000.0,0.41,0.4,0.24,1787700000.0,1057500000.0,720000000.0,39000000.0,491600000.0,-125000000.0,-17300000.0,144300000.0,564200000.0,218900000.0,17300000.0
LII,2014-09-30,False,Q3,2014,10-Q,898400000.0,106600000.0,67400000.0,1.4,1.38,0.3,1876500000.0,1136500000.0,824900000.0,48100000.0,501700000.0,23500000.0,-59700000.0,49700000.0,596000000.0,214100000.0,59900000.0
LII,2014-06-30,False,Q2,2014,10-Q,960700000.0,119100000.0,73900000.0,1.51,1.49,0.3,1970100000.0,1222700000.0,847300000.0,49600000.0,518000000.0,-73400000.0,-41200000.0,125100000.0,606700000.0,219700000.0,41200000.0
LII,2015-03-31,False,Q1,2015,10-Q,685800000.0,27000000.0,13900000.0,0.31,0.31,0.3,1879500000.0,1140300000.0,770500000.0,36700000.0,-16200000.0,-122200000.0,-18000000.0,144000000.0,1085800000.0,204500000.0,18000000.0
LII,2016-03-31,False,Q1,2016,10-Q,715200000.0,43700000.0,24900000.0,0.57,0.56,0.36,1861000000.0,1121600000.0,803200000.0,40600000.0,-73300000.0,-113400000.0,-23800000.0,137300000.0,1099400000.0,197000000.0,23800000.0
LII,2015-09-30,False,Q3,2015,10-Q,955000000.0,127000000.0,80300000.0,1.78,1.76,0.36,1881500000.0,1151900000.0,853400000.0,35100000.0,97500000.0,106900000.0,-47000000.0,-52900000.0,918000000.0,199800000.0,47000000.0
LII,2016-06-30,False,Q2,2016,10-Q,1019200000.0,160700000.0,110700000.0,2.54,2.51,0.43,2024200000.0,1270200000.0,1122700000.0,54700000.0,31400000.0,-41000000.0,-41700000.0,96600000.0,1075200000.0,198500000.0,41700000.0
LII,2014-12-31,False,FY,2014,10-K,3367400000.0,334700000.0,205800000.0,4.3,4.23,1.14,1764300000.0,1014000000.0,827300000.0,37500000.0,9000000.0,184800000.0,-87300000.0,-89500000.0,925600000.0,209400000.0,88400000.0
LII,2015-12-31,False,FY,2015,10-K,3467400000.0,305400000.0,186600000.0,4.16,4.09,1.38,1680200000.0,938200000.0,824000000.0,38900000.0,101600000.0,331200000.0,-69800000.0,-248700000.0,743900000.0,195100000.0,69900000.0
LII,2017-03-31,False,Q1,2017,10-Q,793400000.0,60800000.0,43500000.0,1.02,1.0,0.43,1950600000.0,1186400000.0,1037500000.0,48800000.0,-1000000.0,-107600000.0,-24800000.0,128400000.0,1103100000.0,197600000.0,24900000.0
